0	Index      	 *	Score 	Summary	Detail	
1	53421 43113	 * 	183.61	DCR|3DMG|2AART|2VULN	1248LHND|348DMG|48BPWR|59AART|6RCVC|78VULN|aRCR
2	41123 22214	 * 	183.46	ACR|2VULN|1AART|2CDMG|1DMG|2ZMB	19TLV|29ZMB|3RCR|48CDMG|5AART|6LWND|79VULN|9BPWR|aDMG
3	41123 62214	   	183.46	ACR|2VULN|1AART|2CDMG|1DMG|2ZMB	19TLV|29ZMB|3RCR|48CDMG|5AART|6LHND|79VULN|9BPWR|aDMG
4	41133 16423	 * 	181.47	ACR|2VULN|3ZMB|1AART|1DMG|1DUR	1TLV|24aZMB|3RCR|5DMG|68VULN|7DUR|9AART
5	41133 32561	 * 	181.47	ACR|2DMG|3ZMB|1AART|1VULN|1ASPD	17TLV|247ZMB|3RCR|57DMG|6LEGI|7BPWR|8VULN|9AART|aASPD
6	33322 24353	   	180.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12LIT|37DMG|49VULN|5DUR|6RCR|8ZMB|aAART
7	35322 24353	   	180.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1LIT|2DMSP|37DMG|49VULN|5DUR|6RCR|8ZMB|aAART
8	41131 22226	 * 	180.49	ACR|4VULN|3ZMB|1DMG	15TLV|245ZMB|3RCR|5BPWR|679aVULN|8DMG
9	41123 22234	   	179.51	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1TLV|2ZMB|3RCR|48CDMG|5AART|6LWND|79VULN|aDMG
10	41123 62234	   	179.51	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1TLV|2ZMB|3RCR|48CDMG|5AART|6LHND|79VULN|aDMG
11	41123 14632	   	179.41	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1TLV|2ZMB|3RCR|47CDMG|5AART|6DMG|8AIRHEL|9aVULN
12	41123 22212	 * 	179.05	ACR|3VULN|1AART|2CDMG|2ZMB	19TLV|29ZMB|3RCR|48CDMG|5AART|6LWND|79aVULN|9BPWR
13	41123 62212	   	179.05	ACR|3VULN|1AART|2CDMG|2ZMB	19TLV|29ZMB|3RCR|48CDMG|5AART|6LHND|79aVULN|9BPWR
14	33322 24365	   	178.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	12LIT|379DMG|4VULN|5DUR|6RCR|8ZMB|aAART
15	51231 32185	 * 	178.76	DCR|2VULN|2DMG|1AART|2ASPD	1aLHND|2AART|3MBVNT|4aDMG|59VULN|6ERES|7RCR|8aASPD|aBPWR
16	41122 43363	 * 	178.23	ACR|2VULN|2DMG|1CDMG|1FLTHEA|1ZMB	1TLV|2ZMB|3RCR|4CDMG|5aVULN|6FLTHEA|79DMG|8LWND
17	41123 13332	   	177.05	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1TLV|2aZMB|3RCR|4CDMG|5AART|6DMG|7aERES|8FEWX|9aVULN|aBPWR
18	41123 13632	   	177.05	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1TLV|2aZMB|3RCR|4CDMG|5AART|6DMG|7aERES|8LWND|9aVULN|aBPWR
19	41123 22615	   	177.05	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	189TLV|29ZMB|3RCR|4CDMG|5AART|6LWND|79VULN|9BPWR|aDMG
20	23324 25134	 * 	176.91	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	19BEXP|26ZMB|39AIRHEA|4DUR|56DMG|69BPWR|7AART|89VULN|aRCR
21	41125 22332	 * 	176.73	ACR|2VULN|2AART|2CDMG|1ZMB|1DUR	1aTLV|2ZMB|3RCR|4aCDMG|5DUR|6FEWX|78AART|9aVULN|aBPWR
22	41122 45323	 * 	175.75	ACR|2VULN|1AART|2CDMG|2ZMB|1FLTHEA	1TLV|2aZMB|3RCR|48CDMG|59VULN|6FLTHEA|7AART
23	41133 12263	   	175.13	ACR|2VULN|3ZMB|1AART|1DMG	1TLV|24aZMB|3RCR|5DMG|69VULN|7LWND|8AART
24	41123 22232	   	175.10	ACR|3VULN|1AART|2CDMG|1ZMB	1TLV|2ZMB|3RCR|48CDMG|5AART|6LWND|79aVULN
