0	Index      	 *	Score 	Summary	Detail	
1	52221 22663	 * 	190.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1aDMG|2aDUR|38DUST|4CDMG|5RPLT|6RCR|7AART|9aVULN|aBPWR
2	24611 24322	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aCDMG
3	24611 24384	   	178.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5aDMG|6RCR|7AART|8VULN|9CDMG
4	34611 22322	   	178.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aCDMG
5	34611 22384	   	178.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5aDMG|6RCR|7AART|8VULN|9CDMG
6	52622 12261	 * 	176.31	DCR|3VULN|2DMG|1AART|1DUR	18DMG|2DUR|3RPLT|458DUST|678VULN|8BPWR|9AART|aRCR
7	42543 33323	   	176.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1CGEN|24DMG|34VULN|4BPWR|5ZMB|6DUR|7ERES|8AART|9RCR|aRCVC
8	42543 33322	   	174.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1CGEN|24DMG|34VULN|4BPWR|5ZMB|6DUR|7ERES|8AART|9RCR|aMLV
9	12681 24343	   	173.75	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ERES|2DUR|3MBVNT|49VULN|5DMG|6RCR|7ASPD|8AART|aCDMG
10	12681 23273	 * 	173.01	DCR|3DMG|2VULN|1ZMB|1DUR	1ERES|2DUR|3MBVNT|47VULN|58aDMG|6RCR|9ZMB
11	34614 52422	 * 	172.98	ACR|3VULN|1AART|2ZMB|1CDMG|1DUR	19DUST|29ZMB|3MBVNT|4DUR|5RCR|6CDMG|79aVULN|8AART|9BPWR
12	13642 16232	 * 	172.41	DCR|4VULN|1AART|1CDMG|1DUR	1ERES|2LHND|369aVULN|4CDMG|5DUR|7AART|8RCR
13	12681 24345	 * 	172.11	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	1aERES|2aDUR|3MBVNT|49VULN|5DMG|6RCR|7aASPD|8AART|aBPWR
14	52121 25315	 * 	171.92	DCR|3DMG|1VULN|1CDMG|1FLTHEA|1DUR	18aDMG|2DUR|3FEWX|4CDMG|5RPLT|6RCR|7FLTHEA|9VULN
15	24661 22322	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2ZMB|3MBVNT|4DUST|5DMG|6RCR|7AART|89VULN|aCDMG
16	12681 23272	   	171.00	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1ERES|2DUR|3MBVNT|47VULN|58DMG|6RCR|9ZMB|aCDMG
17	22546 23113	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|2DUR|39VULN|4LSRHEA|5BEXP|6RCR|7aDMG|8AART
18	55222 33352	 * 	170.82	DCR|3VULN|3DMG	19aDMG|234DUST|59LWND|6RCR|789VULN|9BPWR
19	55223 33352	   	170.82	DCR|3VULN|3DMG	19aDMG|234DUST|59BEXP|6RCR|789VULN|9BPWR
20	55233 33352	   	170.82	DCR|3VULN|3DMG	19aDMG|235DUST|49LWND|6RCR|789VULN|9BPWR
21	51312 51215	 * 	169.83	DCR|2VULN|2DMG|2CDMG|2ZMB	17DMG|25CGEN|3RMIN|47CDMG|67ZMB|7BPWR|8RCR|9aVULN
22	42511 61221	 * 	169.83	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	17CGEN|27DMG|3VULN|4TLV|57CDMG|6AART|7BPWR|8RCR|9BELT|aDUR
23	51511 61221	   	169.83	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	17DMG|27CGEN|3VULN|4TLV|57CDMG|6AART|7BPWR|8RCR|9BELT|aDUR
24	52222 23243	   	169.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1DMG|2aDUR|36DUST|4CDMG|5AART|79VULN|8RCR
25	42541 33323	   	169.02	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|24DMG|34VULN|4BPWR|5DUST|6ZMB|7ERES|8AART|9RCR|aRCVC
26	42541 33322	   	167.72	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|24DMG|34VULN|4BPWR|5DUST|6ZMB|7ERES|8AART|9RCR|aMLV
27	22415 13612	   	167.63	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1FEWX|23DUR|4aVULN|5ASPD|69DMG|7CDMG|8RCR
28	32415 13612	   	167.53	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1DUST|23DUR|4aVULN|5ASPD|69DMG|7CDMG|8RCR
29	62515 21333	 * 	167.47	DCR|4VULN|1DMG|2ASPD|1DUR	15ASPD|2DUR|3CGEN|4679VULN|8RCR|aDMG
30	12681 23253	   	167.30	DCR|3VULN|2DMG|2DUR	1ERES|29DUR|3MBVNT|47aVULN|58DMG|6RCR
