0	Index      	 *	Score 	Summary	Detail	
1	32231 63662	 * 	197.43	ACR|4VULN|2DMG|1AART|1DUR	1DUR|2TLV|3567VULN|4RCR|89DMG|aAART
2	51262 31313	 * 	194.82	DCR|3DMG|2AART|2VULN|1ZMB	13VULN|2ERES|48AART|579DMG|6ZMB|aRCR
3	51241 31413	 * 	194.36	DCR|3VULN|3DMG|1AART|1ASPD	134VULN|2ERES|5AART|679DMG|8ASPD|aRCR
4	52241 31413	   	194.36	DCR|3VULN|3DMG|1AART|1ASPD	134VULN|2TLV|5AART|679DMG|8ASPD|aRCR
5	32236 16336	   	193.26	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	1DUR|26TLV|369VULN|4RCR|5AART|6BPWR|7aDMG|8ASPD
6	32236 26336	   	193.26	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2TLV|369VULN|4RCR|5AART|7aDMG|8ASPD
7	33535 43132	 * 	192.71	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	167DUR|2AART|3RMIN|47DMG|57VULN|7BPWR|8RCR|9MLV|aCDMG
8	33535 43122	   	192.61	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	167DUR|2AART|3RMIN|47DMG|57VULN|7BPWR|8RCR|9ERES|aCDMG
9	61284 24344	   	192.43	DCR|3VULN|3DMG|1AART|2SELL	16aDMG|2MBVNT|39SELL|4AART|57aVULN|8RCR|aBPWR
10	61285 34434	 * 	192.29	DCR|3DMG|2VULN|1AART|2CDMG|1SELL	159DMG|2MBVNT|3SELL|4AART|59BPWR|6LHND|79VULN|89CDMG|aRCR
11	31236 16216	   	191.62	ACR|3VULN|2DMG|1AART|2DUR	18DUR|26ERES|369VULN|4RCR|5AART|6BPWR|7aDMG
12	31236 26216	   	191.62	ACR|3VULN|2DMG|1AART|2DUR	18DUR|2ERES|369VULN|4RCR|5AART|7aDMG
13	61284 64344	 * 	190.88	DCR|4VULN|2DMG|1AART|2SELL	1aDMG|2MBVNT|39SELL|4AART|567aVULN|8RCR|aBPWR
14	51241 11216	 * 	190.67	DCR|4VULN|2DMG|1AART	1349VULN|2ERES|5AART|6LWND|7aDMG|8RCR
15	32236 16334	   	189.78	ACR|4VULN|1AART|1DMG|1DUR|1ASPD	1DUR|26TLV|369aVULN|4RCR|5AART|6BPWR|7DMG|8ASPD
16	32236 26334	   	189.78	ACR|4VULN|1AART|1DMG|1DUR|1ASPD	1DUR|2TLV|369aVULN|4RCR|5AART|7DMG|8ASPD
17	35231 13662	   	188.72	ACR|3VULN|2DMG|1AART|2DUR	16DUR|2CGEN|357VULN|4RCR|89DMG|aAART
18	31231 13666	   	188.62	ACR|3VULN|2DMG|1AART|2DUR	16DUR|2ERES|357VULN|4RCR|89DMG|aAART
19	32231 13662	   	188.62	ACR|3VULN|2DMG|1AART|2DUR	16DUR|2TLV|357VULN|4RCR|89DMG|aAART
20	61284 44344	 * 	188.23	DCR|3VULN|2AART|2DMG|2SELL	1aDMG|2MBVNT|39SELL|46AART|57aVULN|8RCR|aBPWR
21	55241 31313	   	187.42	DCR|3VULN|3DMG|1AART	134VULN|2CGEN|5AART|679DMG|8TLV|aRCR
22	51241 31313	   	187.32	DCR|3VULN|3DMG|1AART	134VULN|2ERES|5AART|679DMG|8TLV|aRCR
23	11123 46616	 * 	187.32	DCR|3DMG|2VULN|1AART|2ASPD	19ASPD|2MBVNT|369DMG|4LHND|5MLV|79VULN|8RCR|9BPWR|aAART
