0	Index      	 *	Score 	Summary	Detail	
1	34123 34316	 * 	293.05	DCR|DCR|2VULN|1MLV|1ASPD|1AART	1DUR|2ASPD|3FEWX|4AART|5LIT|6aVULN|78RCR|9MLV
2	35123 34316	   	279.40	DCR|DCR|2VULN|1MLV|1AART	1DUR|2AAC|3FEWX|4AART|5LIT|6aVULN|78RCR|9MLV
3	16111 23111	 * 	278.36	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1RPLT|2DMG|3MLV|4VULN|5TBNT|6ASPD|7ZMB|8aRCR|9BBNT
4	16114 31111	 * 	278.36	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1RPLT|2DMG|3MLV|4VULN|5ZMB|6ASPD|7TBNT|8aRCR|9BBNT
5	12216 51111	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1RPLT|2ERES|36VULN|4MBVNT|5ASPD|7TBNT|8aRCR|9BBNT
6	12216 58111	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1RPLT|2ERES|36VULN|4MBVNT|5ASPD|7BBNT|8aRCR|9TBNT
7	12218 31111	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1RPLT|2ERES|35VULN|4MBVNT|6ASPD|7TBNT|8aRCR|9BBNT
8	12218 38111	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1RPLT|2ERES|35VULN|4MBVNT|6ASPD|7BBNT|8aRCR|9TBNT
9	12326 51111	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1RPLT|2ERES|3MBVNT|46VULN|5ASPD|7TBNT|8aRCR|9BBNT
10	12326 58111	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1RPLT|2ERES|3MBVNT|46VULN|5ASPD|7BBNT|8aRCR|9TBNT
11	12328 31111	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1RPLT|2ERES|3MBVNT|45VULN|6ASPD|7TBNT|8aRCR|9BBNT
12	12328 38111	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1RPLT|2ERES|3MBVNT|45VULN|6ASPD|7BBNT|8aRCR|9TBNT
13	34123 14316	   	266.84	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1DUR|2ASPD|3FEWX|4AART|5LIT|6LWND|78RCR|9MLV|aVULN
14	34123 34311	   	266.84	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1DUR|2ASPD|3FEWX|4AART|5LIT|6VULN|78RCR|9MLV|aCGEN
15	34123 34313	   	266.84	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1DUR|2ASPD|3FEWX|4AART|5LIT|6VULN|78RCR|9MLV|aLHND
16	34123 34312	   	266.74	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1MSE	1DUR|2ASPD|3FEWX|4AART|5LIT|6VULN|78RCR|9MLV|aMSE
17	34123 34315	   	266.74	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1ZMB	1DUR|2ASPD|3FEWX|4AART|5LIT|6VULN|78RCR|9MLV|aZMB
18	16114 11111	 * 	264.70	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1RPLT|2DMG|3MLV|4VULN|5ZMB|6AAC|7TBNT|8aRCR|9BBNT
