0	Index      	 *	Score 	Summary	Detail	
1	33121 34863	 * 	284.97	DCR|DCR|3DMG|3CDMG|3DUR	1BBNT|238DUR|4MBVNT|58aDMG|69RCR|78aCDMG|8aBPWR
2	34222 41225	 * 	279.71	DCR|DCR|2VULN|1MLV|1ASPD	1BBNT|2aVULN|3TBNT|4ASPD|5MLV|6SPLJET|78RCR|9RMIN
3	62331 66111	   	279.71	DCR|DCR|2VULN|1MLV|1CDMG	1MLV|2BASHEA|38VULN|4BEXP|5CDMG|6LIT|7aRCR|9FEWX
4	34222 41262	 * 	276.90	DCR|DCR|1VULN|2MLV|1ASPD|1RPLT	1BBNT|2VULN|3TBNT|4ASPD|59MLV|6SPLJET|78RCR|aRPLT
5	33121 34865	   	272.84	DCR|DCR|2DMG|3DUR|2CDMG|1RPLT	1BBNT|238DUR|4MBVNT|58DMG|69RCR|78CDMG|8BPWR|aRPLT
6	61121 33451	 * 	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MLV|2BBNT|3CGEN|4MBVNT|5DMG|6aRCR|7TBNT|8VULN|9RPLT
7	61421 33451	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MLV|2BBNT|3TLV|4MBVNT|5DMG|6aRCR|7TBNT|8VULN|9RPLT
8	65121 33451	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MLV|2TBNT|3CGEN|4MBVNT|5DMG|6aRCR|7BBNT|8VULN|9RPLT
9	61521 33451	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MLV|2BBNT|3AME|4MBVNT|5DMG|6aRCR|7TBNT|8VULN|9RPLT
10	34222 41261	   	267.14	DCR|DCR|1VULN|2MLV|1ASPD	1BBNT|2VULN|3TBNT|4ASPD|59MLV|6SPLJET|78RCR|aMBVNT
11	34222 41263	   	267.14	DCR|DCR|1VULN|2MLV|1ASPD|1SELL	1BBNT|2VULN|3TBNT|4ASPD|59MLV|6SPLJET|78RCR|aSELL
12	33121 34861	   	263.18	DCR|DCR|2DMG|3DUR|2CDMG	1BBNT|238DUR|4MBVNT|58DMG|69RCR|78CDMG|8BPWR|aRCVC
13	33121 34862	   	263.18	DCR|DCR|2DMG|3DUR|2CDMG	1BBNT|238DUR|4MBVNT|58DMG|69RCR|78CDMG|8BPWR|aFEWX
14	33121 34864	   	263.18	DCR|DCR|2DMG|3DUR|2CDMG	1BBNT|238DUR|4MBVNT|58DMG|69RCR|78CDMG|8BPWR|aLIT
15	33121 34866	   	263.18	DCR|DCR|2DMG|3DUR|2CDMG	1BBNT|238DUR|4MBVNT|58DMG|69RCR|78CDMG|8BPWR|aBEXP
16	33121 34867	   	263.18	DCR|DCR|2DMG|3DUR|2CDMG	1BBNT|238DUR|4MBVNT|58DMG|69RCR|78CDMG|8BPWR|aCGEN
17	33121 34663	   	263.08	DCR|DCR|2DMG|3DUR|2CDMG	1BBNT|238DUR|4MBVNT|5aDMG|69RCR|7aCDMG|aBPWR
18	33121 34868	   	263.08	DCR|DCR|2DMG|3DUR|2CDMG	1BBNT|238DUR|4MBVNT|58DMG|69RCR|78CDMG|8BPWR|aMDPS
19	11513 33742	   	262.23	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	14FEWX|2DMG|3VULN|5MBVNT|6aRCR|7ZMB|8DUR|9CDMG
20	11553 33742	   	262.23	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1FEWX|2DMG|3VULN|4MBVNT|5RCVC|6aRCR|7ZMB|8DUR|9CDMG
21	34222 41223	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1BBNT|2VULN|3TBNT|4ASPD|5MLV|6SPLJET|78RCR|9RMIN|aRPLT
22	34222 41243	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1BBNT|2VULN|3TBNT|4ASPD|5MLV|6SPLJET|78RCR|9TLV|aRPLT
23	42252 21224	   	261.09	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AME|2BASHEA|3RPLT|4VULN|5NUKE|6ASPD|7aRCR|8MLV|9LIT
24	26251 21224	   	261.05	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT|1ZMB	1ZMB|2SPLARM|3RPLT|4VULN|5RMIN|6ASPD|7aRCR|8MLV|9LIT
25	34222 41222	   	259.94	DCR|DCR|1VULN|1MLV|1ASPD	1BBNT|2VULN|3TBNT|4ASPD|5MLV|6SPLJET|78RCR|9RMIN|aDUR
26	34222 41242	   	259.94	DCR|DCR|1VULN|1MLV|1ASPD	1BBNT|2VULN|3TBNT|4ASPD|5MLV|6SPLJET|78RCR|9TLV|aDUR
27	34222 41214	   	259.84	DCR|DCR|1VULN|1MLV|1ASPD	1BBNT|2VULN|3TBNT|4ASPD|5MLV|6SPLJET|78RCR|9BLASTR|aDUR
28	34222 41213	   	258.47	DCR|DCR|1VULN|1MLV|1ASPD	1BBNT|2VULN|3TBNT|4ASPD|5MLV|6SPLJET|78RCR|9BLASTR|aNUKE
29	33521 34817	   	258.07	DCR|DCR|2DMG|2CDMG|2DUR	1BBNT|28DUR|3DMSP|4MBVNT|58DMG|6aRCR|78CDMG|8BPWR|9AME
30	61352 41213	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2BBNT|3BEXP|4DMG|5TBNT|6FRZICY|78RCR|9VENICY|aVULN
31	22211 11346	   	255.70	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ZMB|2MLV|3LHND|4RPLT|5ERES|6CGEN|7VULN|8aRCR|9DUR
32	22212 11346	   	255.70	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ZMB|2MLV|3LHND|4RPLT|5CGEN|6ERES|7VULN|8aRCR|9DUR
33	22311 11346	   	255.70	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ZMB|2MLV|3LWND|4RPLT|5ERES|6CGEN|7VULN|8aRCR|9DUR
34	22312 11346	   	255.70	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ZMB|2MLV|3LWND|4RPLT|5CGEN|6ERES|7VULN|8aRCR|9DUR
