0	Index      	 *	Score 	Summary	Detail	
1	51326 21513	 * 	303.61	橙橙2易伤1伤害2暴击2时间	1技能28易伤3伤害48时间5挖尘6低血量敌人78暴击8序列升级9a核
2	34232 12113	 * 	299.18	橙橙3易伤1矿等	1挖尘256易伤3矿等4平台7基地爆炸8随机矿9a核
3	34232 13113	   	299.18	橙橙3易伤1矿等	1挖尘256易伤3矿等4平台7最后敌人8随机矿9a核
4	34232 16113	   	299.18	橙橙3易伤1矿等	1挖尘256易伤3矿等4平台7低血量敌人8随机矿9a核
5	36432 12113	   	299.18	橙橙3易伤1矿等	1挖尘2矿等356易伤4平台7基地爆炸8随机矿9a核
6	36432 13113	   	299.18	橙橙3易伤1矿等	1挖尘2矿等356易伤4平台7最后敌人8随机矿9a核
7	36432 16113	   	299.18	橙橙3易伤1矿等	1挖尘2矿等356易伤4平台7低血量敌人8随机矿9a核
8	33321 63513	   	296.61	橙橙3易伤2时间	18挖尘2平台37最后敌人48时间568易伤8序列升级9a核
9	32421 31513	   	290.40	橙橙2易伤2暴击1攻速1策反	1挖尘28低血量敌人3攻速4时间58易伤6策反78暴击8序列升级9a核
10	31332 15513	   	290.06	橙橙3易伤	18挖尘2立即金币3时间4平台578易伤68低血量敌人8序列升级9a核
11	31333 65513	   	290.06	橙橙3易伤	18挖尘2立即金币3时间4平台58低血量敌人678易伤8序列升级9a核
12	33421 65213	   	289.96	橙橙3易伤	1挖尘2平台3敌人爆炸4时间567易伤8双倍矿9a核
13	21126 25241	   	285.64	橙橙3易伤1攻速	1赏金邻近248易伤3低血量敌人5攻速6a核7额外掉落9防空对愈
14	34231 45213	   	284.03	橙橙2易伤1矿等	1挖尘27易伤3矿等4平台5时间6随机矿8双倍矿9a核
15	34221 33113	   	283.93	橙橙2易伤1矿等	17挖尘25易伤3矿等4时间6平台8随机矿9a核
16	34231 65213	   	283.93	橙橙2易伤1矿等	1挖尘27易伤3矿等4平台5时间6掉矿8双倍矿9a核
17	36421 33113	   	283.93	橙橙2易伤1矿等	17挖尘2矿等35易伤4时间6平台8随机矿9a核
18	26234 24333	   	282.14	橙橙2易伤1伤害1暴击	1赏金邻近2暴击3毒液对黄4挖尘5伤害68核7a易伤9雷电
19	32411 31513	   	282.10	橙橙2易伤2暴击1攻速1策反	1挖尘28低血量敌人3攻速4基地爆炸58易伤6策反78暴击8序列升级9a核
20	31232 15513	   	281.75	橙橙3易伤	18挖尘2立即金币3基地爆炸4平台578易伤68低血量敌人8序列升级9a核
21	31233 65513	   	281.75	橙橙3易伤	18挖尘2立即金币3基地爆炸4平台58低血量敌人678易伤8序列升级9a核
22	33361 63513	   	281.75	橙橙3易伤	18挖尘2平台37最后敌人48敌人爆炸568易伤8序列升级9a核
23	32532 33213	   	281.65	橙橙3易伤	13挖尘26低血量敌人4平台567易伤6序列升级8基地爆炸9a核
24	33132 63113	   	281.65	橙橙3易伤	17挖尘2平台3掉矿47低血量敌人567易伤7序列升级8随机矿9a核
25	42622 12113	   	281.65	橙橙3易伤	1金币生成256易伤3平台4挖尘7基地爆炸8随机矿9a核
26	42622 13113	   	281.65	橙橙3易伤	1金币生成256易伤3平台4挖尘7最后敌人8随机矿9a核
27	42622 16113	   	281.65	橙橙3易伤	1金币生成256易伤3平台4挖尘7低血量敌人8随机矿9a核
28	42632 13113	   	281.65	橙橙3易伤	1金币生成256易伤3平台4基地爆炸7挖尘8随机矿9a核
29	32232 63113	   	281.55	橙橙3易伤	17挖尘2低血量敌人37技能点4平台567易伤7序列升级8随机矿9a核
30	42313 54213	   	276.22	橙橙1易伤1伤害1攻速1暴击	1金币生成2易伤3伤害4等级5时间6暴击7攻速8基地爆炸9a核
31	51121 54313	   	275.93	橙橙2易伤1攻速1暴击	1技能25易伤3基地爆炸4低血量敌人6暴击7攻速8最后敌人9a核
32	33432 55213	   	275.72	橙橙2易伤1矿等	1挖尘2平台3敌人爆炸4等级57易伤6矿等8双倍矿9a核
