0	Index      	 *	Score 	Summary	Detail	
1	23242 51152	 * 	264.85	橙橙1易伤1伤害1矿等1全技能	1金币生成2挖尘3易伤4伤害5低血量敌人6敌人爆炸7全技能89核a矿等
2	62322 33333	 * 	258.55	橙橙2易伤2时间	1低血量敌人2赏金塔3双倍秒伤45易伤6掉矿79核8a时间
3	62322 33331	   	252.00	橙橙2易伤	1低血量敌人2赏金塔3双倍秒伤45易伤6掉矿79核8时间a基地爆炸
4	62322 33332	   	252.00	橙橙2易伤	1a低血量敌人2赏金塔3双倍秒伤45易伤6掉矿79核8时间
5	62322 33334	   	252.00	橙橙2易伤	1低血量敌人2赏金塔3双倍秒伤45易伤6掉矿79核8时间a赏金邻近
6	62322 33335	   	252.00	橙橙2易伤	1低血量敌人2赏金塔3双倍秒伤45易伤6掉矿79核8时间a敌人爆炸
7	62322 33336	   	252.00	橙橙2易伤	1低血量敌人2赏金塔3双倍秒伤45易伤6掉矿79核8时间a立即金币
8	23323 12255	   	251.21	橙橙1易伤1伤害1暴击	1金币生成2挖尘3等级4伤害5易伤6低血量敌人7a核8掉矿9暴击
9	34121 25432	 * 	251.05	橙3易伤2矿等1伤害2暴击	129敌人爆炸39矿等4伤害57a易伤69暴击8核9序列升级
10	23242 51151	   	247.32	橙橙1易伤1伤害1全技能	1金币生成2挖尘3易伤4伤害5低血量敌人6敌人爆炸7全技能89核a雷电
11	23242 51153	   	247.32	橙橙1易伤1伤害1全技能	1金币生成2挖尘3易伤4伤害5低血量敌人6敌人爆炸7全技能89核a最后敌人
12	63141 22151	   	247.32	橙橙1易伤1伤害1全技能	1低血量敌人2随机矿3最后敌人4伤害5易伤6全技能7挖尘89核a雷电
13	63141 22153	   	247.32	橙橙1易伤1伤害1全技能	1低血量敌人2随机矿3a最后敌人4伤害5易伤6全技能7挖尘89核
14	63141 31151	   	247.32	橙橙1易伤1伤害1全技能	1低血量敌人2随机矿3最后敌人4伤害5易伤6挖尘7全技能89核a雷电
15	63141 31153	   	247.32	橙橙1易伤1伤害1全技能	1低血量敌人2随机矿3a最后敌人4伤害5易伤6挖尘7全技能89核
16	63141 22152	   	247.22	橙橙1易伤1伤害1全技能	1低血量敌人2随机矿3最后敌人4伤害5易伤6全技能7挖尘89核a技能点
17	63141 31152	   	247.22	橙橙1易伤1伤害1全技能	1低血量敌人2随机矿3最后敌人4伤害5易伤6挖尘7全技能89核a技能点
18	32113 26662	   	244.99	橙橙1易伤1攻速1暴击	1敌人爆炸2赏金塔3低血量敌人4技能5攻速6a核7暴击8易伤9赏金邻近
19	23343 12255	   	244.79	橙橙1易伤1攻速1暴击	1金币生成2挖尘3等级4攻速5易伤6低血量敌人7a核8掉矿9暴击
20	23262 51152	   	244.79	橙橙1易伤1矿等1全技能	1金币生成2挖尘3易伤4技能5低血量敌人6敌人爆炸7全技能89核a矿等
21	62322 33111	   	243.60	橙橙2易伤	1低血量敌人2赏金塔3双倍秒伤45易伤6掉矿7a核8激光对绿9额外掉落
22	22513 13212	   	237.66	橙橙1易伤1伤害	1金币生成2赏金塔3额外掉落4掉矿5技能6伤害7随机矿89核a易伤
23	25313 13212	   	237.66	橙橙1易伤1伤害	1金币生成2技能3技能点4赏金塔5额外掉落6伤害7随机矿89核a易伤
24	23141 42235	   	237.31	橙橙1易伤1伤害1卖塔	1金币生成2挖尘3最后敌人4伤害5易伤6等级7a核8掉矿9卖塔
25	23323 12235	   	237.31	橙橙1易伤1伤害1卖塔	1金币生成2挖尘3等级4伤害5易伤6低血量敌人7a核8掉矿9卖塔
26	23242 42235	   	237.31	橙橙1易伤1伤害1卖塔	1金币生成2挖尘3易伤4伤害5低血量敌人6等级7a核8掉矿9卖塔
