0	Index      	 *	Score 	Summary	Detail	
1	22535 12622	 * 	192.74	ACR|3VULN|3DMG|1AART	1CGEN|25aDMG|367VULN|4RCR|8LWND|9AART
2	15334 61331	 * 	192.13	ACR|3VULN|3DMG|3DUR|1ASPD	17aDUR|28aDMG|3CGEN|4RCR|5ASPD|69aVULN|aBPWR
3	22535 22632	 * 	189.73	ACR|3DMG|2VULN|2AART	1CGEN|25aDMG|38VULN|4RCR|6LHND|79AART
4	22235 12632	   	189.73	ACR|3DMG|2VULN|2AART	1CGEN|25aDMG|3LHND|4RCR|68VULN|79AART
5	22235 12636	 * 	189.73	ACR|3VULN|2DMG|2AART	1CGEN|25DMG|3LHND|4RCR|68aVULN|79AART
6	22535 32521	   	189.63	ACR|3VULN|2DMG|2AART	1CGEN|25DMG|389VULN|4RCR|6ERES|7aAART
7	52235 12632	   	189.63	ACR|3DMG|2VULN|2AART	1ERES|25aDMG|3LHND|4RCR|68VULN|79AART
8	15334 62331	   	188.31	ACR|3VULN|3DMG|2DUR|1ASPD	1aDUR|28aDMG|3CGEN|4RCR|5ASPD|69aVULN|7DMSP|aBPWR
9	52535 12212	 * 	187.05	ACR|5VULN|2DMG|1ASPD	1ERES|25DMG|3679aVULN|4RCR|8ASPD
10	22535 32522	   	185.13	ACR|3VULN|2DMG|1AART|1ASPD	1CGEN|25DMG|389VULN|4RCR|6ERES|7AART|aASPD
11	22535 32136	   	184.98	ACR|2VULN|2DMG|2AART|1ZMB	1CGEN|25DMG|3aVULN|4RCR|6ERES|79AART|8ZMB
12	22535 32325	   	184.98	ACR|2VULN|2DMG|2AART|1ZMB	1CGEN|25DMG|39VULN|4RCR|6ERES|78AART|aZMB
13	15333 11331	 * 	184.39	ACR|3DMG|2VULN|3DUR|2ZMB	15aDUR|28aDMG|3CGEN|4RCR|69VULN|7aZMB|aBPWR
14	22535 36222	   	184.03	ACR|3DMG|2VULN|1AART|1ASPD	17CGEN|25aDMG|37VULN|4RCR|67ERES|7BPWR|8ASPD|9AART
15	22535 15222	   	183.93	ACR|3DMG|2VULN|1AART|1ASPD	1CGEN|25aDMG|36VULN|4RCR|7TLV|8ASPD|9AART
16	52535 13222	   	183.93	ACR|3DMG|2VULN|1AART|1ASPD	1ERES|25aDMG|36VULN|4RCR|7CGEN|8ASPD|9AART
