0	Index      	 *	Score 	Summary	Detail	
1	52631 32115	 * 	200.88	ACR|3VULN|2DMG|1AART|2ZMB|1ASPD	1aZMB|2AART|3aDMG|4ASPD|5RCR|6LWND|7RMIN|89aVULN|aBPWR
2	34213 52632	 * 	200.83	DCR|2VULN|2DMG|1AART|2CDMG|3DUR	1RMIN|2aVULN|3AART|468DUR|5aDMG|7RCR|9aCDMG|aBPWR
3	52631 14123	 * 	198.78	ACR|2VULN|2DMG|1AART|2ZMB|2ASPD|1DUR	19ZMB|2AART|3aDMG|49ASPD|5RCR|6CGEN|7DUR|89VULN|9BPWR
4	52631 24123	   	198.68	ACR|2VULN|2DMG|1AART|2ZMB|2ASPD|1DUR	19ZMB|2AART|3aDMG|49ASPD|5RCR|6TLV|7DUR|89VULN|9BPWR
5	22351 61325	 * 	192.67	DCR|4VULN|2DMG|1AART	13LHND|2345VULN|3BPWR|6AART|7RCR|8RPLT|9aDMG
6	52631 33123	   	191.84	ACR|2VULN|2DMG|1AART|2ZMB|2ASPD	19ZMB|2AART|3aDMG|49ASPD|5RCR|6LWND|7CGEN|89VULN|9BPWR
7	52631 53213	 * 	190.23	ACR|3DMG|1AART|1VULN|2ZMB|1ASPD|1DUR	18ZMB|2AART|38aDMG|4ASPD|5RCR|6VULN|78CGEN|8BPWR|9DUR
8	52631 14113	   	188.11	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1ZMB|2AART|3aDMG|4ASPD|5RCR|6CGEN|7DUR|89VULN
9	52631 53113	   	188.11	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1ZMB|2AART|3aDMG|4ASPD|5RCR|68VULN|7CGEN|9DUR
10	52631 24113	   	188.01	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1ZMB|2AART|3aDMG|4ASPD|5RCR|6TLV|7DUR|89VULN
11	52631 13263	 * 	187.90	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD|1CDMG	17ZMB|2AART|3DMG|47ASPD|5RCR|67CGEN|7BPWR|89VULN|aCDMG
12	52631 33124	   	187.90	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD|1CDMG	19ZMB|2AART|3DMG|49ASPD|5RCR|6LWND|7CGEN|89VULN|9BPWR|aCDMG
13	52631 23263	   	187.70	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|2ASPD	17ZMB|2AART|3DMG|47ASPD|5RCR|67TLV|7BPWR|89VULN|aCDMG
14	52534 22321	 * 	187.33	DCR|3DMG|1AART|1VULN|2ZMB|1DUR|1SELL	15ZMB|2AART|3DMSP|45aDMG|5BPWR|6RCR|7SELL|8VULN|9DUR
15	34213 12361	 * 	186.96	DCR|3DMG|2VULN|1AART|1DUR|1SELL	1RMIN|29VULN|3AART|4DUR|56aDMG|7RCR|8SELL
16	61311 26114	 * 	186.59	ACR|3VULN|2DMG|2ZMB|1CDMG	1RCVC|2RCR|38TLV|47DMG|589VULN|68ZMB|8BPWR|aCDMG
17	34213 12214	 * 	186.00	DCR|2AART|2DMG|1VULN|1FLTHEA|1DUR|1ASPD	1RMIN|2VULN|39AART|4DUR|56DMG|7RCR|8FLTHEA|aASPD
18	52631 53221	   	185.23	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	18ZMB|2AART|38DMG|4ASPD|5RCR|6aVULN|78CGEN|8BPWR|9MLV
19	32213 12113	   	185.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|2LHND|3AART|4DUR|56DMG|7RCR|89VULN|aCDMG
20	34213 12123	   	185.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|28VULN|3AART|4DUR|56DMG|7RCR|9FEWX|aCDMG
21	34213 12131	   	185.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|28VULN|3AART|4DUR|56DMG|7RCR|9BELT|aCDMG
22	34213 12513	   	185.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|29VULN|3AART|4DUR|56DMG|7RCR|8BEXP|aCDMG
23	34223 53363	   	185.16	DCR|3VULN|2DMG|1AART|2DUR|1SELL	1RMIN|279VULN|3AART|4DUST|57DMG|67DUR|7BPWR|8SELL|aRCR
24	34223 12113	   	185.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|28VULN|3AART|4DUST|56DMG|7RCR|9DUR|aCDMG
25	34223 12613	   	185.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|29VULN|3AART|4DUST|56DMG|7RCR|8DUR|aCDMG
26	64362 12123	   	184.58	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1RCVC|2AART|39DUR|49DMG|5LWND|6CGEN|7RCR|89VULN|9BPWR|aASPD
27	64362 22123	   	184.48	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1RCVC|2AART|39DUR|49DMG|5LWND|6TLV|7RCR|89VULN|9BPWR|aASPD
28	64363 12123	   	184.48	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1RCVC|2AART|39DUR|49DMG|5DUST|6CGEN|7RCR|89VULN|9BPWR|aASPD
29	64363 22123	   	184.38	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1RCVC|2AART|39DUR|49DMG|5DUST|6TLV|7RCR|89VULN|9BPWR|aASPD
30	52631 52113	   	184.18	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ZMB|2AART|3DMG|4ASPD|5RCR|68VULN|7RMIN|9DUR|aCDMG
31	34213 12265	   	183.91	DCR|2DMG|1AART|1VULN|1FLTHEA|2DUR|1ZMB	1RMIN|2VULN|3AART|4aDUR|56DMG|7RCR|8FLTHEA|9ZMB
32	52631 11263	   	183.85	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1ZMB|2AART|3DMG|47ASPD|5RCR|6CGEN|89VULN|aCDMG
33	52631 21263	   	183.75	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1ZMB|2AART|3DMG|47ASPD|5RCR|6TLV|89VULN|aCDMG
34	52631 53233	   	183.29	ACR|3DMG|1AART|1VULN|2ZMB|1ASPD	18ZMB|2AART|38aDMG|4ASPD|5RCR|6VULN|78CGEN|8BPWR|9BEXP
35	34223 62613	 * 	183.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|269VULN|3AART|4DUST|5DMG|7RCR|8DUR|aCDMG
36	34223 62113	   	183.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|268VULN|3AART|4DUST|5DMG|7RCR|9DUR|aCDMG
37	34213 12322	 * 	183.02	DCR|3DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1RMIN|2VULN|3AART|4DUR|569DMG|7RCR|8SELL|aCDMG
38	32213 12116	 * 	183.00	DCR|2AART|2VULN|2DMG|1DUR	1RMIN|2LHND|3aAART|4DUR|56DMG|7RCR|89VULN
39	52534 23221	 * 	182.57	DCR|2VULN|2DMG|1AART|2ZMB	15ZMB|2AART|3DMSP|45DMG|5BPWR|6RCR|7FEWX|8aVULN|9MLV
40	22352 33356	 * 	182.39	DCR|5VULN|2DMG	13aLHND|2348aVULN|3aBPWR|5FEWX|6RCR|7TLV|9aDMG
