0	Index      	 *	Score 	Summary	Detail	
1	41635 32223	 * 	205.94	ACR|4VULN|3DMG|1AART	169aVULN|29aDMG|389MLV|4BELT|5RCR|7AART|9aBPWR
2	41412 21236	 * 	200.57	DCR|3DMG|2AART|2VULN|1CDMG	17VULN|247DMG|3aAART|57ERES|6RPLT|7BPWR|8CDMG|9RCR
3	41335 32521	   	198.48	ACR|3VULN|3DMG|1AART|1ASPD	169VULN|289DMG|39ERES|4BELT|5RCR|7AART|9BPWR|aASPD
4	41412 21234	   	196.06	DCR|3DMG|2VULN|1AART|1CDMG|1ASPD	17VULN|247DMG|3AART|57ERES|6RPLT|7BPWR|8CDMG|9RCR|aASPD
5	41412 21235	   	196.06	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	17VULN|247DMG|3AART|57ERES|6RPLT|7BPWR|8CDMG|9RCR|aDUR
6	41423 32216	 * 	193.51	DCR|3VULN|2DMG|1AART|1CDMG|1DUR|1SELL	159VULN|25DMG|3AART|4SELL|5BPWR|6CDMG|7LWND|8DUR|aRCR
7	41423 21127	 * 	191.72	DCR|4VULN|2DMG|1AART|1SELL	159aVULN|25DMG|3AART|4SELL|5BPWR|6BEXP|7MBVNT|8RCR
8	41422 13127	 * 	191.62	DCR|4VULN|2DMG|1AART|1SELL	179aVULN|27DMG|3AART|4SELL|57DUST|6MBVNT|7BPWR|8RCR
9	21222 43126	 * 	191.57	DCR|4VULN|2DMG|1AART	17BEXP|27DMG|379aVULN|4AART|5RPLT|6RCVC|7BPWR|8RCR
10	41335 32523	   	191.44	ACR|3VULN|3DMG|1AART	169VULN|289DMG|39ERES|4BELT|5RCR|7AART|9BPWR|aBASHEA
11	41426 13124	   	191.37	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	179VULN|27DMG|3AART|4SELL|57LHND|6MBVNT|7BPWR|8RCR|aCDMG
12	41262 32261	 * 	191.37	DCR|4VULN|3DMG|1CDMG	135aVULN|268DMG|46BASICY|6BPWR|7CDMG|9RCR
13	11222 43126	   	191.37	DCR|4VULN|2DMG|1AART	17DUST|27DMG|379aVULN|4AART|5RPLT|6RCVC|7BPWR|8RCR
14	41413 22316	   	191.01	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	169VULN|24DMG|3AART|5BEXP|7DUR|8ZMB|aRCR
15	21224 22316	   	190.41	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1BEXP|25DMG|369VULN|4AART|7DUR|8ZMB|aRCR
16	21226 22336	 * 	190.26	DCR|2AART|2VULN|2DMG|2ZMB|1DUR	19BEXP|29DMG|36VULN|45AART|7DUR|89ZMB|9BPWR|aRCR
17	41412 21421	   	190.10	DCR|3DMG|2VULN|1AART|2DUR	17VULN|247DMG|3AART|57ERES|6RPLT|7BPWR|8RCR|9aDUR
18	11224 22313	   	189.40	DCR|3VULN|2DMG|1AART|2DUR	1DUST|25DMG|369VULN|4AART|7aDUR|8RCR
19	41524 22313	   	189.40	DCR|3VULN|2DMG|1AART|2DUR	169VULN|25DMG|3DUST|4AART|7aDUR|8RCR
20	41412 21231	   	189.12	DCR|3DMG|2VULN|1AART|1CDMG	17VULN|247DMG|3AART|57ERES|6RPLT|7BPWR|8CDMG|9RCR|aRCVC
