0	Index      	 *	Score 	Summary	Detail	
1	13623 26512	 * 	189.93	ACR|3DMG|2AART|2VULN	19CGEN|2RMIN|3aAART|4LIT|5RCR|689DMG|79VULN|9BPWR
2	23142 36422	 * 	186.89	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aVULN|2RMIN|3BEXP|4RCR|5aLHND|6ZMB|7CDMG|8AART|9aDMG|aBPWR
3	23342 36422	   	186.89	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aVULN|2RMIN|3LWND|4RCR|5aLHND|6ZMB|7CDMG|8AART|9aDMG|aBPWR
4	22143 23435	 * 	185.80	ACR|4VULN|1AART|1DMG|1ZMB	158aVULN|2CGEN|3BEXP|4RCR|6DMG|7AART|9ZMB
5	22143 23436	 * 	185.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	158VULN|2CGEN|3BEXP|4RCR|6DMG|7AART|9ZMB|aCDMG
6	21622 42631	 * 	185.30	DCR|3VULN|2DMG|1AART|2DUR	16aVULN|2DUST|3aDUR|4TLV|5LHND|7AART|8aDMG|9RCR|aBPWR
7	25163 23531	   	184.63	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	139VULN|2RPLT|4ZMB|5SELL|69BEXP|79DMG|8RCR|9BPWR|aAART
8	23211 25138	 * 	184.21	DCR|2AART|2VULN|2DMG|2ASPD	17VULN|2RMIN|3ERES|4aAART|57ASPD|67DMG|7BPWR|8MBVNT|9RCR
9	64326 32424	 * 	183.71	DCR|3ZMB|1AART|1DMG|1VULN|1CDMG|2DUR	138ZMB|23DUR|3BPWR|4VULN|5MBVNT|6RCR|7AART|9DMG|aCDMG
10	22143 23432	 * 	183.15	ACR|3VULN|2AART|1DMG|1ZMB	158VULN|2CGEN|3BEXP|4RCR|6DMG|7aAART|9ZMB
11	22343 26234	 * 	182.79	ACR|3VULN|3DMG|1CDMG	159VULN|2CGEN|39LWND|4RCR|679DMG|8RPLT|9BPWR|aCDMG
12	26143 23234	   	182.69	ACR|3VULN|3DMG|1CDMG	159VULN|2ERES|39BEXP|4RCR|679DMG|8RPLT|9BPWR|aCDMG
13	26343 23234	   	182.69	ACR|3VULN|3DMG|1CDMG	159VULN|2ERES|39LWND|4RCR|679DMG|8RPLT|9BPWR|aCDMG
14	23143 33131	   	182.33	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	159VULN|2RMIN|39BEXP|4RCR|6ZMB|7DMG|89DUR|9BPWR|aAART
15	21523 32264	 * 	180.87	DCR|3VULN|2AART|1DMG|1ASPD	159VULN|2DUST|3ASPD|4MBVNT|6RCR|78AART|aDMG
16	22123 32878	   	180.17	DCR|3VULN|2DMG|1AART	159VULN|2CGEN|3BEXP|4MBVNT|6RCR|7AART|8aDMG
17	26323 32141	   	180.17	DCR|3VULN|2DMG|1AART	15aVULN|2aERES|3LWND|4MBVNT|6RCR|7AART|8LHND|9aDMG|aBPWR
18	26143 23232	   	180.04	ACR|3VULN|3DMG|1ZMB	159VULN|2ERES|39BEXP|4RCR|679DMG|8RPLT|9BPWR|aZMB
19	26343 23232	   	180.04	ACR|3VULN|3DMG|1ZMB	159VULN|2ERES|39LWND|4RCR|679DMG|8RPLT|9BPWR|aZMB
20	23211 25132	   	179.70	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	17VULN|2RMIN|3ERES|4AART|57ASPD|67DMG|7BPWR|8MBVNT|9RCR|aDUR
21	22143 23433	   	178.64	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	158VULN|2CGEN|3BEXP|4RCR|6DMG|7AART|9ZMB|aASPD
22	13623 26513	   	178.49	ACR|3DMG|2VULN|1AART	19CGEN|2RMIN|3AART|4LIT|5RCR|689DMG|79VULN|9BPWR|aMLV
23	23143 26131	   	178.27	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	159VULN|2RMIN|39BEXP|4RCR|6DMG|7ASPD|89DUR|9BPWR|aAART
24	22343 23365	   	178.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	159VULN|2CGEN|3LWND|4RCR|6DMG|7DUR|8AART|aZMB
25	23235 32614	 * 	177.94	ACR|3DMG|2VULN|2ASPD|1ZMB	19VULN|2RMIN|3ERES|4RCR|59ASPD|6ZMB|7CGEN|89aDMG|9BPWR
26	61236 63133	 * 	177.47	ACR|2VULN|2DMG|3ZMB|1CDMG	17aZMB|2BELT|3LIT|47VULN|5RCR|67DMG|7BPWR|8LHND|9CDMG
27	61236 63233	   	177.47	ACR|2VULN|2DMG|3ZMB|1CDMG	17aZMB|2BELT|3LIT|47VULN|5RCR|67DMG|7BPWR|8BEXP|9CDMG
28	22343 24234	 * 	176.69	ACR|3VULN|2DMG|1AART	159VULN|2CGEN|379LWND|4RCR|69DMG|8RPLT|9BPWR|aAART
29	22343 26263	 * 	175.08	ACR|2VULN|2DMG|1AART|1FLTHEA	15VULN|2CGEN|3LWND|4RCR|67DMG|8RPLT|9AART|aFLTHEA
30	26143 23263	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	15VULN|2ERES|3BEXP|4RCR|67DMG|8RPLT|9AART|aFLTHEA
31	26343 23263	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	15VULN|2ERES|3LWND|4RCR|67DMG|8RPLT|9AART|aFLTHEA
32	21523 32266	 * 	174.90	DCR|4VULN|2AART|1ASPD	159aVULN|2DUST|3ASPD|4MBVNT|6RCR|78AART
33	21523 32477	   	174.46	DCR|4VULN|1AART|1ZMB|1ASPD	159aVULN|2DUST|3ASPD|4MBVNT|6RCR|7AART|8ZMB
34	21523 32267	 * 	174.45	DCR|3VULN|2AART|1CDMG|1ASPD	159VULN|2DUST|3ASPD|4MBVNT|6RCR|78AART|aCDMG
35	13535 23432	   	174.43	ACR|2VULN|2AART|1DMG|1ZMB|1ASPD	1CGEN|2RMIN|38VULN|4RCR|5ASPD|6DMG|7aAART|9ZMB
36	22123 32883	 * 	174.23	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	15VULN|2CGEN|3BEXP|4MBVNT|6RCR|7AART|8DMG|9CDMG|aFLTHEA
37	22251 25138	 * 	174.07	DCR|3DMG|2VULN|1AART	17VULN|2CGEN|37ERES|4NUKE|5AART|67aDMG|7BPWR|8MBVNT|9RCR
38	22323 33448	   	173.81	DCR|3VULN|1AART|1DMG|2DUR	158VULN|2CGEN|38LWND|4MBVNT|6RCR|78DUR|8BPWR|9AART|aDMG
39	23143 23411	   	173.74	ACR|2VULN|2DMG|1AART|1ZMB	15VULN|2RMIN|3BEXP|4RCR|67DMG|8RCVC|9ZMB|aAART
40	26323 33348	   	173.71	DCR|3VULN|1AART|1DMG|2DUR	158VULN|2ERES|38LWND|4MBVNT|6RCR|78DUR|8BPWR|9AART|aDMG
41	22413 35211	   	173.68	ACR|2AART|2VULN|2DMG	19VULN|27CGEN|39LIT|4aAART|5RCR|6RMIN|89DMG|9BPWR
42	22123 32478	   	173.58	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2CGEN|3BEXP|4MBVNT|6RCR|7AART|8ZMB|aDMG
43	22323 32778	   	173.58	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2CGEN|3LWND|4MBVNT|6RCR|7AART|8ZMB|aDMG
44	22132 36614	   	173.58	ACR|3VULN|3DMG|1ASPD	169VULN|2CGEN|39BEXP|4ERES|5RCR|7ASPD|89aDMG|9BPWR
45	26123 32478	   	173.48	DCR|3VULN|1AART|1DMG|1ZMB	159VULN|2ERES|3BEXP|4MBVNT|6RCR|7AART|8ZMB|aDMG
46	22222 36614	   	173.48	ACR|3VULN|3DMG|1ASPD	169VULN|2CGEN|39ERES|4FEWX|5RCR|7ASPD|89aDMG|9BPWR
47	21523 83741	   	173.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	15VULN|2DUST|3ASPD|4MBVNT|6ZMB|78DMG|9RCR|aAART
48	22413 35214	   	173.24	ACR|2VULN|2DMG|1AART|1ZMB	19VULN|27CGEN|39LIT|4AART|5RCR|6RMIN|89DMG|9BPWR|aZMB
49	23143 33133	   	173.23	ACR|4VULN|1DMG|2DUR|1ZMB	159aVULN|2RMIN|39BEXP|4RCR|6ZMB|7DMG|89DUR|9BPWR
50	21122 42631	   	173.07	DCR|3VULN|2DMG|1AART	16aVULN|2DUST|3aFEWX|4TLV|5LHND|7AART|8aDMG|9RCR|aBPWR
51	66123 32222	 * 	172.93	DCR|2VULN|2DMG|1AART|2ZMB|1SELL	17ZMB|2RCVC|3MLV|4SELL|57DMG|67VULN|7BPWR|8AART|9RPLT|aRCR
52	66623 32222	 * 	172.93	DCR|2VULN|2DMG|1AART|2ZMB|1SELL	17ZMB|2RCVC|3CGEN|4SELL|57DMG|67VULN|7BPWR|8AART|9RPLT|aRCR
53	23211 12631	   	172.86	DCR|2VULN|2DMG|1AART|2ASPD	1aVULN|2RMIN|3ERES|4AART|5aASPD|6FEWX|7LHND|8aDMG|9RCR|aBPWR
54	23211 25131	   	172.76	DCR|2VULN|2DMG|1AART|2ASPD	17VULN|2RMIN|3ERES|4AART|57ASPD|67DMG|7BPWR|8MBVNT|9RCR|aLHND
55	23211 25133	   	172.76	DCR|2VULN|2DMG|1AART|2ASPD	17VULN|2RMIN|3ERES|4AART|57ASPD|67DMG|7BPWR|8MBVNT|9RCR|aMLV
56	23211 25134	   	172.76	DCR|2VULN|2DMG|1AART|2ASPD	17VULN|2RMIN|3ERES|4AART|57ASPD|67DMG|7BPWR|8MBVNT|9RCR|aFEWX
57	23211 25135	   	172.76	DCR|2VULN|2DMG|1AART|2ASPD	17VULN|2RMIN|3ERES|4AART|57ASPD|67DMG|7BPWR|8MBVNT|9RCR|aBEXP
58	23211 25136	   	172.76	DCR|2VULN|2DMG|1AART|2ASPD	17VULN|2aRMIN|3ERES|4AART|57ASPD|67DMG|7BPWR|8MBVNT|9RCR
