0	Index      	 *	Score 	Summary	Detail	
1	14232 21514	 * 	311.14	ACR|DCR|2VULN|2MLV|1TLV|2RAT	1AEFBLL|27RCR|36MLV|4AART|56RAT|6BPWR|89VULN|aTLV
2	14232 21241	 * 	308.48	ACR|DCR|3MLV|1VULN|1TLV|2RAT	1AEFBLL|27RCR|36aMLV|4AART|56RAT|6BPWR|8TLV|9VULN
3	54232 21241	   	308.48	ACR|DCR|3MLV|1VULN|1TLV|2RAT	1AEBURN|27RCR|36aMLV|4AART|56RAT|6BPWR|8TLV|9VULN
4	14232 31514	   	304.43	ACR|DCR|2VULN|2MLV|1TLV	1AEFBLL|27RCR|36MLV|4AART|5RAT|89VULN|aTLV
5	14232 31241	   	301.77	ACR|DCR|3MLV|1VULN|1TLV	1AEFBLL|27RCR|36aMLV|4AART|5RAT|8TLV|9VULN
6	14234 31241	   	301.77	ACR|DCR|3MLV|1VULN|1TLV	1AEFBLL|27RCR|35aMLV|4AART|6RAT|8TLV|9VULN
7	54232 31241	   	301.77	ACR|DCR|3MLV|1VULN|1TLV	1AEBURN|27RCR|36aMLV|4AART|5RAT|8TLV|9VULN
8	14232 21512	   	295.94	ACR|DCR|2VULN|2MLV|1AAC|2RAT	1AEFBLL|27RCR|36MLV|4AART|56RAT|6BPWR|89VULN|aAAC
9	54232 21512	   	295.94	ACR|DCR|2VULN|2MLV|1AAC|2RAT	1AEBURN|27RCR|36MLV|4AART|56RAT|6BPWR|89VULN|aAAC
10	14232 21243	   	291.48	ACR|DCR|2MLV|1VULN|1TLV|2AART|2RAT	1AEFBLL|27RCR|36MLV|4aAART|56RAT|6BPWR|8TLV|9VULN
11	54232 21243	   	291.48	ACR|DCR|2MLV|1VULN|1TLV|2AART|2RAT	1AEBURN|27RCR|36MLV|4aAART|56RAT|6BPWR|8TLV|9VULN
12	14232 21245	   	291.25	ACR|DCR|2MLV|1VULN|1TLV|3RAT	1AEFBLL|27RCR|36MLV|4AART|56aRAT|6BPWR|8TLV|9VULN
13	21152 22551	 * 	290.56	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1FEWX|2TBNT|3TLV|4VULN|5BBNT|6aRCR|7RCVC|8MLV|9ASPD
14	14232 31512	   	289.23	ACR|DCR|2VULN|2MLV|1AAC	1AEFBLL|27RCR|36MLV|4AART|5RAT|89VULN|aAAC
15	14234 31512	   	289.23	ACR|DCR|2VULN|2MLV|1AAC	1AEFBLL|27RCR|35MLV|4AART|6RAT|89VULN|aAAC
16	54232 31512	   	289.23	ACR|DCR|2VULN|2MLV|1AAC	1AEBURN|27RCR|36MLV|4AART|5RAT|89VULN|aAAC
17	14232 21216	   	285.98	ACR|DCR|2MLV|1TLV|1AAC|1ASPD|2RAT	1AEFBLL|27RCR|36MLV|4AART|56RAT|6BPWR|8TLV|9AAC|aASPD
18	54232 21216	   	285.98	ACR|DCR|2MLV|1TLV|1AAC|1ASPD|2RAT	1AEBURN|27RCR|36MLV|4AART|56RAT|6BPWR|8TLV|9AAC|aASPD
19	14232 21242	   	284.93	ACR|DCR|2MLV|1VULN|1TLV|2RAT	1AEFBLL|27RCR|36MLV|4AART|56RAT|6BPWR|8TLV|9VULN|aLIT
20	54232 21242	   	284.93	ACR|DCR|2MLV|1VULN|1TLV|2RAT	1AEBURN|27RCR|36MLV|4AART|56RAT|6BPWR|8TLV|9VULN|aLIT
21	14232 21212	 * 	284.83	ACR|DCR|2MLV|2AAC|1TLV|2RAT	1AEFBLL|27RCR|36MLV|4AART|56RAT|6BPWR|8TLV|9aAAC
22	14232 21244	   	284.83	ACR|DCR|2MLV|1VULN|1TLV|2RAT	1AEFBLL|27RCR|36MLV|4AART|56RAT|6BPWR|8TLV|9VULN|aERES
23	14232 31245	   	284.83	ACR|DCR|2MLV|1VULN|1TLV|2RAT	1AEFBLL|27RCR|36MLV|4AART|5aRAT|8TLV|9VULN
24	54232 21212	   	284.83	ACR|DCR|2MLV|2AAC|1TLV|2RAT	1AEBURN|27RCR|36MLV|4AART|56RAT|6BPWR|8TLV|9aAAC
25	14232 31243	   	284.77	ACR|DCR|2MLV|1VULN|1TLV|2AART	1AEFBLL|27RCR|36MLV|4aAART|5RAT|8TLV|9VULN
26	14234 31243	   	284.77	ACR|DCR|2MLV|1VULN|1TLV|2AART	1AEFBLL|27RCR|35MLV|4aAART|6RAT|8TLV|9VULN
27	54232 31243	   	284.77	ACR|DCR|2MLV|1VULN|1TLV|2AART	1AEBURN|27RCR|36MLV|4aAART|5RAT|8TLV|9VULN
28	46332 33232	   	282.53	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1AAC	1RMIN|2RCVC|3MLV|4AAC|58RCR|6VULN|7DMG|9DUR|aTLV
