0	Index      	 *	Score 	Summary	Detail	
1	53132 31414	 * 	326.22	DCR|DCR|2VULN|2MLV|1TLV	15MLV|2TLV|39VULN|4FEWX|6aRCR|7LHND|8BEXP
2	51131 12541	   	315.11	DCR|DCR|2VULN|1MLV|1AAC|1ASPD|1CDMG	1MLV|2ZMB|35VULN|4BASARM|6CDMG|7ASPD|8aRCR|9AAC
3	52131 12541	   	315.11	DCR|DCR|2VULN|1MLV|1AAC|1ASPD|1CDMG	1MLV|2AAC|35VULN|4BASARM|6CDMG|7ASPD|8aRCR|9ZMB
4	53161 43123	 * 	314.93	DCR|3MLV|2VULN|2DMG|1TLV	189MLV|2TLV|39VULN|4RAT|5AME|6RCR|79DMG|9BPWR|aDUR
5	53161 43122	   	306.62	DCR|3MLV|2VULN|2DMG|1TLV	189MLV|2TLV|39VULN|4RAT|5AME|6RCR|79DMG|9BPWR|aFEWX
6	53161 43121	   	306.52	DCR|3MLV|2VULN|2DMG|1TLV	189MLV|2TLV|39VULN|4RAT|5AME|6RCR|79DMG|9BPWR|aBEXP
7	53132 34134	   	300.12	DCR|DCR|2MLV|1VULN|1TLV	15MLV|2TLV|3VULN|4FEWX|6aRCR|7RMIN|8LHND|9CGEN
8	53132 34114	   	300.02	DCR|DCR|2MLV|1VULN|1TLV	15MLV|2TLV|3VULN|4FEWX|6aRCR|7RMIN|8LHND|9ERES
9	53132 34334	   	300.02	DCR|DCR|2MLV|1VULN|1TLV	15MLV|2TLV|3VULN|4FEWX|6aRCR|7RMIN|8BEXP|9CGEN
10	53132 34314	   	299.92	DCR|DCR|2MLV|1VULN|1TLV	15MLV|2TLV|3VULN|4FEWX|6aRCR|7RMIN|8BEXP|9ERES
11	12134 12551	 * 	297.56	DCR|2MLV|2DMG|1VULN|1TLV|2ASPD|1AAC	1aASPD|2AAC|3VULN|4aMLV|5LIT|6MDPS|7TLV|8RCR|9aDMG|aBPWR
