0	Index      	 *	Score 	Summary	Detail	
1	15133 23342	 * 	226.74	DCR|3VULN|1MDPS|2DMG|1AART|2CDMG|1AAC	1MDPS|2AAC|3DMSP|49CDMG|5AART|6RCR|79aVULN|89DMG|9BPWR
2	31625 11336	 * 	209.97	DCR|2VULN|2DMG|2CDMG|1ASPD	1FEWX|2RCVC|3RMIN|46CDMG|56VULN|6BPWR|78DMG|9RCR|aASPD
3	15133 23344	   	208.90	DCR|2VULN|1MDPS|2DMG|1AART|2CDMG|1AAC	1MDPS|2AAC|3DMSP|49CDMG|5AART|6RCR|79VULN|89DMG|9BPWR|aLHND
4	15133 23345	   	208.90	DCR|2VULN|1MDPS|2DMG|1AART|2CDMG|1AAC	1MDPS|2AAC|3DMSP|49CDMG|5AART|6RCR|79VULN|89DMG|9BPWR|aCGEN
5	15133 23346	   	208.90	DCR|2VULN|1MDPS|2DMG|1AART|2CDMG|1AAC	1MDPS|2AAC|3DMSP|49CDMG|5AART|6RCR|79VULN|89DMG|9BPWR|aLIT
6	15133 23341	   	208.80	DCR|2VULN|1MDPS|2DMG|1AART|2CDMG|1AAC|1MSE	1MDPS|2AAC|3DMSP|49CDMG|5AART|6RCR|79VULN|89DMG|9BPWR|aMSE
7	15133 23343	   	208.80	DCR|2VULN|1MDPS|2DMG|1AART|2CDMG|1AAC	1MDPS|2AAC|3DMSP|49CDMG|5AART|6RCR|79VULN|89DMG|9BPWR|aERES
8	32323 23342	   	208.61	DCR|2VULN|2DMG|1AART|1CDMG	19FEWX|29BEXP|3RMIN|4CDMG|5AART|6RCR|7aVULN|89DMG|9BPWR
9	52323 23342	   	208.41	DCR|2VULN|2DMG|1AART|1CDMG	19DUST|29BEXP|3RMIN|4CDMG|5AART|6RCR|7aVULN|89DMG|9BPWR
10	53323 23342	   	208.41	DCR|2VULN|2DMG|1AART|1CDMG	19DUST|29FEWX|3RMIN|4CDMG|5AART|6RCR|7aVULN|89DMG|9BPWR
11	31625 11332	   	207.74	DCR|3VULN|2DMG|2CDMG	1FEWX|2RCVC|3RMIN|46CDMG|56aVULN|6BPWR|78DMG|9RCR
12	51625 11332	   	207.64	DCR|3VULN|2DMG|2CDMG	1DUST|2RCVC|3RMIN|46CDMG|56aVULN|6BPWR|78DMG|9RCR
13	33625 11336	   	206.23	DCR|2VULN|2DMG|2CDMG|1ASPD	12FEWX|3RMIN|46CDMG|56VULN|6BPWR|78DMG|9RCR|aASPD
14	33625 11332	   	204.00	DCR|3VULN|2DMG|2CDMG	12FEWX|3RMIN|46CDMG|56aVULN|6BPWR|78DMG|9RCR
15	35452 23312	 * 	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1FEWX|29LHND|3CDMG|4AART|5ASPD|6RCR|7aVULN|8DMG
16	31625 31336	   	202.44	DCR|2VULN|2DMG|1ASPD|1CDMG	1FEWX|2RCVC|3RMIN|4CDMG|56VULN|78DMG|9RCR|aASPD
17	32433 23342	   	201.58	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	19FEWX|29BEXP|3CDMG|4AAC|5AART|6RCR|7aVULN|89DMG|9BPWR
18	52433 23342	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	19DUST|29BEXP|3CDMG|4AAC|5AART|6RCR|7aVULN|89DMG|9BPWR
19	15133 22632	   	201.28	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1AAC	1MDPS|2AAC|3DMSP|4CDMG|5AART|6RCR|78DMG|9aVULN
20	12611 22242	   	200.74	DCR|3VULN|1MDPS|1AART|2CDMG|2DUR	1MDPS|29AELBLL|36aVULN|49CDMG|59DUR|7RCR|8AART|9BPWR
21	31625 31332	   	200.21	DCR|3VULN|2DMG|1CDMG	1FEWX|2RCVC|3RMIN|4CDMG|56aVULN|78DMG|9RCR
22	51625 31332	   	200.11	DCR|3VULN|2DMG|1CDMG	1DUST|2RCVC|3RMIN|4CDMG|56aVULN|78DMG|9RCR
23	33625 31336	   	198.70	DCR|2VULN|2DMG|1ASPD|1CDMG	12FEWX|3RMIN|4CDMG|56VULN|78DMG|9RCR|aASPD
