0	Index      	 *	Score 	Summary	Detail	
1	42211 53353	 * 	232.43	DCR|3ASPD|2VULN|2DMG|1AART	19DMG|28VULN|3AART|49aASPD|5BELT|6RCR|79DUST|9BPWR
2	42234 48115	 * 	231.77	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1ZMB	18DMG|2aVULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9ASPD
3	66233 11432	 * 	229.70	DCR|4VULN|2ASPD|1AART|1DMG	1278VULN|37ASPD|47AME|5AART|6MBVNT|7BPWR|9RCR|aDMG
4	42252 11432	 * 	228.66	DCR|4VULN|3DMG|1AART	17aDMG|2578VULN|3AART|47AME|6MBVNT|7BPWR|9RCR
5	42222 11432	   	228.46	DCR|4VULN|3DMG|1AART	17aDMG|2578VULN|3AART|47ERES|6MBVNT|7BPWR|9RCR
6	42234 48511	 * 	228.40	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB	1DMG|28VULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9aASPD
7	43222 31413	   	228.36	DCR|3VULN|3DMG|1AART|2DUR	17aDMG|2LHND|3AART|467ERES|57aVULN|7aBPWR|8RCR|9aDUR
8	43226 21413	   	228.36	DCR|3VULN|3DMG|1AART|2DUR	17aDMG|2LHND|3AART|457ERES|67aVULN|7aBPWR|8RCR|9aDUR
9	41226 21413	   	228.26	DCR|3VULN|3DMG|1AART|2DUR	17aDMG|2DUST|3AART|457ERES|67aVULN|7aBPWR|8RCR|9aDUR
10	42234 48111	 * 	225.61	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|1ZMB	18DMG|2VULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9aASPD
11	12143 25126	 * 	223.05	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1DUR	1CGEN|26VULN|34ASPD|5AART|7DMG|8DUR|9RCR|aMDPS
12	62123 25126	   	223.05	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1DUR	16VULN|23ASPD|4CGEN|5AART|7DMG|8DUR|9RCR|aMDPS
13	62133 25126	   	223.05	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1DUR	16VULN|23ASPD|4AME|5AART|7DMG|8DUR|9RCR|aMDPS
14	42234 45126	 * 	221.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9AME|aASPD
15	42234 45136	   	221.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9CGEN|aASPD
16	42234 45161	   	221.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9LWND|aASPD
17	42234 45181	   	221.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9FEWX|aASPD
18	42234 48315	 * 	221.61	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	1DMG|2aVULN|3AART|4MBVNT|58CDMG|6RCR|7ZMB|9ASPD
19	42211 52335	 * 	221.61	DCR|3VULN|2AART|1ASPD|1DMG	1DMG|289VULN|3aAART|4ASPD|5BELT|6RCR|7LHND
20	42234 41515	   	221.58	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1DMG|28aVULN|3AART|4MBVNT|5CDMG|6RCR|7AAC|9ASPD
21	42234 45141	 * 	221.58	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9NUKE|aERES
22	42234 45142	   	221.58	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9NUKE|aLWND
23	42234 45143	   	221.58	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9NUKE|aDUST
24	42234 45144	   	221.58	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG|1MSE	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9NUKE|aMSE
25	42234 45145	   	221.58	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9NUKE|aRCVC
26	42234 45146	 * 	221.58	DCR|3VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9NUKE|aASPD
27	42234 45147	   	221.58	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9NUKE|aBEXP
28	42234 45315	   	221.58	DCR|3VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1DMG|27aVULN|3AART|4MBVNT|5CDMG|6RCR|8NUKE|9ASPD
29	42234 41115	   	221.34	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1AAC	18DMG|2aVULN|3AART|4MBVNT|5CDMG|6RCR|7AAC|9ASPD
30	42252 11431	   	221.31	DCR|4VULN|2DMG|1AART|1DUR	17DMG|2578VULN|3AART|47AME|6MBVNT|7BPWR|9RCR|aDUR
31	42242 21631	   	221.21	DCR|4VULN|2DMG|1AART|1DUR	18DMG|2567VULN|3AART|4CGEN|9RCR|aDUR
