0	Index      	 *	Score 	Summary	Detail	
1	14242 14523	 * 	220.44	DCR|2MDPS|2VULN|2DMG|2CDMG|1ASPD	1aMDPS|27DMG|3RPLT|47CDMG|5MBVNT|67VULN|7BPWR|8RCR|9ASPD
2	14242 14521	 * 	219.02	DCR|3VULN|2DMG|1MDPS|2CDMG|1ASPD	1MDPS|27DMG|3RPLT|47CDMG|5MBVNT|67aVULN|7BPWR|8RCR|9ASPD
3	35316 21621	 * 	213.85	DCR|4VULN|1ASPD|1DMG|1CDMG	138aVULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|9RPLT
4	33312 53253	 * 	213.19	DCR|4VULN|2DMG|1ASPD	1368VULN|2MLV|49DMG|5LIT|7RCR|aASPD
5	35312 53253	   	213.19	DCR|4VULN|2DMG|1ASPD	1368VULN|2CGEN|49DMG|5LIT|7RCR|aASPD
6	34222 41141	 * 	212.15	DCR|3VULN|2DMG|1ASPD|3DUR	14aVULN|2LWND|36aDUR|5ASPD|7FEWX|8aDMG|9RCR|aBPWR
7	14324 22353	 * 	212.06	DCR|2VULN|2DMG|1MDPS|3CDMG|1AART	1MDPS|29DMG|379CDMG|4AART|59VULN|6RPLT|8RCR|9BPWR|aFEWX
8	14324 22351	   	211.96	DCR|2VULN|2DMG|1MDPS|3CDMG|1AART|1MSE	1MDPS|29DMG|379CDMG|4AART|59VULN|6RPLT|8RCR|9BPWR|aMSE
9	14324 22352	   	211.96	DCR|2VULN|1MDPS|2DMG|3CDMG|1AART	1MDPS|29DMG|379CDMG|4AART|59VULN|6RPLT|8RCR|9BPWR|aERES
10	36113 51513	 * 	211.59	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	13VULN|2DUR|49CDMG|5ASPD|6TSLFST|7DMG|8AART|aRCR
11	25122 22142	   	211.26	DCR|3VULN|2DMG|1ASPD|2DUR	1aDUR|2BEXP|34aVULN|5ASPD|6CGEN|7RMIN|8aDMG|9RCR|aBPWR
12	35422 12142	   	211.26	DCR|3VULN|2DMG|1ASPD|2DUR	14aVULN|2CGEN|3aDUR|5ASPD|6FEWX|7RMIN|8aDMG|9RCR|aBPWR
