0	Index      	 *	Score 	Summary	Detail	
1	41362 11353	 * 	226.38	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	18VULN|2DUR|3ERES|4DMG|5CDMG|6RCR|7AART|9aASPD
2	62262 11353	   	218.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1AME|2FEWX|38VULN|4DMG|5CDMG|6RCR|7AART|9aASPD
3	45122 11353	   	218.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	18VULN|2DMG|3ERES|4FEWX|5CDMG|6RCR|7AART|9aASPD
4	43362 11353	   	217.97	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	18VULN|2DUST|3ERES|4DMG|5CDMG|6RCR|7AART|9aASPD
5	41352 11353	   	216.65	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB|1DUR	18VULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|9aASPD
6	61262 11421	 * 	215.57	DCR|3DMG|1MDPS|1VULN|1AART|1CDMG	1AME|2BEXP|3VULN|489DMG|5CDMG|6RCR|7AART|aMDPS
7	65262 11313	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AME|2DUR|38VULN|4DMG|5CDMG|6RCR|7AART|9BEXP|aASPD
8	65262 11333	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AME|2DUR|38VULN|4DMG|5CDMG|6RCR|7AART|9CGEN|aASPD
9	61262 11333	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AME|2BEXP|38VULN|4DMG|5CDMG|6RCR|7AART|9DUR|aASPD
10	41362 11313	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	18VULN|2DUR|3ERES|4DMG|5CDMG|6RCR|7AART|9BEXP|aASPD
11	41362 11333	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	18VULN|2DUR|3ERES|4DMG|5CDMG|6RCR|7AART|9CGEN|aASPD
12	41362 11351	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	18VULN|2DUR|3ERES|4DMG|5CDMG|6RCR|7AART|9ASPD|aBEXP
13	45152 11333	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	18VULN|2DMG|3ERES|4BEXP|5CDMG|6RCR|7AART|9DUR|aASPD
14	41362 11352	   	212.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	18VULN|2DUR|3ERES|4DMG|5CDMG|6RCR|7AART|9ASPD|aTLV
15	41362 11363	   	212.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	18VULN|2DUR|3ERES|4DMG|5CDMG|6RCR|7AART|9DUST|aASPD
16	43632 11353	   	211.56	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	18VULN|2DUST|34DUR|5CDMG|6RCR|7AART|9aASPD
17	15263 26122	 * 	211.18	DCR|3VULN|3DMG|1CDMG	1LHND|24aDMG|389VULN|5DMSP|6RCR|7CDMG
18	42632 12333	 * 	210.33	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	19VULN|2CGEN|39MLV|4DUR|58CDMG|6RCR|79ASPD|9BPWR|aDMG
19	61262 11334	 * 	210.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AME|2BEXP|38aVULN|4DMG|5CDMG|6RCR|7AART|9DUR
20	41362 11314	   	209.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	18aVULN|2DUR|3ERES|4DMG|5CDMG|6RCR|7AART|9BEXP
21	65262 11312	 * 	209.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AME|2DUR|38VULN|4aDMG|5CDMG|6RCR|7AART|9BEXP
22	61262 11332	   	209.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AME|2BEXP|38VULN|4aDMG|5CDMG|6RCR|7AART|9DUR
23	41362 11341	   	209.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18VULN|2DUR|3ERES|4aDMG|5CDMG|6RCR|7AART|9RPLT
24	61262 11433	 * 	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AME|2BEXP|3VULN|48DMG|5CDMG|6RCR|7AART|9DUR|aASPD
25	41362 11413	   	209.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2DUR|3ERES|48DMG|5CDMG|6RCR|7AART|9BEXP|aASPD
26	41362 11433	   	209.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2DUR|3ERES|48DMG|5CDMG|6RCR|7AART|9CGEN|aASPD
27	45213 22252	   	208.68	DCR|3VULN|3DMG|2DUR	19aVULN|27aDMG|3AELBLL|4LWND|5DMSP|6RCR|8aDUR|aBPWR
28	45143 21213	   	208.48	DCR|3VULN|3DMG|2DUR	19aVULN|249DMG|37ERES|5MLV|6RCR|89DUR|9BPWR
29	62252 11353	   	208.44	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1AME|2FEWX|38VULN|4ZMB|5CDMG|6RCR|7AART|9aASPD
30	43352 11353	   	208.24	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	18VULN|2DUST|3ERES|4ZMB|5CDMG|6RCR|7AART|9aASPD
31	41362 11335	 * 	208.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	18VULN|2DUR|3ERES|4DMG|5CDMG|6RCR|7aAART|9CGEN
32	42532 11353	   	206.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	18VULN|2CGEN|3RMIN|4DUR|5CDMG|6RCR|7AART|9aASPD
33	41622 11353	   	206.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	18VULN|2DUR|3RCVC|4DUST|5CDMG|6RCR|7AART|9aASPD
34	43622 11353	   	206.21	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	18VULN|24DUST|3DUR|5CDMG|6RCR|7AART|9aASPD
35	61223 23145	 * 	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1AME|2BEXP|38VULN|4DUST|5ASPD|6RCR|79DMG|aAART
36	62223 23145	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1AME|2FEWX|38VULN|4DUST|5ASPD|6RCR|79DMG|aAART
37	15122 14124	 * 	205.19	DCR|2VULN|2DMG|2CDMG|1ASPD	1LHND|29DMG|3ERES|4FEWX|59CDMG|6RCR|7CANARM|89VULN|9BPWR|aASPD
38	15132 14124	   	205.19	DCR|2VULN|2DMG|2CDMG|1ASPD	1LHND|29DMG|3ERES|4LWND|59CDMG|6RCR|7CANARM|89VULN|9BPWR|aASPD
39	43323 23145	   	205.09	DCR|2VULN|2DMG|1AART|1ASPD	18VULN|2DUST|3ERES|4BEXP|5ASPD|6RCR|79DMG|aAART
40	15312 14124	   	205.09	DCR|2VULN|2DMG|2CDMG|1ASPD	1LHND|29DMG|3DUST|4ERES|59CDMG|6RCR|7CANARM|89VULN|9BPWR|aASPD
41	61262 11432	   	205.05	DCR|3DMG|1VULN|1AART|1CDMG|1DUR	1AME|2BEXP|3VULN|48aDMG|5CDMG|6RCR|7AART|9DUR
42	61262 11351	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2aBEXP|38VULN|4DMG|5CDMG|6RCR|7AART|9ASPD
43	61262 11352	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2BEXP|38VULN|4DMG|5CDMG|6RCR|7AART|9ASPD|aFEWX
44	61262 11353	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1aAME|2BEXP|38VULN|4DMG|5CDMG|6RCR|7AART|9ASPD
45	62262 11313	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2FEWX|38VULN|4DMG|5CDMG|6RCR|7AART|9BEXP|aASPD
46	62262 11333	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2FEWX|38VULN|4DMG|5CDMG|6RCR|7AART|9CGEN|aASPD
47	62262 11351	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2FEWX|38VULN|4DMG|5CDMG|6RCR|7AART|9ASPD|aBEXP
48	45122 11313	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2DMG|3ERES|4FEWX|5CDMG|6RCR|7AART|9BEXP|aASPD
