0	Index      	 *	Score 	Summary	Detail	
1	65312 23351	 * 	185.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LEGI|2RCR|3LIT|4DUR|59VULN|6AART|7ZMB|8aDMG
2	65312 23352	 * 	183.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2RCR|3LIT|4DUR|59aVULN|6AART|7ZMB|8DMG
3	65332 15212	 * 	183.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2RCR|3LIT|4AART|5ZMB|6CDMG|7DMG|89VULN|aASPD
4	65121 53233	 * 	181.33	ACR|3DMG|1VULN|2ZMB|1CDMG|2DUR	1LEGI|2RCR|39DUR|4CDMG|569DMG|79ZMB|8RPLT|9BPWR|aVULN
5	65124 21332	 * 	180.67	ACR|2DMG|2VULN|3CDMG|2DUR	1LEGI|2RCR|3aDUR|456CDMG|7ERES|8aVULN|9aDMG|aBPWR
6	15622 13632	 * 	177.42	DCR|2VULN|2DMG|1AART|1ZMB	1aTLV|2aVULN|3RPLT|4AART|5LWND|6RCR|7BELT|8ZMB|9aDMG|aBPWR
7	65332 15213	   	176.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LEGI|2RCR|3LIT|4AART|5ZMB|6CDMG|7DMG|89VULN|aLHND
8	65332 15211	   	176.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LEGI|2RCR|3LIT|4AART|5ZMB|6CDMG|7DMG|89VULN|aDUST
9	65312 21251	   	172.94	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|2RCR|3LIT|4DUR|589VULN|6AART|7FEWX|aDMG
10	43314 16223	 * 	172.58	DCR|4VULN|1AART|1DMG	1RMIN|2LIT|3568VULN|4CGEN|7RCR|9DMG|aAART
11	65332 15223	   	172.49	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LEGI|2RCR|3LIT|4AART|5ZMB|6CDMG|7DMG|8VULN|9DUR|aASPD
12	53342 23215	 * 	172.43	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1LIT|28ASPD|3VULN|4FEWX|59DMG|6AART|7RCR|aCDMG
13	53342 23253	 * 	172.43	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1LIT|28ASPD|3aVULN|4FEWX|5DMG|6AART|7RCR|9CDMG
14	64331 23215	   	172.33	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1LEGI|29DMG|3VULN|48ASPD|5LIT|6AART|7RCR|aCDMG
15	65332 33351	 * 	171.79	ACR|3VULN|1AART|1CDMG|1ZMB	1LEGI|2RCR|3LIT|4AART|5ZMB|6RCVC|7CDMG|89aVULN
16	53411 23361	   	171.31	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1LIT|2ASPD|3DUR|4CGEN|5ZMB|6RCR|7VULN|8AART|9aDMG
17	53411 23362	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LIT|2ASPD|3DUR|4CGEN|5ZMB|6RCR|7aVULN|8AART|9DMG
18	55311 23361	   	171.31	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1LIT|2DUR|3ASPD|4CGEN|5ZMB|6RCR|7VULN|8AART|9aDMG
19	55311 23362	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LIT|2DUR|3ASPD|4CGEN|5ZMB|6RCR|7aVULN|8AART|9DMG
20	35113 63225	 * 	171.18	DCR|3DMG|1AART|1VULN|1ZMB	1FEWX|256ERES|3AART|456DMG|56BPWR|7BEXP|8RCR|9VULN|aZMB
21	35113 61225	   	171.08	DCR|3DMG|1AART|1VULN|1ZMB	1FEWX|256ERES|3AART|456DMG|56BPWR|7DUST|8RCR|9VULN|aZMB
22	65221 33622	 * 	170.08	ACR|2DMG|1VULN|2ASPD|1CDMG|1ZMB|1DUR	1LEGI|2RCR|37LWND|4CDMG|57DMG|67ASPD|7BPWR|8VULN|9ZMB|aDUR
23	53342 23214	   	169.78	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	1LIT|28ASPD|3VULN|4FEWX|59DMG|6AART|7RCR|aZMB
24	53342 23631	   	169.75	DCR|2VULN|2DMG|1AART|1ASPD	1LIT|2ASPD|39VULN|4FEWX|5aDMG|6AART|7RCR|8BEXP
25	65221 33611	 * 	169.73	ACR|2VULN|2DMG|2ASPD|1CDMG	1LEGI|2RCR|37LWND|4CDMG|57DMG|67ASPD|7BPWR|8aVULN|9LHND
26	64331 23214	   	169.68	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	1LEGI|29DMG|3VULN|48ASPD|5LIT|6AART|7RCR|aZMB
27	65312 22261	   	169.52	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	1LEGI|2RCR|3LIT|47DUR|5VULN|6AART|8ASPD|9aDMG
28	65312 22262	   	169.52	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1LEGI|2RCR|3LIT|47DUR|5aVULN|6AART|8ASPD|9DMG
29	65333 43311	   	169.49	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LEGI|2RCR|3LIT|4AART|5DUR|6VULN|7ZMB|8aDMG|9RCVC
30	65333 43312	   	169.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2RCR|3LIT|4AART|5DUR|6aVULN|7ZMB|8DMG|9RCVC
31	65333 43322	   	169.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2RCR|3LIT|4AART|5DUR|6aVULN|7ZMB|8DMG|9CGEN
32	65332 61312	   	169.39	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LEGI|2RCR|3LIT|4AART|5ZMB|6ASPD|7DUST|8DMG|9aVULN
33	15621 12151	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|29VULN|3RPLT|4AART|5DUR|6RCR|7LIT|8CDMG|aDMG
34	65221 53233	   	169.10	ACR|3DMG|1VULN|2ZMB|1CDMG	1LEGI|2RCR|39LWND|4CDMG|569DMG|79ZMB|8RPLT|9BPWR|aVULN
35	22221 54361	 * 	168.80	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1BEXP|2DUR|3LWND|4CDMG|56DMG|7RCR|8aVULN|9ZMB
36	22321 54361	   	168.80	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1BEXP|2DUR|3FEWX|4CDMG|56DMG|7RCR|8aVULN|9ZMB
37	32321 54361	   	168.80	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3BEXP|4CDMG|56DMG|7RCR|8aVULN|9ZMB
38	65312 23311	   	168.29	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LEGI|2RCR|3LIT|4DUR|5VULN|6AART|7ZMB|8aDMG|9RCVC
39	65312 23312	   	168.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2RCR|3LIT|4DUR|5aVULN|6AART|7ZMB|8DMG|9RCVC
40	65312 23322	   	168.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2RCR|3LIT|4DUR|5aVULN|6AART|7ZMB|8DMG|9CGEN
41	65312 23353	   	168.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2RCR|3LIT|4DUR|59VULN|6AART|7ZMB|8DMG|aRMIN
42	65312 23362	   	168.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2RCR|3LIT|4DUR|5aVULN|6AART|7ZMB|8DMG|9MLV
43	65322 21361	   	168.03	ACR|2VULN|2DMG|1AART	1LEGI|2RCR|3aLIT|4CGEN|5aDMG|6AART|7DUST|8BEXP|9aVULN|aBPWR
44	53342 23632	   	167.82	DCR|3VULN|1AART|1DMG|1ASPD	1LIT|2ASPD|39aVULN|4FEWX|5DMG|6AART|7RCR|8BEXP
45	43322 45213	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RMIN|2LIT|39VULN|4LHND|5DMG|6RCR|7AART|8ASPD|aCDMG
46	64131 24212	   	167.61	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1LEGI|2DMG|3DUR|4ASPD|5LIT|6AART|7ZMB|8RCR|9aVULN
47	53322 45211	   	167.51	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1LIT|28ASPD|3VULN|4LHND|59DMG|6RCR|7AART|aDUR
48	53322 45313	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2ASPD|39VULN|4LHND|5DMG|6RCR|7AART|8NUKE|aCDMG
49	65313 26313	 * 	166.30	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	1LEGI|2RCR|3LIT|4DUR|5DMG|6CDMG|7AART|8aASPD|9VULN
50	14334 24113	 * 	166.01	DCR|3DMG|2VULN|1CDMG|1ASPD|1SELL	19TLV|2LWND|39VULN|4ASPD|5SELL|6CDMG|789DMG|9BPWR|aRCR
51	62334 24113	 * 	165.91	DCR|3DMG|2VULN|1CDMG|1ASPD|1SELL	1LEGI|29TLV|39VULN|4ASPD|5SELL|6CDMG|789DMG|9BPWR|aRCR
52	53342 23211	   	165.71	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1LIT|28ASPD|3VULN|4FEWX|59DMG|6AART|7RCR|aDUR
53	64131 23261	   	165.61	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1LEGI|2aDMG|3DUR|48ASPD|5LIT|6AART|7RCR|9VULN
54	64131 23262	   	165.61	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1LEGI|2DMG|3DUR|48ASPD|5LIT|6AART|7RCR|9aVULN
55	64331 23522	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LEGI|2DMG|39VULN|4ASPD|5LIT|6AART|7RCR|8SNIHEL|aCDMG
56	64331 23211	   	165.61	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1LEGI|29DMG|3VULN|48ASPD|5LIT|6AART|7RCR|aDUR
57	64331 23261	   	165.61	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1LEGI|2DMG|39VULN|48ASPD|5LIT|6AART|7RCR|aDUR
58	65332 15222	   	165.55	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LEGI|2RCR|3LIT|4AART|5ZMB|6CDMG|7DMG|8VULN|9DUR|aBEXP
59	65332 15233	   	165.45	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LEGI|2RCR|3LIT|4AART|5ZMB|6CDMG|7DMG|8VULN|9DUST|aASPD
60	65332 15221	   	165.30	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1SELL	1LEGI|2RCR|3LIT|4AART|5ZMB|6CDMG|7DMG|8VULN|9DUR|aSELL
61	65334 33111	 * 	165.19	ACR|2DMG|1AART|1VULN|1CDMG	1LEGI|2RCR|3LIT|4AART|5RPLT|6VULN|7aDMG|8CDMG|9RCVC
62	65334 33112	   	165.19	ACR|2VULN|1AART|1DMG|1CDMG	1LEGI|2RCR|3LIT|4AART|5RPLT|6aVULN|7DMG|8CDMG|9RCVC
63	65334 33122	   	165.19	ACR|2VULN|1AART|1DMG|1CDMG	1LEGI|2RCR|3LIT|4AART|5RPLT|6aVULN|7DMG|8CDMG|9CGEN
64	65336 33111	   	165.19	ACR|2DMG|1AART|1VULN|1CDMG	1LEGI|2RCR|3LIT|4AART|5VULN|6RPLT|7aDMG|8CDMG|9RCVC
65	65336 33112	   	165.19	ACR|2VULN|1AART|1DMG|1CDMG	1LEGI|2RCR|3LIT|4AART|5aVULN|6RPLT|7DMG|8CDMG|9RCVC
66	65336 33122	   	165.19	ACR|2VULN|1AART|1DMG|1CDMG	1LEGI|2RCR|3LIT|4AART|5aVULN|6RPLT|7DMG|8CDMG|9CGEN
67	22224 33534	 * 	164.81	DCR|2VULN|2DMG|2CDMG|2DUR	1BEXP|2aDUR|3LWND|45CDMG|6aVULN|7MLV|8aDMG|9RCR|aBPWR
68	22324 33534	   	164.81	DCR|2VULN|2DMG|2CDMG|2DUR	1BEXP|2aDUR|3FEWX|45CDMG|6aVULN|7MLV|8aDMG|9RCR|aBPWR
69	32224 33534	   	164.81	DCR|2VULN|2DMG|2CDMG|2DUR	1FEWX|2aDUR|3LWND|45CDMG|6aVULN|7MLV|8aDMG|9RCR|aBPWR
70	32324 33534	   	164.81	DCR|2VULN|2DMG|2CDMG|2DUR	1FEWX|2aDUR|3BEXP|45CDMG|6aVULN|7MLV|8aDMG|9RCR|aBPWR
71	65121 31362	 * 	164.80	ACR|1AART|1DMG|2CDMG|1VULN|1ASPD|1DUR	1LEGI|2RCR|3DUR|4aCDMG|5DMG|6ASPD|7VULN|8LHND|9AART
72	24113 62611	   	164.72	DCR|3DMG|1AART|1VULN|1ASPD	1BEXP|256TLV|3AART|456DMG|56BPWR|7ASPD|8RCVC|9RCR|aVULN
73	34113 62611	   	164.72	DCR|3DMG|1AART|1VULN|1ASPD	1FEWX|256TLV|3AART|456DMG|56BPWR|7ASPD|8RCVC|9RCR|aVULN
74	22224 31534	   	164.71	DCR|2VULN|2DMG|2CDMG|2DUR	1BEXP|2aDUR|3LWND|45CDMG|6aVULN|7TLV|8aDMG|9RCR|aBPWR
75	22224 32534	   	164.71	DCR|2VULN|2DMG|2CDMG|2DUR	1BEXP|2aDUR|3LWND|45CDMG|6aVULN|7ERES|8aDMG|9RCR|aBPWR
76	22324 31534	   	164.71	DCR|2VULN|2DMG|2CDMG|2DUR	1BEXP|2aDUR|3FEWX|45CDMG|6aVULN|7TLV|8aDMG|9RCR|aBPWR
77	22324 32534	   	164.71	DCR|2VULN|2DMG|2CDMG|2DUR	1BEXP|2aDUR|3FEWX|45CDMG|6aVULN|7ERES|8aDMG|9RCR|aBPWR
78	32224 31534	   	164.71	DCR|2VULN|2DMG|2CDMG|2DUR	1FEWX|2aDUR|3LWND|45CDMG|6aVULN|7TLV|8aDMG|9RCR|aBPWR
79	32224 32534	   	164.71	DCR|2VULN|2DMG|2CDMG|2DUR	1FEWX|2aDUR|3LWND|45CDMG|6aVULN|7ERES|8aDMG|9RCR|aBPWR
80	32324 31534	   	164.71	DCR|2VULN|2DMG|2CDMG|2DUR	1FEWX|2aDUR|3BEXP|45CDMG|6aVULN|7TLV|8aDMG|9RCR|aBPWR
81	32324 32534	   	164.71	DCR|2VULN|2DMG|2CDMG|2DUR	1FEWX|2aDUR|3BEXP|45CDMG|6aVULN|7ERES|8aDMG|9RCR|aBPWR
82	31232 63312	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2LIT|3LHND|4AART|5ZMB|6ASPD|7RCR|8DMG|9aVULN
83	22431 52325	   	164.35	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|2DUR|3AART|4FEWX|58VULN|69DMG|7CGEN|aRCR
84	63232 63312	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LEGI|2LIT|3LHND|4AART|5ZMB|6ASPD|7RCR|8DMG|9aVULN
85	22421 52325	   	164.25	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|2DUR|3AART|4DUST|58VULN|69DMG|7CGEN|aRCR
86	32421 52325	   	164.25	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|2DUR|3AART|4DUST|58VULN|69DMG|7CGEN|aRCR
87	65124 23321	 * 	163.90	ACR|3CDMG|1AART|1DMG|1VULN|1DUR	1LEGI|2RCR|3DUR|456CDMG|7DMG|8VULN|9AART|aLHND
88	65124 23322	   	163.90	ACR|3CDMG|1AART|1VULN|1DMG|1DUR	1LEGI|2RCR|3DUR|456CDMG|7DMG|8VULN|9AART|aBEXP
89	65124 23323	   	163.90	ACR|3CDMG|1AART|1VULN|1DMG|1DUR	1LEGI|2RCR|3DUR|456CDMG|7DMG|8VULN|9AART|aFEWX
90	12136 53251	   	163.67	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1TLV|2BELT|3RMIN|49DMG|5AART|6ASPD|7RCR|8ZMB|aVULN
91	43342 23215	 * 	163.61	DCR|2VULN|2AART|1DMG|1ASPD	1RMIN|2LIT|39VULN|4FEWX|5DMG|6aAART|7RCR|8ASPD
92	53342 23315	   	163.51	DCR|2VULN|2AART|1DMG|1ASPD	1LIT|2ASPD|39VULN|4FEWX|5DMG|6aAART|7RCR|8NUKE
93	32221 54351	   	163.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2DUR|3LWND|4CDMG|56DMG|7RCR|8VULN|9BEXP|aAART
94	32121 54361	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2DUR|3DUST|4CDMG|56DMG|7RCR|8VULN|9BEXP|aAART
95	22221 54341	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|3LWND|4CDMG|56DMG|7RCR|8VULN|9DUST|aAART
96	22321 54341	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2DUR|3FEWX|4CDMG|56DMG|7RCR|8VULN|9DUST|aAART
97	32221 54341	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2DUR|3LWND|4CDMG|56DMG|7RCR|8VULN|9DUST|aAART
98	32321 54341	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2DUR|3BEXP|4CDMG|56DMG|7RCR|8VULN|9DUST|aAART
99	65224 23323	   	163.30	ACR|3CDMG|1AART|1DMG|1VULN|1DUR	1LEGI|2RCR|3LWND|456CDMG|7DMG|8VULN|9DUR|aAART
100	41312 23214	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RMIN|2LWND|39VULN|4LIT|5DMG|6AART|7RCR|8ASPD|aZMB
101	41312 23264	   	163.17	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RMIN|2LWND|3VULN|4LIT|59DMG|6AART|7RCR|8ASPD|aZMB
102	41331 23314	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RMIN|2LWND|39VULN|4ASPD|5LIT|6AART|7RCR|8DMG|aZMB
103	41331 23364	   	163.17	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RMIN|2LWND|3VULN|4ASPD|5LIT|6AART|7RCR|89DMG|aZMB
104	43342 23214	   	163.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RMIN|2LIT|39VULN|4FEWX|5DMG|6AART|7RCR|8ASPD|aZMB
105	64332 36222	   	163.16	DCR|4VULN|1DMG|1ASPD|1DUR	1LEGI|2DMG|389aVULN|4ASPD|5DUR|6BELT|7RCR
