0	Index      	 *	Score 	Summary	Detail	
1	36345 12221	 * 	192.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3AART|4MLV|59aVULN|6DMG|7ZMB|8CDMG
2	33215 41236	 * 	191.64	ACR|3VULN|3DMG|1AART	13aCGEN|2DLOT|48aVULN|5RCR|69aDMG|7AART|aBPWR
3	32113 11251	 * 	183.59	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2DUR|3RCR|4DLOT|56aDMG|7AART|8VULN|9CDMG
4	54112 26133	   	183.57	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aBEXP|2ASPD|3RCR|4DLOT|5aVULN|6AART|7ERES|8ZMB|9aDMG|aBPWR
5	36345 12211	 * 	183.21	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1CGEN|2RCR|3AART|4MLV|5aVULN|6DMG|7ZMB|89CDMG
6	11353 64312	 * 	182.89	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1BELT|29ZMB|3AART|4RCR|5ASPD|6aVULN|7DMG|8CDMG
7	36353 11622	 * 	182.58	ACR|2AART|2DMG|2VULN	1CGEN|2RCR|37AART|4LHND|56DMG|89VULN|aRCVC
8	36313 14252	   	181.35	ACR|3DMG|1AART|1VULN|1CDMG	1CGEN|2RCR|3AART|48DUST|569DMG|7CDMG|aVULN
9	36353 11621	   	181.28	ACR|2AART|2DMG|2VULN	1CGEN|2RCR|37AART|4LHND|56DMG|89VULN|aDMSP
10	36353 11623	   	181.18	ACR|2AART|2VULN|2DMG	1CGEN|2RCR|37AART|4LHND|56DMG|89VULN|aERES
11	36345 12223	   	180.75	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1CGEN|2RCR|3AART|4MLV|59VULN|6DMG|7aZMB|8CDMG
12	36332 35114	   	180.74	ACR|2VULN|2DMG|1AART|1ZMB	1CGEN|2RCR|3AART|4BELT|59VULN|6MBVNT|7ZMB|8aDMG
13	36332 37314	   	180.74	ACR|2VULN|2DMG|1AART|1ZMB	1CGEN|2RCR|3AART|4BELT|59VULN|6MBVNT|7aDMG|8ZMB
14	36345 32221	   	179.43	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CGEN|2RCR|3AART|4MLV|59aVULN|6ASPD|7ZMB|8CDMG
15	36413 11251	   	179.05	ACR|3DMG|1AART|1VULN|1CDMG	1CGEN|2RCR|3LHND|4DLOT|56aDMG|7AART|8VULN|9CDMG
16	36313 14511	 * 	179.05	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1CGEN|2RCR|3AART|4DUST|56DMG|79CDMG|8DUR|aVULN
17	36313 14522	   	179.05	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1CGEN|2RCR|3AART|4DUST|56DMG|7aCDMG|8DUR|9VULN
18	42254 21126	 * 	178.87	DCR|3DMG|2VULN|1AART	1aCANSTR|28aDMG|3MBVNT|4LHND|5ERES|6RCR|7aVULN|9AART|aBPWR
19	25211 31561	 * 	178.58	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	1SELL|2AART|3ASPD|4DMG|5RMIN|6ZMB|79aVULN|8RCR
20	25113 65331	 * 	178.50	DCR|2AART|2VULN|3ZMB|1CDMG|1SELL	1SELL|29AART|35VULN|457ZMB|5BPWR|6BEXP|8RCR|aCDMG
21	36345 12222	   	178.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3AART|4MLV|59VULN|6DMG|7ZMB|8CDMG|aRCVC
22	33215 41136	   	177.89	ACR|3DMG|2VULN|1AART	13aCGEN|2DLOT|4aVULN|5RCR|69aDMG|7AART|8RCVC|aBPWR
23	22153 64222	 * 	177.65	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1SELL	1SELL|2ZMB|3DUST|49VULN|58CDMG|6RCR|7AART|aDMG
24	36353 11311	 * 	177.34	ACR|2AART|2DMG|1VULN|1CDMG	1CGEN|2RCR|37AART|4LHND|56DMG|8RPLT|9CDMG|aVULN
25	36353 13224	   	177.34	ACR|2AART|2DMG|1VULN|1CDMG	1CGEN|2RCR|3aAART|4LHND|56DMG|7LWND|8CDMG|9VULN
26	36313 11311	   	177.24	ACR|2AART|2DMG|1VULN|1CDMG	1CGEN|2RCR|37AART|4DUST|56DMG|8RPLT|9CDMG|aVULN
27	36333 64312	   	176.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3AART|4BELT|5ZMB|6FEWX|7DMG|89VULN|aCDMG
28	36313 14341	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2RCR|3AART|4DUST|56DMG|7CDMG|8ZMB|9ERES|aVULN
29	42332 36523	   	176.39	ACR|3DMG|2VULN|1AART	18CANSTR|289DMG|3TLV|4RCR|5DMSP|6LIT|78VULN|8BPWR|aAART
30	63322 25253	 * 	176.26	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1aLHND|2LIT|3aZMB|4RCR|5VULN|6RCVC|7AART|8CDMG|9aDMG|aBPWR
31	33215 41243	   	175.99	ACR|3VULN|2DMG|1AART	13aCGEN|2DLOT|48aVULN|5RCR|6aDMG|7AART|9RMIN|aBPWR
32	33215 41213	   	175.89	ACR|3VULN|2DMG|1AART	13aCGEN|2DLOT|48aVULN|5RCR|6aDMG|7AART|9NUKE|aBPWR
33	11352 31114	   	175.84	ACR|2VULN|2DMG|1AART|1ZMB	1BELT|2ZMB|3AART|4RCR|59VULN|6MBVNT|7ERES|8aDMG
34	33525 52131	 * 	175.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CGEN|2DLOT|3aDMG|4DUR|5ZMB|6VULN|7RCR|8AART|9CDMG
35	36352 43121	 * 	175.49	ACR|4VULN|1AART|1CDMG	1CGEN|2RCR|3AART|4LHND|589aVULN|6ERES|7CDMG
36	36312 43121	   	175.39	ACR|4VULN|1AART|1CDMG	1CGEN|2RCR|3AART|4DUST|589aVULN|6ERES|7CDMG
37	36352 22215	   	174.84	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2RCR|3AART|4LHND|57aVULN|6DUR|8FEWX|9DMG
38	36313 61611	 * 	174.80	ACR|3AART|2DMG|1VULN|1DUR	1CGEN|2RCR|367AART|4DUST|5aDMG|8DUR|9VULN
39	36313 61613	 * 	174.80	ACR|3AART|2VULN|1DMG|1DUR	1CGEN|2RCR|367AART|4DUST|5DMG|8DUR|9aVULN
40	36312 22213	   	174.74	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2RCR|3AART|4DUST|57aVULN|6DUR|8FEWX|9DMG
41	36312 32615	   	174.74	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2RCR|3AART|4DUST|57aVULN|6LHND|8DUR|9DMG
42	36332 33414	   	174.74	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2RCR|3AART|4BELT|589VULN|6MBVNT|7DUR|aDMG
43	42321 26323	 * 	174.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CANSTR|28DMG|3TLV|4ASPD|57VULN|6CDMG|9AART|aRCR
44	53231 15133	   	174.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2LIT|3AART|4MLV|5CDMG|6RCR|7ZMB|89VULN|aDMG
45	11352 38324	   	174.00	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|2ZMB|3AART|4RCR|59aVULN|6MBVNT|7FEWX|8DMG
46	53261 15133	   	173.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2LIT|3AART|4TLV|5CDMG|6RCR|7ZMB|89VULN|aDMG
47	11352 31118	   	173.90	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|2ZMB|3AART|4RCR|59aVULN|6MBVNT|7ERES|8DMG
48	25113 15315	 * 	173.47	DCR|2VULN|3ZMB|1AART|1DMG|1SELL	1SELL|2AART|35VULN|457ZMB|5BPWR|6LWND|8RCR|9FEWX|aDMG
49	25113 25315	 * 	173.37	DCR|2VULN|3ZMB|1AART|1DMG|1SELL	1SELL|2AART|35VULN|457ZMB|5BPWR|6LEGI|8RCR|9FEWX|aDMG
50	36341 12225	 * 	172.96	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1CGEN|2RCR|3AART|4MLV|5LWND|6DMG|7ZMB|8CDMG|9VULN|aFLTHEA
51	36313 14125	   	172.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2RCR|3AART|4DUST|56DMG|7CDMG|8BEXP|9VULN|aDUR
52	36313 14521	   	172.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2RCR|3AART|4DUST|56DMG|7CDMG|8DUR|9VULN|aRMIN
53	36313 14523	   	172.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1aCGEN|2RCR|3AART|4DUST|56DMG|7CDMG|8DUR|9VULN
54	36313 14531	   	172.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	19CGEN|2RCR|3AART|4DUST|56DMG|7CDMG|8DUR|aVULN
55	36353 64224	   	172.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2RCR|3AART|4LHND|57DMG|6MBVNT|8CDMG|9VULN|aDUR
56	36312 24252	   	172.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3AART|4DUST|58VULN|6DUR|7ERES|9DMG|aCDMG
57	32155 11236	 * 	172.53	ACR|2AART|2VULN|2CDMG|2DUR	146aCGEN|26DUR|3RCR|57AART|6aBPWR|8aVULN|9aCDMG
58	36352 32221	   	172.49	ACR|3VULN|1AART|1CDMG|1ZMB	1CGEN|2RCR|3AART|46LHND|59aVULN|7ZMB|8CDMG
59	26232 32414	 * 	172.47	DCR|3DMG|2VULN|1CDMG|1ZMB|1SELL	1SELL|2aTLV|3BEXP|46aDMG|5ZMB|7CDMG|8aVULN|9RCR|aBPWR
60	45318 13412	   	172.45	DCR|2VULN|2DMG|1AART|1DUR	1CANSTR|2DUST|3MBVNT|4DUR|5AART|6RCR|79DMG|8aVULN
61	36312 43123	   	172.29	ACR|3VULN|1AART|1CDMG|1ZMB	1CGEN|2RCR|3AART|4DUST|589VULN|6ERES|7CDMG|aZMB
62	11353 34312	   	172.24	ACR|1AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD|1DUR	1BELT|29ZMB|3AART|4RCR|5ASPD|6DUR|7DMG|8CDMG|aVULN
63	36353 13211	   	172.21	ACR|2DMG|1AART|1VULN|2CDMG	1CGEN|2RCR|3AART|4LHND|56DMG|7LWND|89CDMG|aVULN
64	36353 13222	   	172.21	ACR|2DMG|1AART|1VULN|2CDMG	1CGEN|2RCR|3AART|4LHND|56DMG|7LWND|8aCDMG|9VULN
65	36353 14111	   	172.21	ACR|2DMG|1AART|1VULN|2CDMG	1CGEN|2RCR|3AART|4LHND|56DMG|79CDMG|8BEXP|aVULN
66	36353 14122	   	172.21	ACR|2DMG|1AART|1VULN|2CDMG	1CGEN|2RCR|3AART|4LHND|56DMG|7aCDMG|8BEXP|9VULN
67	25113 52522	 * 	172.17	DCR|2VULN|1AART|1DMG|2ZMB|2DUR|1SELL	1SELL|2AART|35VULN|45ZMB|5BPWR|6MLV|7DMG|8RCR|9aDUR
68	36313 13211	   	172.11	ACR|2DMG|1AART|1VULN|2CDMG	1CGEN|2RCR|3AART|4DUST|56DMG|7LWND|89CDMG|aVULN
69	36313 13222	   	172.11	ACR|2DMG|1AART|1VULN|2CDMG	1CGEN|2RCR|3AART|4DUST|56DMG|7LWND|8aCDMG|9VULN
70	36313 14111	   	172.11	ACR|2DMG|1AART|1VULN|2CDMG	1CGEN|2RCR|3AART|4DUST|56DMG|79CDMG|8BEXP|aVULN
71	36313 14122	   	172.11	ACR|2DMG|1AART|1VULN|2CDMG	1CGEN|2RCR|3AART|4DUST|56DMG|7aCDMG|8BEXP|9VULN
72	36353 14211	   	172.11	ACR|2DMG|1AART|1VULN|2CDMG	1CGEN|2RCR|3AART|4LHND|56DMG|79CDMG|8DUST|aVULN
73	36353 14222	   	172.11	ACR|2DMG|1AART|1VULN|2CDMG	1CGEN|2RCR|3AART|4LHND|56DMG|7aCDMG|8DUST|9VULN
74	36353 64211	   	172.11	ACR|2DMG|1AART|1VULN|2CDMG	1CGEN|2RCR|3AART|4LHND|57DMG|6MBVNT|89CDMG|aVULN
75	11352 44212	   	172.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2ZMB|3AART|4RCR|59VULN|6ERES|7DMG|8FEWX|aCDMG
76	11356 33328	   	172.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BELT|2ZMB|3AART|4RCR|5MGNLIT|6MBVNT|7aDMG|8CDMG|9VULN
77	32113 11246	   	171.87	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2DUR|3RCR|4DLOT|56DMG|7AART|8aVULN|9LWND
78	32113 11266	   	171.87	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2DUR|3RCR|4DLOT|56DMG|7AART|8aVULN|9FEWX
79	32113 11553	   	171.87	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2DUR|3RCR|4DLOT|56DMG|7AART|8LIT|9aVULN
80	25113 65332	 * 	171.79	DCR|2AART|2VULN|3ZMB|1DUR|1SELL	1SELL|29AART|35VULN|457ZMB|5BPWR|6BEXP|8RCR|aDUR
81	32113 11216	   	171.77	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2DUR|3RCR|4DLOT|56DMG|7AART|8aVULN|9DUST
82	36353 11533	 * 	171.72	ACR|3DMG|2AART|2DUR	19aCGEN|2RCR|37AART|4LHND|56aDMG|8aDUR|aBPWR
83	33215 41234	   	171.58	ACR|2VULN|2DMG|2AART	13CGEN|2DLOT|48VULN|5RCR|69DMG|7aAART
84	36323 61221	   	171.43	ACR|3VULN|1AART|1CDMG|1DUR	1CGEN|2RCR|3AART|4RCVC|5TLV|69aVULN|7DUR|8CDMG
85	36313 61612	 * 	170.87	ACR|3AART|1VULN|1DMG|1CDMG|1DUR	1CGEN|2RCR|367AART|4DUST|5DMG|8DUR|9VULN|aCDMG
86	36341 12224	   	170.76	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3aAART|4MLV|5LWND|6DMG|7ZMB|8CDMG|9VULN
87	36353 11521	   	170.63	ACR|2AART|2DMG|1VULN|1DUR	1CGEN|2RCR|37AART|4LHND|56DMG|8DUR|9VULN|aFEWX
88	36353 11523	   	170.63	ACR|2AART|2DMG|1VULN|1DUR	1CGEN|2RCR|37AART|4aLHND|56DMG|8DUR|9VULN
89	36353 11632	   	170.63	ACR|2AART|2DMG|1VULN|1DUR	1CGEN|2RCR|37AART|4LHND|56DMG|8VULN|9BELT|aDUR
90	36332 26433	   	170.63	ACR|2AART|2DMG|1VULN|1DUR	1CGEN|2RCR|38AART|4BELT|5VULN|6BEXP|7aDMG|9DUR
91	36352 22151	   	170.63	ACR|2AART|2VULN|1DMG|1DUR	1CGEN|2RCR|38AART|4LHND|57VULN|6DUR|9DMG|aFEWX
92	36352 22153	   	170.63	ACR|2AART|2VULN|1DMG|1DUR	1CGEN|2RCR|38AART|4aLHND|57VULN|6DUR|9DMG
93	31142 82613	   	170.54	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2FEWX|3RCR|4MBVNT|57aVULN|6AART|8DUR|9DMG
94	32142 82213	   	170.54	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2DUR|3RCR|4MBVNT|57aVULN|6AART|8FEWX|9DMG
95	36312 22212	   	170.53	ACR|2AART|2VULN|1DMG|1DUR	1CGEN|2RCR|3aAART|4DUST|57VULN|6DUR|8FEWX|9DMG
96	36353 11522	   	170.53	ACR|2AART|2DMG|1VULN|1DUR	1CGEN|2RCR|37AART|4LHND|56DMG|8DUR|9VULN|aERES
97	36332 37533	   	170.53	ACR|2AART|2DMG|1VULN|1DUR	1CGEN|2RCR|38AART|4BELT|5VULN|6MBVNT|7aDMG|9DUR
98	36352 22152	   	170.53	ACR|2AART|2VULN|1DMG|1DUR	1CGEN|2RCR|38AART|4LHND|57VULN|6DUR|9DMG|aERES
99	32113 41251	   	170.44	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2DUR|3RCR|4DLOT|5aDMG|6RCVC|7AART|8VULN|9CDMG
100	36313 11231	   	170.43	ACR|2AART|2DMG|1VULN|1DUR	1CGEN|2RCR|37AART|4DUST|56DMG|8TLV|9DUR|aVULN
101	36332 24114	   	170.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1CGEN|2RCR|3AART|4BELT|59VULN|6BEXP|7ZMB|8DMG|aASPD
102	36332 24115	   	170.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3AART|4BELT|59VULN|6BEXP|7ZMB|8DMG|aDUR
103	36352 22216	   	170.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3AART|4LHND|57VULN|6DUR|8FEWX|9DMG|aZMB
104	36312 22216	   	170.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3AART|4DUST|57VULN|6DUR|8FEWX|9DMG|aZMB
105	36312 32616	   	170.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3AART|4DUST|57VULN|6LHND|8DUR|9DMG|aZMB
106	36332 35115	   	170.09	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1CGEN|2RCR|3AART|4BELT|59VULN|6MBVNT|7ZMB|8DMG|aASPD
107	36332 35116	   	170.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3AART|4BELT|59VULN|6MBVNT|7ZMB|8DMG|aDUR
108	36332 37315	   	170.09	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1CGEN|2RCR|3AART|4BELT|59VULN|6MBVNT|7DMG|8ZMB|aASPD
109	36332 37316	   	170.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3AART|4BELT|59VULN|6MBVNT|7DMG|8ZMB|aDUR
110	36345 32211	   	170.09	ACR|2VULN|1AART|2CDMG|1ZMB|1ASPD	1CGEN|2RCR|3AART|4MLV|5aVULN|6ASPD|7ZMB|89CDMG
111	34531 51223	   	169.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2CDMG|3ZMB|4DMG|5LIT|6RCR|7LHND|89VULN|aAART
112	36332 26523	   	169.83	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4BELT|59VULN|6BEXP|7aDMG|8FEWX
113	36332 22323	   	169.83	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4BELT|59VULN|6BEXP|7FEWX|8aDMG
114	36341 13251	   	169.83	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4MLV|5LWND|69DMG|7DMSP|8aVULN
115	36313 61243	   	169.77	ACR|3AART|2DMG|1VULN	1CGEN|2RCR|367AART|4DUST|59DMG|8RCVC|aVULN
116	36412 22131	   	169.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3LHND|4DLOT|57VULN|6DUR|8AART|9CDMG|aDMG
117	36512 22131	   	169.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3BEXP|4DLOT|57VULN|6DUR|8AART|9CDMG|aDMG
118	36332 32323	   	169.73	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4BELT|59VULN|6MBVNT|7FEWX|8aDMG
119	36332 37623	   	169.73	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4BELT|59VULN|6MBVNT|7aDMG|8FEWX
120	11333 64312	   	169.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2ZMB|3AART|4FEWX|5RCR|6CGEN|7DMG|89VULN|aCDMG
121	33521 61252	   	169.65	DCR|2VULN|2DMG|1AART|2DUR	1aCGEN|2DLOT|35DMG|45DUR|5BPWR|68VULN|7AART|9RCR
122	33521 61253	   	169.65	DCR|2VULN|2DMG|1AART|2DUR	1CGEN|2DLOT|35DMG|45DUR|5BPWR|68VULN|7AART|9RCR|aLWND
123	36332 31114	   	169.63	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4BELT|59VULN|6MBVNT|7ERES|8aDMG
124	36332 36483	   	169.63	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3AART|4BELT|58VULN|6MBVNT|7DUST|9aDMG
125	11333 44312	   	169.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2ZMB|3AART|4FEWX|5RCR|6ERES|7DMG|89VULN|aCDMG
126	52122 33256	   	169.57	ACR|2VULN|2DMG|1AART|1DUR	1aBEXP|2DUR|3aERES|4RCR|58VULN|6CGEN|7AART|9aDMG|aBPWR
127	36345 12213	 * 	169.48	ACR|1AART|1VULN|2CDMG|1DMG|2ZMB	1CGEN|2RCR|3AART|4MLV|5VULN|6DMG|7aZMB|89CDMG
128	36312 22342	   	169.41	ACR|2AART|2VULN|1CDMG|2DUR	1CGEN|2RCR|39AART|4DUST|57VULN|6aDUR|8CDMG
129	25314 32848	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2AART|35RCVC|4MBVNT|6RCR|78VULN|9CDMG|aDMG
130	34532 32412	   	169.37	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1CGEN|2CDMG|3ZMB|46DMG|5DUR|7SELL|8VULN|9RCR|aAART
131	35135 12225	   	169.26	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1CGEN|2LWND|3RCR|4TLV|5AART|6DMG|7ZMB|8CDMG|9VULN|aFLTHEA
132	32113 11256	   	169.24	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2DUR|3RCR|4DLOT|56DMG|7AART|8VULN|9CDMG|aRCVC
133	35125 15231	 * 	169.23	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1CGEN|2LWND|3RCR|4RMIN|5AART|6DMG|7FLTHEA|8DUR|9aVULN
134	31143 42744	 * 	169.23	ACR|3VULN|2DMG|1CDMG	1CGEN|2FEWX|3RCR|4MBVNT|5CDMG|68DMG|79aVULN
135	25113 15312	 * 	169.06	DCR|3VULN|3ZMB|1AART|1SELL	1SELL|2AART|35aVULN|457ZMB|5BPWR|6LWND|8RCR|9FEWX
136	25113 15362	 * 	169.06	DCR|3VULN|3ZMB|1AART|1SELL	1SELL|2AART|35aVULN|457ZMB|5BPWR|6LWND|8RCR|9BEXP
137	25113 45312	 * 	169.06	DCR|3VULN|3ZMB|1AART|1SELL	1SELL|2AART|35aVULN|457ZMB|5BPWR|6LHND|8RCR|9FEWX
138	36313 14322	   	168.97	ACR|2DMG|1AART|1CDMG|2DUR|1ZMB	1CGEN|2RCR|3AART|4DUST|56DMG|7CDMG|8ZMB|9aDUR
139	25113 25312	 * 	168.96	DCR|3VULN|3ZMB|1AART|1SELL	1SELL|2AART|35aVULN|457ZMB|5BPWR|6LEGI|8RCR|9FEWX
140	25113 25362	 * 	168.96	DCR|3VULN|3ZMB|1AART|1SELL	1SELL|2AART|35aVULN|457ZMB|5BPWR|6LEGI|8RCR|9BEXP
141	32113 11333	 * 	168.82	ACR|3DMG|1AART|1FLTHEA|2DUR	1CGEN|28DUR|3RCR|4DLOT|569DMG|7AART|aFLTHEA
142	32113 11334	   	168.82	ACR|3DMG|1AART|1CDMG|2DUR	1CGEN|28DUR|3RCR|4DLOT|569DMG|7AART|aCDMG
143	45371 33412	   	168.67	ACR|2VULN|2DMG|1AART|1DUR	1CANSTR|2DUST|3MBVNT|4AART|5RCR|6DUR|79DMG|8aVULN
144	32114 41221	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|3RCR|4DLOT|5CDMG|6AART|7LHND|89VULN|aDMG
145	32114 43521	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|3RCR|4DLOT|5CDMG|6AART|79VULN|8LHND|aDMG
146	54112 21251	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2ASPD|3RCR|4DLOT|57VULN|6AART|8FEWX|9CDMG|aDMG
147	54112 21351	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2ASPD|3RCR|4DLOT|57VULN|6AART|8RMIN|9CDMG|aDMG
148	45318 13413	   	168.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CANSTR|2DUST|3MBVNT|4DUR|5AART|6RCR|79DMG|8VULN|aCDMG
149	32114 42251	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|3RCR|4DLOT|5CDMG|6AART|7DUST|89VULN|aDMG
150	32142 82462	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|3RCR|4MBVNT|57VULN|6AART|8ERES|9DMG|aCDMG
151	54112 21151	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2ASPD|3RCR|4DLOT|57VULN|6AART|8ERES|9CDMG|aDMG
152	36342 61221	   	168.42	ACR|3VULN|1AART|1CDMG|1DUR	15CGEN|2RCR|3AART|4MLV|69aVULN|7DUR|8CDMG
153	36352 22325	   	168.42	ACR|3VULN|1AART|1CDMG|1DUR	1CGEN|2RCR|3AART|4LHND|57aVULN|6DUR|8CDMG|9RPLT
154	36352 22432	   	168.42	ACR|3VULN|1AART|1CDMG|1DUR	1CGEN|2RCR|3AART|4LHND|579VULN|6DUR|8BEXP|aCDMG
155	11353 34323	   	168.39	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1BELT|2ZMB|3AART|4RCR|5ASPD|6DUR|7DMG|8CDMG|9LWND|aVULN
