0	Index      	 *	Score 	Summary	Detail	
1	12121 51143	 * 	218.81	ACR|3VULN|2DMG|3ZMB|2CDMG|2DUR	17aZMB|27DMG|39aVULN|4ASPD|5RCR|67DUR|7aBPWR|8aCDMG
2	12232 33263	 * 	213.30	ACR|3VULN|3DMG|1AART|2ZMB	1aZMB|26aDMG|3RCR|4AART|56LWND|6aBPWR|7FEWX|89aVULN
3	12264 33263	   	212.70	ACR|3VULN|3DMG|1AART|2ZMB	1aZMB|26aDMG|3RCR|46LWND|5AART|6aBPWR|7FEWX|89aVULN
4	12121 51113	   	209.76	ACR|2VULN|2DMG|3ZMB|2CDMG|2ASPD|2DUR	17aZMB|27DMG|3aVULN|49ASPD|5RCR|67DUR|7aBPWR|8aCDMG
5	12233 13263	 * 	208.99	ACR|3VULN|2AART|2DMG|2ZMB	1aZMB|2aDMG|3RCR|45AART|6LHND|7FEWX|89aVULN|aBPWR
6	12233 21263	   	208.99	ACR|3VULN|2AART|2DMG|2ZMB	1aZMB|2aDMG|3RCR|45AART|6FEWX|7BEXP|89aVULN|aBPWR
7	12121 51541	   	208.91	ACR|3DMG|2VULN|1AART|2ZMB|2DUR	17ZMB|278DMG|3aVULN|4ASPD|5RCR|67DUR|7BPWR|9AART
8	12233 22263	   	208.89	ACR|3VULN|2AART|2DMG|2ZMB	1aZMB|2aDMG|3RCR|45AART|6FEWX|7DUST|89aVULN|aBPWR
9	12121 51332	 * 	208.28	ACR|3DMG|3ZMB|1AART|1VULN|3DUR	179ZMB|279DMG|3VULN|4ASPD|5RCR|679DUR|79BPWR|8RPLT|aAART
10	12235 15251	 * 	206.29	ACR|4VULN|1AART|1DMG|2ZMB|2DUR	19ZMB|2DMG|3RCR|4AART|5789VULN|69DUR|9BPWR|aMLV
11	12235 15253	   	206.29	ACR|4VULN|1AART|1DMG|2ZMB|2DUR	19ZMB|2DMG|3RCR|4AART|5789VULN|69DUR|9BPWR|aBEXP
12	12235 15252	   	206.19	ACR|4VULN|1AART|1DMG|2ZMB|2DUR	19ZMB|2DMG|3RCR|4AART|5789VULN|69DUR|9BPWR|aMBVNT
13	12233 36431	 * 	204.93	ACR|3DMG|2AART|3ZMB|2CDMG	168ZMB|26aDMG|3RCR|45AART|6aBPWR|7aCDMG|9aCGEN
14	12233 35622	 * 	204.85	ACR|3DMG|2AART|1VULN|2ZMB|1CDMG	16ZMB|26aDMG|3RCR|45AART|6BPWR|7TLV|8CDMG|9VULN
15	12233 36622	   	204.85	ACR|3DMG|2AART|1VULN|2ZMB|1CDMG	16ZMB|26aDMG|3RCR|45AART|6BPWR|7CDMG|8ERES|9VULN
16	12121 51163	   	204.76	ACR|2VULN|2DMG|3ZMB|2CDMG|2DUR	17aZMB|27DMG|3aVULN|4ASPD|5RCR|67DUR|7aBPWR|8aCDMG|9RCVC
17	12235 32212	 * 	204.74	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1ZMB|2aDMG|3RCR|4AART|59VULN|67CDMG|8ASPD
