0	Index      	 *	Score 	Summary	Detail	
1	13311 12343	 * 	214.74	ACR|4VULN|3DMG|1AART	1RCR|27LWND|3TLV|4579VULN|67aDMG|7BPWR|8AART
2	13511 12325	 * 	212.19	ACR|3VULN|3DMG|2AART	1RCR|27LWND|3CGEN|457VULN|679DMG|7BPWR|8aAART
3	13311 12525	   	212.14	ACR|4VULN|2DMG|1AART|1FLTHEA	1RCR|27LWND|3TLV|457aVULN|67DMG|7BPWR|8FLTHEA|9AART
4	13411 12525	   	212.14	ACR|4VULN|2DMG|1AART|1FLTHEA	1RCR|27LWND|3ERES|457aVULN|67DMG|7BPWR|8FLTHEA|9AART
5	13311 12325	   	212.09	ACR|3VULN|3DMG|2AART	1RCR|27LWND|3TLV|457VULN|679DMG|7BPWR|8aAART
6	13511 12341	 * 	212.02	ACR|5VULN|2DMG|1AART	1RCR|27LWND|3CGEN|4579aVULN|67DMG|7BPWR|8AART
7	13311 12341	   	211.92	ACR|5VULN|2DMG|1AART	1RCR|27LWND|3TLV|4579aVULN|67DMG|7BPWR|8AART
8	15623 33513	 * 	210.33	ACR|3VULN|3DMG|3DUR|1ZMB	1RCR|2ZMB|39aVULN|4ERES|5DUST|69aDUR|7ASPD|89aDMG|9aBPWR
9	13511 12321	   	207.68	ACR|3VULN|3DMG|1AART	1RCR|27LWND|3CGEN|457VULN|679DMG|7BPWR|8AART|aASPD
10	13511 12323	   	207.68	ACR|3VULN|3DMG|1AART	1RCR|27LWND|3CGEN|457VULN|679DMG|7BPWR|8AART|aDUR
11	13311 12321	   	207.58	ACR|3VULN|3DMG|1AART	1RCR|27LWND|3TLV|457VULN|679DMG|7BPWR|8AART|aASPD
12	13311 12562	   	203.99	ACR|4VULN|3DMG|1FLTHEA	1RCR|27LWND|3TLV|4579VULN|67aDMG|7BPWR|8FLTHEA
13	13411 12562	   	203.99	ACR|4VULN|3DMG|1FLTHEA	1RCR|27LWND|3ERES|4579VULN|67aDMG|7BPWR|8FLTHEA
