0	Index      	 *	Score 	Summary	Detail	
1	11612 14151	 * 	193.69	ACR|3DMG|2VULN|2CDMG|1ZMB|1DUR	1aCDMG|2RMIN|3RCR|47aDMG|5DUR|6ZMB|8MBVNT|9aVULN|aBPWR
2	14226 21523	 * 	189.42	ACR|3DMG|2VULN|3CDMG|2DUR	137CDMG|23aDMG|3aBPWR|46LWND|5RCR|8aVULN|9aDUR
3	11613 14151	   	186.75	ACR|3DMG|2VULN|2CDMG|1ZMB	1aCDMG|2RMIN|3RCR|47aDMG|5LHND|6ZMB|8MBVNT|9aVULN|aBPWR
4	32252 43243	 * 	185.87	ACR|3VULN|3ZMB|1AART|1CDMG	17LWND|2AART|3LHND|4RCR|579ZMB|67aVULN|7BPWR|8CDMG
5	14211 41252	 * 	185.46	DCR|2DMG|1AART|2CDMG|1FLTHEA|1ZMB|1ASPD|1DUR	13CDMG|23DMG|3BPWR|4TLV|5DUR|6RCR|7AART|8ZMB|9FLTHEA|aASPD
6	14234 33431	 * 	184.77	DCR|3DMG|1VULN|2CDMG|2ZMB|2DUR|1ASPD	13CDMG|23aDMG|3aBPWR|4VULN|5LWND|6aZMB|7ASPD|8aDUR|9RCR
7	14235 16133	 * 	183.57	DCR|3DMG|2VULN|2CDMG|1ZMB|1DUR	13CDMG|238DMG|3BPWR|49VULN|5LSRREG|6DUR|7ZMB|aRCR
8	11612 14241	   	183.43	ACR|2VULN|2DMG|2CDMG|2DUR|1ZMB	1aCDMG|2RMIN|3RCR|47DMG|5aDUR|6ZMB|8FEWX|9aVULN|aBPWR
9	11612 12151	   	183.33	ACR|2VULN|2DMG|2CDMG|2DUR|1ZMB	1aCDMG|2RMIN|3RCR|4aDMG|57DUR|6ZMB|8MBVNT|9aVULN|aBPWR
10	11611 14151	   	182.69	ACR|3DMG|2VULN|2CDMG|1ASPD	1aCDMG|2RMIN|3RCR|47aDMG|5ASPD|6LHND|8MBVNT|9aVULN|aBPWR
11	11611 24151	   	182.69	ACR|3DMG|2VULN|2CDMG|1ASPD	1aCDMG|2RMIN|3RCR|47aDMG|5ASPD|6LWND|8MBVNT|9aVULN|aBPWR
12	14211 45332	   	182.07	DCR|3DMG|2VULN|2CDMG|1DUR	13CDMG|238DMG|3BPWR|4TLV|5DUR|6RCR|7aVULN|9ERES
13	13336 42252	 * 	182.04	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	19CDMG|2RCVC|39DMG|4VULN|5MLV|6RCR|7AART|89ZMB|9BPWR|aLWND
14	13336 42251	   	181.94	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	19CDMG|2RCVC|39DMG|4VULN|5MLV|6RCR|7AART|89ZMB|9BPWR|aLEGI
15	13336 42253	   	181.94	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	19CDMG|2RCVC|39DMG|4VULN|5MLV|6RCR|7AART|89ZMB|9BPWR|aDUST
16	32552 23151	 * 	181.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2AART|3DUR|4RCR|5ZMB|6FEWX|7DMG|89aVULN
17	14242 13123	 * 	181.37	DCR|3DMG|2VULN|3CDMG	137CDMG|234DMG|3BPWR|5CGEN|6RCR|8BELT|9aVULN
18	14245 13113	   	181.37	DCR|3DMG|2VULN|3CDMG	137CDMG|234DMG|3BPWR|5MLV|6RCR|8BELT|9aVULN
19	32152 63511	 * 	181.08	DCR|3DMG|2AART|1VULN|1CDMG	1LWND|29AART|356DMG|46ERES|6BPWR|7CDMG|8VULN|aRCR
20	14621 41212	 * 	180.72	DCR|3DMG|1AART|2CDMG|1ZMB|1DUR	1aCDMG|24aDMG|3RMIN|5DUR|6RCR|7AART|8ZMB|9aLIT|aBPWR
21	32252 43114	 * 	180.69	ACR|2VULN|2DMG|1AART|2ZMB	17LWND|2AART|3LHND|4RCR|57ZMB|67VULN|7BPWR|8RPLT|9aDMG
22	14336 34131	   	180.36	DCR|3DMG|2VULN|2CDMG|2DUR	1aCDMG|27aDMG|3FEWX|46VULN|5aDUR|8MBVNT|9RCR|aBPWR
23	14136 34131	   	180.26	DCR|3DMG|2VULN|2CDMG|2DUR	1aCDMG|27aDMG|3DUST|46VULN|5aDUR|8MBVNT|9RCR|aBPWR
24	14211 41253	   	178.52	DCR|2DMG|1AART|2CDMG|1FLTHEA|1ZMB|1DUR	13CDMG|23DMG|3BPWR|4TLV|5DUR|6RCR|7AART|8ZMB|9FLTHEA|aRCVC
25	14236 42321	 * 	178.44	DCR|2DMG|2AART|1VULN|2CDMG	13CDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7aAART|8CGEN|9ERES
26	14211 41251	   	178.42	DCR|2DMG|1AART|2CDMG|1FLTHEA|1ZMB|1DUR	13CDMG|23DMG|3BPWR|4TLV|5DUR|6RCR|7AART|8ZMB|9FLTHEA|aDUST
27	14231 22523	   	178.11	DCR|2VULN|2DMG|2CDMG|2DUR|1ZMB	13CDMG|23DMG|3BPWR|49VULN|5LIT|6aDUR|7ZMB|8RCR
28	14236 42111	   	178.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7AART|8LHND|9BEXP|aZMB
29	14236 42131	   	178.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7AART|8LHND|9FEWX|aZMB
30	14236 42211	   	178.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7AART|8ZMB|9LIT|aFEWX
31	14236 42212	   	178.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7AART|8ZMB|9LIT|aLWND
32	14236 42221	   	178.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7AART|8ZMB|9CGEN|aDMSP
33	14236 42222	   	178.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7AART|8ZMB|9CGEN|aRPLT
34	14236 42231	   	178.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7AART|8ZMB|9BELT|aLHND
35	14236 42233	   	178.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7AART|8ZMB|9BELT|aLWND
36	14236 42232	   	177.99	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7AART|8ZMB|9BELT|aERES
37	11611 53621	   	177.93	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	19CDMG|2RMIN|3RCR|48DMG|5ASPD|6aVULN|7ZMB
38	14211 42222	   	177.52	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	13CDMG|23DMG|3BPWR|4TLV|5DUR|6RCR|7LIT|89VULN|aZMB
39	32552 31252	 * 	177.43	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1LWND|28AART|3DUR|4RCR|5ZMB|6LIT|79VULN|aDMG
40	14242 13121	 * 	177.43	DCR|3DMG|3CDMG|1VULN|1FLTHEA	137CDMG|234DMG|3BPWR|5CGEN|6RCR|8BELT|9VULN|aFLTHEA
41	14245 13111	   	177.43	DCR|3DMG|3CDMG|1VULN|1FLTHEA	137CDMG|234DMG|3BPWR|5MLV|6RCR|8BELT|9VULN|aFLTHEA
42	12126 14241	   	177.19	ACR|3DMG|2VULN|3CDMG	13aCDMG|23LWND|3aBPWR|47aDMG|5RCR|6LHND|8FEWX|9aVULN
43	14226 21343	   	177.19	ACR|3DMG|2VULN|3CDMG	137CDMG|23aDMG|3aBPWR|46LWND|5RCR|8aFEWX|9aVULN
44	32252 43334	   	177.16	ACR|2VULN|3ZMB|1AART|1CDMG|1ASPD	17LWND|2AART|3LHND|4RCR|578ZMB|67VULN|7BPWR|9ASPD|aCDMG
45	12225 21563	 * 	176.99	ACR|3VULN|2DMG|3CDMG	178CDMG|2aLWND|3DUST|49aVULN|5RCR|6aDMG|aBPWR
46	12225 21663	   	176.99	ACR|3VULN|2DMG|3CDMG	179CDMG|2aLWND|3DUST|48aVULN|5RCR|6aDMG|aBPWR
47	14226 21513	   	176.99	ACR|3DMG|2VULN|3CDMG	137CDMG|23aDMG|3aBPWR|46LWND|5RCR|8aVULN|9aDUST
48	12525 13334	 * 	176.84	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1CDMG|2LWND|3DUR|469VULN|5RCR|7SELL|8DMG|aAART
49	14224 31143	   	176.77	DCR|3DMG|2VULN|3CDMG	137CDMG|23aDMG|3aBPWR|45LWND|6aBEXP|8RCR|9aVULN
50	32252 43111	 * 	176.75	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	17LWND|2AART|3LHND|4RCR|57ZMB|67VULN|7BPWR|8RPLT|9DMG|aCDMG
51	14231 22522	 * 	176.67	DCR|2VULN|2DMG|2CDMG|2ZMB|1DUR	13CDMG|23DMG|3BPWR|49VULN|5LIT|6DUR|7aZMB|8RCR
52	32352 33156	   	176.64	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2AART|3FEWX|4RCR|5ZMB|6BEXP|7aDMG|89VULN
53	32252 43115	 * 	176.63	ACR|2VULN|3ZMB|1AART|1DMG	17LWND|2AART|3LHND|4RCR|57aZMB|67VULN|7BPWR|8RPLT|9DMG
54	14234 36133	   	176.63	DCR|3DMG|2VULN|2CDMG|1ZMB	13CDMG|238DMG|3BPWR|49VULN|5LWND|6ZMB|7AIRHEL|aRCR
55	14243 41233	   	176.63	DCR|3DMG|2VULN|2CDMG|1ZMB	13CDMG|234DMG|3BPWR|5BEXP|6CANHEL|7ZMB|89VULN|aRCR
56	14223 21143	   	176.57	DCR|3DMG|2VULN|3CDMG	137CDMG|23aDMG|3aBPWR|46LWND|5aDUST|8RCR|9aVULN
57	14224 21143	   	176.57	DCR|3DMG|2VULN|3CDMG	137CDMG|23aDMG|3aBPWR|45LWND|6aDUST|8RCR|9aVULN
58	14235 36133	   	176.53	DCR|3DMG|2VULN|2CDMG|1ZMB	13CDMG|238DMG|3BPWR|49VULN|5LSRREG|6LEGI|7ZMB|aRCR
59	14211 23265	   	176.38	DCR|2DMG|2AART|1VULN|2CDMG|1DUR	13CDMG|23DMG|3BPWR|4TLV|5DUR|67AART|8RPLT|9VULN|aRCR
60	11612 14523	   	176.00	ACR|3DMG|1VULN|2CDMG|1ZMB|1DUR	19CDMG|2RMIN|3RCR|478DMG|5DUR|6ZMB|aVULN
61	14225 21332	 * 	175.77	DCR|3DMG|3CDMG|1AART|2ASPD	13aCDMG|23aDMG|3aBPWR|47LWND|5ERES|6AART|8aASPD|9RCR
62	14211 45311	   	175.58	DCR|3DMG|1VULN|2CDMG|1ZMB|1DUR	13CDMG|238DMG|3BPWR|4TLV|5DUR|6RCR|7VULN|9FEWX|aZMB
