0	Index      	 *	Score 	Summary	Detail	
1	56611 22221	 * 	192.85	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	14DMG|2DLOT|34aVULN|4BPWR|5AART|6ASPD|7RCR|8TLV|9DUR
2	56611 22223	 * 	192.85	DCR|3DMG|2VULN|1AART|1ASPD|1DUR	14aDMG|2DLOT|34VULN|4BPWR|5AART|6ASPD|7RCR|8TLV|9DUR
3	53163 15311	 * 	191.78	ACR|2VULN|2DMG|2CDMG|1FLTHEA|1ZMB|1DUR	18DMG|2LWND|3RCR|48CDMG|5ZMB|6CGEN|78VULN|8BPWR|9FLTHEA|aDUR
4	56611 22222	 * 	188.64	DCR|2AART|2VULN|2DMG|1ASPD|1DUR	14DMG|2DLOT|34VULN|4BPWR|5aAART|6ASPD|7RCR|8TLV|9DUR
5	56611 22121	   	185.91	DCR|3VULN|2DMG|1AART|1ASPD	14DMG|2DLOT|34aVULN|4BPWR|5AART|6ASPD|7RCR|8CGEN|9DUST
6	56611 22123	   	185.91	DCR|3DMG|2VULN|1AART|1ASPD	14aDMG|2DLOT|34VULN|4BPWR|5AART|6ASPD|7RCR|8CGEN|9DUST
7	56611 22231	   	185.91	DCR|3VULN|2DMG|1AART|1ASPD	14DMG|2DLOT|34aVULN|4BPWR|5AART|6ASPD|7RCR|8TLV|9LHND
8	56612 12211	 * 	185.27	DCR|4VULN|2DMG|1AART	14DMG|2DLOT|3458VULN|4BPWR|6AART|7FEWX|9ERES|aRCR
9	56612 12221	   	185.27	DCR|4VULN|2DMG|1AART	14DMG|2DLOT|3458VULN|4BPWR|6AART|7FEWX|9TLV|aRCR
10	56612 11111	   	185.17	DCR|4VULN|2DMG|1AART	14DMG|2DLOT|3457VULN|4BPWR|6AART|8DUST|9ERES|aRCR
11	56612 11121	   	185.17	DCR|4VULN|2DMG|1AART	14DMG|2DLOT|3457VULN|4BPWR|6AART|8DUST|9TLV|aRCR
12	53163 15312	   	184.85	ACR|2VULN|2DMG|2CDMG|1FLTHEA|1ZMB	18DMG|2LWND|3RCR|48CDMG|5ZMB|6CGEN|78VULN|8BPWR|9FLTHEA|aBELT
13	53163 15313	   	184.85	ACR|2VULN|2DMG|2CDMG|1FLTHEA|1ZMB	18DMG|2LWND|3RCR|48CDMG|5ZMB|6CGEN|78VULN|8BPWR|9FLTHEA|aLHND
14	56611 22322	 * 	183.76	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1SELL	14DMG|2DLOT|34VULN|4BPWR|5AART|6ASPD|7RCR|8SELL|9LIT|aCDMG
15	53166 22332	 * 	183.20	ACR|2VULN|2DMG|1AART|2CDMG	16DMG|2LWND|3RCR|45CDMG|7CGEN|89VULN|aAART
16	56362 22231	   	183.18	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	15DMG|2DLOT|35DUR|4AART|5BPWR|6ASPD|7RCR|89VULN|aCGEN
17	56362 22232	   	183.08	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	15DMG|2DLOT|35DUR|4AART|5BPWR|6ASPD|7RCR|89VULN|aTLV
