0	Index      	 *	Score 	Summary	Detail	
1	43651 24134	 * 	180.76	DCR|2VULN|2DMG|1AART|1CDMG	17LWND|27LIT|3AART|47DMG|5MBVNT|6RCR|7BPWR|8CDMG|9aVULN
2	32151 35233	 * 	179.84	ACR|4VULN|1AART|1DMG|1ASPD	1LEGI|2LHND|378aVULN|4ASPD|5RCR|6AART|9DMG
3	31151 24747	   	178.52	DCR|2VULN|2DMG|1AART|1ZMB	1LEGI|2AART|37LIT|47DMG|5MBVNT|6RCR|7BPWR|8ZMB|9aVULN
4	61531 63332	 * 	176.92	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1aDUR|2RPLT|3AART|4LHND|5aVULN|6ERES|7DMG|8RCR|9aCDMG|aBPWR
5	31151 24135	   	174.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LEGI|2AART|37LIT|47DMG|5MBVNT|6RCR|7BPWR|8CDMG|9VULN|aZMB
6	31156 31221	 * 	174.16	DCR|2AART|2VULN|2DMG	1LEGI|26AART|3LIT|45DMG|7aVULN|8RCR|9LHND
7	31156 31234	   	174.16	DCR|2AART|2VULN|2DMG	1LEGI|26AART|3LIT|45DMG|7aVULN|8RCR|9RMIN
8	31156 31251	   	174.16	DCR|2AART|2VULN|2DMG	1LEGI|26AART|3LIT|45DMG|7aVULN|8RCR|9LWND
9	56233 42132	 * 	174.11	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1LIT|2ASPD|3AART|4ZMB|59aVULN|6ERES|7RCR|8CDMG
10	31156 31214	   	174.06	DCR|2AART|2VULN|2DMG	1LEGI|26AART|3LIT|45DMG|7aVULN|8RCR|9ERES
11	16114 51333	 * 	173.63	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1ERES|2aVULN|3CDMG|4BELT|5MLV|6RCR|7DMG|8AART|9FLTHEA
12	53231 21221	   	173.22	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2MLV|3AART|4ZMB|56DMG|7aVULN|8RCR|9LHND
13	53231 21234	   	173.22	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2MLV|3AART|4ZMB|56DMG|7aVULN|8RCR|9RMIN
14	53231 21251	   	173.22	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2MLV|3AART|4ZMB|56DMG|7aVULN|8RCR|9LWND
15	55231 21221	   	173.12	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2TLV|3AART|4ZMB|56DMG|7aVULN|8RCR|9LHND
16	55231 21234	   	173.12	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2TLV|3AART|4ZMB|56DMG|7aVULN|8RCR|9RMIN
17	55231 21251	   	173.12	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2TLV|3AART|4ZMB|56DMG|7aVULN|8RCR|9LWND
18	53231 21214	   	173.12	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2MLV|3AART|4ZMB|56DMG|7aVULN|8RCR|9ERES
19	55231 21214	   	173.02	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2TLV|3AART|4ZMB|56DMG|7aVULN|8RCR|9ERES
