0	Index      	 *	Score 	Summary	Detail	
1	16261 35211	 * 	203.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	13DUR|23DMG|3BPWR|4AART|5LIT|6RCR|7CDMG|8aVULN|9ZMB
2	16261 35221	   	192.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	13DUR|23DMG|3BPWR|4AART|5LIT|6RCR|7CDMG|8aVULN|9CGEN
3	16261 35231	   	192.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	13DUR|23DMG|3BPWR|4AART|5LIT|6RCR|7CDMG|8aVULN|9ERES
4	16261 35212	   	185.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	13DUR|23DMG|3BPWR|4AART|5LIT|6RCR|7CDMG|8VULN|9ZMB|aBEXP
5	16261 35213	   	185.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	13DUR|23DMG|3BPWR|4AART|5LIT|6RCR|7CDMG|8VULN|9ZMB|aLHND
6	11561 35211	   	185.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	12DUR|2BPWR|3DMG|4AART|5LIT|6RCR|7CDMG|8aVULN|9ZMB
7	16361 35211	   	185.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	13DUR|2DMG|4AART|5LIT|6RCR|7CDMG|8aVULN|9ZMB
8	11312 33454	   	185.70	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	12DUR|2BPWR|3FEWX|46VULN|5CDMG|7AART|8RCR|9aDMG
9	16241 71341	   	184.88	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	13DUR|23DMG|3BPWR|4MBVNT|5AART|6RCR|7ASPD|8DUST|9aVULN
10	41131 51163	 * 	184.05	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1DLOT|28AART|3LHND|4RCR|5aDMG|6ZMB|7CDMG|9VULN
11	16232 36322	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	13DUR|23DMG|3BPWR|4AIRHEA|5LWND|6AART|7CDMG|89VULN|aRCR
12	16235 36322	   	181.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	13DUR|23DMG|3BPWR|4AIRHEA|5DUST|6AART|7CDMG|89VULN|aRCR
13	16471 11434	 * 	181.03	ACR|3DMG|2VULN|1AART|1DUR	1DUR|268DMG|3MBVNT|46VULN|5RCR|6BPWR|7RCVC|9LWND|aAART
