0	Index      	 *	Score 	Summary	Detail	
1	25533 52332	 * 	208.93	ACR|3DMG|2VULN|3ZMB|3ASPD	1RCR|27aASPD|3LEGI|4VENICY|57aDMG|678ZMB|7aBPWR|9aVULN
2	26136 21623	 * 	206.05	ACR|2VULN|2DMG|1AART|2CDMG|2ZMB	1RCR|2aDMG|34CDMG|5AART|6aZMB|7FEWX|8LIT|9aVULN|aBPWR
3	26111 13244	 * 	205.48	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	1RCR|25DMG|3CDMG|4LIT|69aVULN|7DUR|8AART
4	26136 31623	   	204.75	ACR|2VULN|2DMG|1AART|2CDMG|2ASPD	1RCR|2aDMG|34CDMG|5AART|6aASPD|7FEWX|8LIT|9aVULN|aBPWR
5	53231 32115	 * 	201.27	DCR|3DMG|2VULN|1AART|2CDMG|1ASPD	16aDMG|2ASPD|38CDMG|46VULN|5AART|6BPWR|7CGEN|9RCR
6	22214 22841	 * 	199.84	ACR|3VULN|3DMG|1AART	1RCR|2LIT|3MBVNT|48aVULN|567DMG|9AART
7	26111 11244	   	198.44	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3CDMG|4LIT|69aVULN|7DUST|8AART
8	22633 12463	 * 	197.55	ACR|4VULN|1AART|2CDMG|1FLTHEA	1RCR|239LIT|39BPWR|4AART|5FLTHEA|679aVULN|89CDMG
9	11261 52162	   	197.43	DCR|3DMG|2VULN|1AART|2CDMG	1RPLT|27aDMG|37VULN|4AART|57CDMG|6BELT|7BPWR|8RCR|9CGEN
10	26116 34232	 * 	196.23	ACR|2VULN|2DMG|2AART|1CDMG	1RCR|2aDMG|3CDMG|4aLIT|57AART|6CGEN|8ERES|9aVULN|aBPWR
11	22214 23586	 * 	196.20	ACR|3VULN|3DMG|2FLTHEA	1RCR|29LIT|3MBVNT|47aVULN|569DMG|89FLTHEA|9BPWR
12	26111 13264	   	196.13	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	1RCR|25DMG|39CDMG|4LIT|6aVULN|7DUR|8AART
13	26116 25323	   	196.09	ACR|2AART|2VULN|2DMG|1CDMG|1SELL	1RCR|2aDMG|3CDMG|4aLIT|57AART|6SELL|8RPLT|9aVULN|aBPWR
14	26111 13234	   	195.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1RCR|25DMG|3CDMG|4LIT|6aVULN|79DUR|8AART
15	53231 32215	   	194.96	DCR|3DMG|2VULN|1AART|1CDMG|1ASPD	16aDMG|2ASPD|3CDMG|46VULN|5AART|6BPWR|78CGEN|9RCR
16	11261 52151	 * 	193.22	DCR|2AART|2VULN|2DMG|2CDMG	1RPLT|27DMG|37VULN|49AART|57CDMG|6BELT|7BPWR|8RCR|aBEXP
17	11261 52152	   	193.22	DCR|2AART|2VULN|2DMG|2CDMG	1RPLT|27DMG|37VULN|49AART|57CDMG|6BELT|7BPWR|8RCR|aRMIN
18	11261 52153	   	193.22	DCR|2AART|2VULN|2DMG|2CDMG	1RPLT|27DMG|37VULN|49AART|57CDMG|6BELT|7BPWR|8RCR|aMLV
19	11261 52114	   	192.78	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1RPLT|27DMG|37VULN|4AART|57CDMG|6BELT|7BPWR|8RCR|9LIT|aZMB
20	11261 52121	   	192.78	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1RPLT|27DMG|37VULN|4AART|57CDMG|6BELT|7BPWR|8RCR|9BEXP|aZMB
21	11261 52141	   	192.68	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1RPLT|27DMG|37VULN|4AART|57CDMG|6BELT|7BPWR|8RCR|9DUST|aZMB
22	53314 43323	 * 	192.35	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	18DMG|2ASPD|3FEWX|4DUR|579VULN|6RCR|aAART
23	26116 62213	   	191.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|26DMG|3CDMG|4LIT|5AART|7aVULN|8RMIN|9DUR
24	22214 23581	   	191.55	ACR|3DMG|2VULN|2FLTHEA|1ZMB	1RCR|29LIT|3MBVNT|47VULN|569DMG|89FLTHEA|9BPWR|aZMB
25	22215 42581	   	191.55	ACR|3DMG|2VULN|2FLTHEA|1ZMB	1RCR|29LIT|3MBVNT|45VULN|679DMG|89FLTHEA|9BPWR|aZMB
26	22114 42335	 * 	191.48	ACR|3VULN|2AART|1CDMG|1ZMB|1DUR	1RCR|2LIT|3DUR|459VULN|68AART|7ZMB|aCDMG
27	24136 36112	   	191.35	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1RCR|2ZMB|34CDMG|5AART|6DUR|7DMG|89VULN|aBEXP
28	24136 36113	   	191.35	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1RCR|2ZMB|34CDMG|5AART|6DUR|7DMG|89VULN|aRPLT
29	24136 36111	   	191.25	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1RCR|2ZMB|34CDMG|5AART|6DUR|7DMG|89VULN|aERES
30	26342 23123	 * 	191.20	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2DMG|3FEWX|4BEXP|5679VULN|8ZMB|aAART
