0	Index      	 *	Score 	Summary	Detail	
1	52513 22141	 * 	195.58	DCR|4VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1MSE|235aVULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9ZMB
2	52513 22153	 * 	191.51	DCR|4VULN|2DMG|1AART|1CDMG|1DUR|1MSE	1MSE|2359VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|aDUR
3	42512 22141	 * 	190.14	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|23aVULN|4DMG|5RCVC|6RCR|7AART|8CDMG|9ZMB
4	13115 51422	 * 	189.86	DCR|4VULN|3DMG|1DUR	19aDMG|269aLHND|3DUR|4DUST|589aVULN|7RCR|9aBPWR
5	52513 22133	 * 	188.86	DCR|3VULN|2DMG|2AART|1CDMG|1DUR|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8CDMG|aDUR
6	52513 25333	 * 	188.26	DCR|3VULN|2DMG|2AART|1CDMG|1DUR|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7CDMG|89AART|aDUR
7	52513 22134	 * 	188.23	DCR|3VULN|2DMG|2AART|2CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8aCDMG
8	52513 22513	 * 	186.58	DCR|4VULN|3DMG|1AART|1MSE	1MSE|235aVULN|459DMG|5BPWR|6RCR|7AART|8RPLT
9	11523 56311	 * 	186.11	DCR|3DMG|2VULN|1AART|1DUR	137DMG|27ERES|4RCVC|57VULN|6AART|7BPWR|8RCR|9BEXP|aDUR
10	11523 56321	   	186.11	DCR|3DMG|2VULN|1AART|1DUR	137DMG|27ERES|4RCVC|57VULN|6AART|7BPWR|8RCR|9LWND|aDUR
11	42512 22153	   	186.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|239VULN|4DMG|5RCVC|6RCR|7AART|8CDMG|aDUR
12	13233 78834	 * 	185.82	DCR|3VULN|3DMG|1AART	167DMG|2LHND|37BEXP|4MBVNT|579VULN|7BPWR|8AART|aRCR
13	13213 41422	   	185.42	DCR|4VULN|3DMG	19aDMG|29aLHND|3BEXP|4DUST|589aVULN|6RCVC|7RCR|9aBPWR
14	52513 22151	 * 	184.57	DCR|4VULN|2DMG|1AART|1CDMG|1MSE	1MSE|2359VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|aLIT
15	52513 22152	 * 	184.57	DCR|4VULN|2DMG|1AART|1CDMG|1MSE	1MSE|2359VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|aRMIN
16	13213 44622	   	183.02	DCR|4VULN|3DMG	19aDMG|29aLHND|3BEXP|4DUST|579aVULN|6RCVC|8RCR|9aBPWR
17	13213 51422	   	182.92	DCR|4VULN|3DMG	19aDMG|269aLHND|3BEXP|4DUST|589aVULN|7RCR|9aBPWR
18	13213 61422	 * 	182.27	DCR|3VULN|3DMG|1CDMG	169DMG|29LHND|3BEXP|4DUST|589VULN|7RCR|9BPWR|aCDMG
19	52513 22131	 * 	181.92	DCR|3VULN|2DMG|2AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8CDMG|aLIT
20	52513 22132	 * 	181.92	DCR|3VULN|2DMG|2AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8CDMG|aRMIN
21	52513 22136	 * 	181.92	DCR|3VULN|2DMG|2AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8CDMG|aDMSP
