0	Index      	 *	Score 	Summary	Detail	
1	26532 23126	 * 	197.24	DCR|3DMG|2VULN|1AART|1DUR|1ASPD	19LIT|2AART|3DUR|49VULN|5DUST|6RCR|7ASPD|89aDMG|9BPWR
2	11312 53563	 * 	193.27	DCR|4VULN|2DMG|1AART	13FEWX|235aVULN|3BPWR|4BELT|6RCR|78DMG|9AART
3	11312 53511	 * 	191.18	DCR|3VULN|3DMG|2CDMG	13aFEWX|235VULN|3aBPWR|4BELT|6RCR|78aDMG|9aCDMG
4	26123 21226	   	190.41	DCR|3DMG|2VULN|1AART|1DUR	19LIT|2AART|39VULN|4BEXP|5DUR|6RCR|7RMIN|89aDMG|9BPWR
5	26143 21226	   	190.41	DCR|3DMG|2VULN|1AART|1DUR	19LIT|2AART|39VULN|4LHND|5DUR|6RCR|7RMIN|89aDMG|9BPWR
6	26531 25231	   	190.21	DCR|3VULN|2DMG|1AART|1DUR	1LIT|2AART|3DUR|49aVULN|5LWND|6RCR|78DMG
7	26132 51523	 * 	189.79	ACR|3DMG|2VULN|1AART|1ZMB	1LIT|2AART|34VULN|5RCR|679DMG|8DUST|aZMB
8	61312 61213	   	188.15	DCR|3VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	13DUR|23aVULN|3BPWR|4FEWX|5ZMB|6DMG|7AART|8RCR|9ASPD
9	26126 21331	 * 	186.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1LIT|27AART|35VULN|4BEXP|6RCR|8CDMG|9DMG|aZMB
10	41643 13132	   	185.97	DCR|3VULN|3DMG|1CDMG|1ZMB	17ERES|2LHND|357VULN|467DMG|7BPWR|8ZMB|9CDMG|aRCR
11	31312 53562	 * 	185.38	DCR|4VULN|3DMG|1AART|3MSE	13aMSE|235aVULN|3aBPWR|4BELT|6RCR|78aDMG|9AART
12	26133 53223	   	184.32	DCR|4VULN|1AART|1DMG|1ASPD	15LIT|2AART|3469VULN|7RCR|8ASPD|aDMG
13	41643 33321	   	184.17	DCR|4VULN|2DMG|1AART	17ERES|2LHND|3567VULN|47DMG|7BPWR|8AART|9DMSP|aRCR
14	26531 25331	 * 	184.07	DCR|3VULN|2AART|1DMG|1DUR	1LIT|28AART|3DUR|49aVULN|5LWND|6RCR|7DMG
