0	Index      	 *	Score 	Summary	Detail	
1	31463 21353	 * 	179.97	DCR|3VULN|3DMG|1CDMG	17LHND|2CGEN|347DMG|57aVULN|6RMIN|7BPWR|8RCR|9CDMG
2	13634 26211	 * 	176.55	DCR|3DMG|2AART|1CDMG|2DUR	1aFEWX|2aDUR|3LWND|4CDMG|56AART|79aDMG|8RCR|aBPWR
3	12873 18341	 * 	176.28	DCR|2VULN|2DMG|1AART|2CDMG	19FEWX|2MBVNT|39DMG|4LIT|5AART|68CDMG|79VULN|9BPWR|aRCR
4	31463 21315	   	173.26	DCR|3VULN|3DMG|1ASPD	17LHND|2CGEN|347DMG|579VULN|6RMIN|7BPWR|8RCR|aASPD
5	32463 24242	 * 	172.03	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2MBVNT|3LIT|479VULN|5DMG|6AART|8RCR|aCDMG
6	31463 21351	   	171.25	DCR|3DMG|2VULN|1CDMG|1ASPD	17LHND|2CGEN|347DMG|57VULN|6RMIN|7BPWR|8RCR|9CDMG|aASPD
7	31463 21352	   	171.25	DCR|3DMG|2VULN|1CDMG|1DUR	17LHND|2CGEN|347DMG|57VULN|6RMIN|7BPWR|8RCR|9CDMG|aDUR
8	41222 33213	   	170.93	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1aMLV|25CDMG|3aDUST|4AART|6DUR|7VULN|8RCR|9aDMG|aBPWR
9	11231 46363	 * 	170.83	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1aFEWX|2CGEN|3NUKE|4aZMB|5DMG|6CDMG|7AART|8RCR|9aVULN|aBPWR
10	41222 33212	   	170.83	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1MLV|25CDMG|3DUST|4AART|6DUR|7aVULN|8RCR|9DMG
11	12483 18172	 * 	170.73	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1aFEWX|2MBVNT|3LIT|4aDMG|5AART|6CDMG|7VULN|8RCR|9aASPD|aBPWR
12	11463 63222	   	170.32	DCR|3VULN|2DMG|1CDMG|1ZMB	1FEWX|2CGEN|34DMG|567VULN|8CDMG|9ZMB|aRCR
13	12873 13241	   	169.96	DCR|2VULN|2DMG|1AART|1CDMG	19FEWX|2MBVNT|39DMG|47LIT|5AART|6CDMG|89VULN|9BPWR|aRCR
14	51226 53213	 * 	169.12	DCR|2AART|2DMG|1VULN|1CDMG	1aCGEN|2CDMG|3aDUST|45AART|6BEXP|7VULN|8RCR|9aDMG|aBPWR
15	51226 53212	 * 	169.02	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|2CDMG|3DUST|45AART|6BEXP|7aVULN|8RCR|9DMG
16	13634 16211	 * 	168.92	DCR|3DMG|1AART|3DUR|1CDMG	1aFEWX|26aDUR|3LWND|4CDMG|5AART|79aDMG|8RCR|aBPWR
17	41222 53513	   	168.79	DCR|2DMG|1AART|1VULN|2CDMG	1aMLV|25CDMG|3aDUST|4AART|6RCR|7VULN|8LHND|9aDMG|aBPWR
18	41222 53613	   	168.79	DCR|2DMG|1AART|1VULN|2CDMG	1aMLV|25CDMG|3aDUST|4AART|6RCR|7VULN|8LWND|9aDMG|aBPWR
19	41222 53512	   	168.69	DCR|2VULN|1AART|1DMG|2CDMG	1MLV|25CDMG|3DUST|4AART|6RCR|7aVULN|8LHND|9DMG
20	41222 53612	   	168.69	DCR|2VULN|1AART|1DMG|2CDMG	1MLV|25CDMG|3DUST|4AART|6RCR|7aVULN|8LWND|9DMG
21	55523 11111	 * 	168.02	ACR|3VULN|2DMG|2DUR	127CGEN|3RCR|4ERES|57aVULN|67DMG|7BPWR|89DUR
22	32463 24212	   	167.82	DCR|2VULN|2AART|1DMG|1CDMG	1LHND|2MBVNT|3LIT|47VULN|5DMG|69AART|8RCR|aCDMG
23	32463 23242	   	167.82	DCR|2VULN|2AART|1DMG|1CDMG	1LHND|2MBVNT|3LIT|49VULN|5DMG|67AART|8RCR|aCDMG
24	41324 43212	   	167.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2CDMG|3CGEN|4ZMB|5BEXP|6AART|7aVULN|8RCR|9DMG
25	41325 43212	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2CDMG|3CGEN|4ZMB|5DUST|6AART|7aVULN|8RCR|9DMG
26	41222 53363	 * 	167.01	DCR|2AART|2VULN|2CDMG|1ASPD	1MLV|25CDMG|3DUST|48AART|6RCR|7aVULN|9ASPD
27	11231 46362	   	166.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2CGEN|3NUKE|4ZMB|5DMG|6CDMG|7AART|8RCR|9aVULN
28	31463 21313	   	166.32	DCR|3VULN|3DMG	17aLHND|2CGEN|347DMG|579VULN|6RMIN|7BPWR|8RCR
29	31463 21316	   	166.32	DCR|3VULN|3DMG	17LHND|2CGEN|347DMG|579VULN|6RMIN|7BPWR|8RCR|aLWND
30	11463 63232	   	166.25	DCR|3VULN|2DMG|1CDMG|1ASPD	1FEWX|2CGEN|34DMG|567VULN|8CDMG|9ASPD|aRCR
31	31463 21312	   	166.22	DCR|3VULN|3DMG	17LHND|2CGEN|347DMG|579VULN|6RMIN|7BPWR|8RCR|aLSRHEA
32	52623 61332	   	165.81	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CGEN|2RPLT|38DMG|4ASPD|5VULN|6RCR|7LIT|9CDMG|aAART
33	32463 24247	   	165.32	DCR|3VULN|1AART|1DMG|1ASPD	1LHND|2MBVNT|3LIT|479VULN|5DMG|6AART|8RCR|aASPD
34	12872 34463	   	164.95	DCR|2VULN|2DMG|1AART|1DUR	1aFEWX|2MBVNT|3aDMG|4LIT|5DUR|6AART|7LEGI|8aVULN|9RCR|aBPWR
35	12443 35463	   	164.85	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|2MBVNT|3LIT|4DUR|5aDMG|6AART|78VULN|9RCR
36	12482 35463	   	164.85	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|2MBVNT|3LIT|4aDMG|5DUR|6AART|78VULN|9RCR
37	13634 26221	 * 	164.71	DCR|2AART|2DMG|3DUR|1CDMG	1aFEWX|29aDUR|3LWND|4CDMG|56AART|7aDMG|8RCR|aBPWR
38	41223 43513	 * 	164.41	ACR|2DMG|1AART|1VULN|2CDMG	1aMLV|26CDMG|3aDUST|4AART|5RCR|7VULN|8LHND|9aDMG|aBPWR
39	41223 43613	   	164.41	ACR|2DMG|1AART|1VULN|2CDMG	1aMLV|26CDMG|3aDUST|4AART|5RCR|7VULN|8LWND|9aDMG|aBPWR
40	51223 43513	   	164.41	ACR|2DMG|1AART|1VULN|2CDMG	1aCGEN|26CDMG|3aDUST|4AART|5RCR|7VULN|8LHND|9aDMG|aBPWR
41	51223 43613	   	164.41	ACR|2DMG|1AART|1VULN|2CDMG	1aCGEN|26CDMG|3aDUST|4AART|5RCR|7VULN|8LWND|9aDMG|aBPWR
42	41223 43512	 * 	164.31	ACR|2VULN|1AART|1DMG|2CDMG	1MLV|26CDMG|3DUST|4AART|5RCR|7aVULN|8LHND|9DMG
43	41223 43612	   	164.31	ACR|2VULN|1AART|1DMG|2CDMG	1MLV|26CDMG|3DUST|4AART|5RCR|7aVULN|8LWND|9DMG
