0	Index      	 *	Score 	Summary	Detail	
1	21213 16434	 * 	196.09	ACR|4VULN|2DMG|1AART	1AART|257aVULN|3DLOT|4RCR|6LHND|8aLWND|9aDMG|aBPWR
2	21213 42364	 * 	195.16	ACR|4VULN|1AART|2CDMG|2ZMB	1AART|257aVULN|3DLOT|4RCR|6aZMB|8RCVC|9aCDMG|aBPWR
3	21215 52335	 * 	194.62	ACR|2VULN|2DMG|1AART|3ZMB	1AART|2aVULN|3DLOT|4RCR|57aZMB|6MBVNT|8RMIN|9aDMG|aBPWR
4	21211 54224	 * 	192.34	ACR|2VULN|2DMG|1AART|3CDMG	1AART|2aVULN|3DLOT|4RCR|5RPLT|6aDMG|79aCDMG|8RMIN|aBPWR
5	21418 47423	 * 	190.71	DCR|3VULN|2DMG|1AART|1ASPD	1AART|235VULN|3BPWR|4MBVNT|6RCR|7ASPD|8RPLT|9aDMG
6	21662 11331	 * 	188.51	DCR|3DMG|2VULN|1AART|1ASPD	1AART|2aVULN|3CANHEL|4aLHND|5CGEN|6ASPD|7RCR|89aDMG|aBPWR
7	21344 21313	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|26aVULN|3ERES|4RPLT|59DMG|7RCR|8DUR
8	21211 54134	   	188.10	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2aVULN|3DLOT|4RCR|5RPLT|6aDMG|7aCDMG|8RCVC|9NUKE|aBPWR
9	21418 48221	 * 	186.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|235VULN|3BPWR|4MBVNT|6RCR|7CDMG|8DUR|9RPLT|aDMG
10	21418 48243	   	186.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|235VULN|3BPWR|4MBVNT|6RCR|7CDMG|8DUR|9FEWX|aDMG
11	21212 64122	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|27VULN|3DLOT|4RCR|5DUR|6CDMG|8aDMG|9RPLT
12	21418 41383	   	186.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|235VULN|3BPWR|4MBVNT|6RCR|7TLV|8CDMG|9DUR|aDMG
13	21418 43343	   	186.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|235VULN|3BPWR|4MBVNT|6RCR|7ERES|8CDMG|9DUR|aDMG
14	21418 48233	   	186.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|235VULN|3BPWR|4MBVNT|6RCR|7CDMG|8DUR|9DUST|aDMG
15	21418 48343	   	186.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|235VULN|3BPWR|4MBVNT|6RCR|7CDMG|8ERES|9DUR|aDMG
16	21413 68423	 * 	186.48	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2369VULN|3BPWR|4MBVNT|5BELT|7DMG|8RCR|aZMB
17	21212 64135	   	186.45	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1AART|27VULN|3DLOT|4RCR|5DUR|69CDMG|8DMG|aZMB
18	21412 16123	 * 	186.38	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	1AART|23aVULN|3aBPWR|4MBVNT|5aCGEN|6CDMG|7DMG|8aASPD|9RCR
19	21344 21312	 * 	186.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|26VULN|3ERES|4RPLT|59DMG|7RCR|8DUR|aCDMG
20	21344 21321	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|26VULN|3ERES|4RPLT|5aDMG|7RCR|8DUR|9CDMG
21	21417 16123	   	186.18	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	1AART|23aVULN|3aBPWR|4MBVNT|5aERES|6CDMG|7DMG|8aASPD|9RCR
22	21245 12136	   	185.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2aVULN|3DLOT|4ZMB|5CDMG|6LEGI|78DMG|9RCR
23	21335 41323	   	185.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|27VULN|3ERES|4ZMB|5aDMG|6MBVNT|8CDMG|9RCR
24	21213 26651	 * 	184.94	ACR|5VULN|1AART|1ASPD|1DUR	1AART|25789VULN|3DLOT|4RCR|6DUR|aASPD
25	21215 33335	 * 	184.86	ACR|3VULN|1AART|3ZMB|2DUR	1AART|27aVULN|3DLOT|4RCR|58aZMB|6aDUR|9MBVNT|aBPWR
