0	Index      	 *	Score 	Summary	Detail	
1	23361 31344	 * 	188.28	DCR|2VULN|2DMG|1AART|3ASPD	1AART|2aCGEN|3RMIN|4aDMG|589ASPD|6RCR|7aVULN|aBPWR
2	23542 42323	 * 	187.81	DCR|4VULN|1AART|1DMG|2DUR	1AART|2CGEN|3567VULN|49DUR|8RCR|aDMG
3	23361 31631	   	187.32	DCR|4VULN|1AART|1DMG|1ASPD	1AART|2CGEN|3RMIN|4DMG|5ASPD|6RCR|789aVULN
4	21331 31631	   	187.22	DCR|4VULN|1AART|1DMG|1ASPD	1AART|2TLV|3RMIN|4DMG|5ASPD|6RCR|789aVULN
5	22361 31631	   	187.22	DCR|4VULN|1AART|1DMG|1ASPD	1AART|2ERES|3RMIN|4DMG|5ASPD|6RCR|789aVULN
6	21561 31631	   	187.12	DCR|4VULN|1AART|1DMG|1ASPD	1AART|2TLV|3ERES|4DMG|5ASPD|6RCR|789aVULN
7	23361 31626	 * 	186.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CGEN|3RMIN|4DMG|5ASPD|6RCR|78aVULN|9CDMG
8	21331 31626	   	186.77	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2TLV|3RMIN|4DMG|5ASPD|6RCR|78aVULN|9CDMG
9	22361 31626	   	186.77	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2ERES|3RMIN|4DMG|5ASPD|6RCR|78aVULN|9CDMG
10	16361 31631	   	186.72	DCR|4VULN|1AART|1DMG|1ASPD	1CGEN|2AART|3RMIN|4DMG|5ASPD|6RCR|789aVULN
11	66331 31631	   	186.62	DCR|4VULN|1AART|1DMG|1ASPD	1TLV|2AART|3RMIN|4DMG|5ASPD|6RCR|789aVULN
12	15612 33336	 * 	185.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DUR|3RCR|4AART|59aVULN|6VENICY|7DMG|8CDMG
13	23522 42323	 * 	185.16	DCR|3VULN|2AART|1DMG|2DUR	14AART|2CGEN|367VULN|59DUR|8RCR|aDMG
