0	Index      	 *	Score 	Summary	Detail	
1	33464 31312	 * 	197.97	ACR|4VULN|3DMG|2DUR	17aMLV|28DUR|3RCR|47aDMG|579aVULN|6LEGI|7aBPWR
2	52833 34254	 * 	190.87	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	1MBVNT|29DMG|359VULN|4LIT|6ZMB|7RCR|89CDMG|9BPWR|aDUR
3	52832 34254	 * 	189.97	DCR|3DMG|2VULN|3CDMG|1ZMB	1MBVNT|269DMG|39VULN|4LIT|5ZMB|7RCR|89aCDMG|9BPWR
4	54583 44134	 * 	187.87	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1MBVNT|2BASICY|36DMG|46ASPD|5AART|6BPWR|7RCR|8aVULN|9ZMB
5	52853 41442	 * 	187.62	ACR|3DMG|2VULN|1AART|2DUR	1MBVNT|27aDMG|3aVULN|47ERES|5RCR|67DUR|7aBPWR|8AART|9aCGEN
6	52853 41432	   	187.42	ACR|3DMG|2VULN|1AART|2DUR	1MBVNT|27aDMG|3aVULN|47ERES|5RCR|67DUR|7aBPWR|8AART|9aTLV
7	52212 61622	 * 	186.51	DCR|3DMG|2VULN|1AART|1DUR	1MBVNT|24aDMG|3aERES|5DUR|6RCR|7MLV|8AART|9aVULN|aBPWR
8	52222 61622	   	186.51	DCR|3DMG|2VULN|1AART|1DUR	1MBVNT|24aDMG|34aERES|4aBPWR|5DUR|6RCR|7MLV|8AART|9aVULN
9	52846 41442	 * 	184.70	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|27DMG|37aVULN|4FEWX|5TLV|67DUR|7BPWR|8AART|9RCR
10	42318 41282	 * 	184.37	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1BEXP|2MBVNT|378VULN|4DUR|5AART|6RCR|9DMG|aFLTHEA
11	51318 41282	   	184.37	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1MBVNT|2BEXP|378VULN|4DUR|5AART|6RCR|9DMG|aFLTHEA
12	52218 37412	 * 	183.96	DCR|3VULN|3DMG|1ZMB|1ASPD	1MBVNT|24aDMG|3aERES|5ASPD|6ZMB|79aVULN|8RCR|aBPWR
13	52228 37412	   	183.96	DCR|3VULN|3DMG|1ZMB|1ASPD	1MBVNT|24aDMG|34aERES|4aBPWR|5ASPD|6ZMB|79aVULN|8RCR
