0	Index      	 *	Score 	Summary	Detail	
1	15262 24321	 * 	190.35	DCR|2VULN|2DMG|1AART|2ASPD|1FLTHEA|1DUR	13ASPD|23DMG|3BPWR|4DUST|5AART|69VULN|7DUR|8FLTHEA|aRCR
2	15222 66213	 * 	189.19	ACR|3DMG|2VULN|2ASPD|1CDMG|1ZMB	13ASPD|23aDMG|3BPWR|4CGEN|5RCR|69VULN|7ZMB|8CDMG
3	15212 15262	 * 	187.56	DCR|3DMG|2VULN|3ASPD|2DUR	13aASPD|239DMG|3aBPWR|4DMSP|5ERES|6RCR|7aDUR|8aVULN
4	15262 43222	 * 	186.43	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	13ASPD|23DMG|3BPWR|4DUST|5AART|6RCR|7CGEN|8CDMG|9VULN|aZMB
5	15222 66212	 * 	186.36	ACR|2VULN|2DMG|3ASPD|2CDMG|1ZMB	13aASPD|23DMG|3aBPWR|4aCGEN|5RCR|69VULN|7ZMB|8aCDMG
6	15262 16211	 * 	183.61	DCR|2AART|2VULN|2DMG|2ASPD	13ASPD|23DMG|3BPWR|4DUST|5aAART|6LIT|78VULN|9RCR
7	15262 16212	   	183.17	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	13ASPD|23DMG|3BPWR|4DUST|5AART|6LIT|78VULN|9RCR|aZMB
8	22222 66114	 * 	182.05	ACR|3DMG|2VULN|2CDMG|1ZMB	1RMIN|23aDMG|3aBPWR|4CGEN|5RCR|6aVULN|7ZMB|8LWND|9aCDMG
9	22222 66212	   	182.05	ACR|3DMG|2VULN|2CDMG|1ZMB	1RMIN|23aDMG|3aBPWR|4aCGEN|5RCR|69VULN|7ZMB|8aCDMG
10	15262 41223	 * 	181.64	DCR|2DMG|1AART|1VULN|2CDMG|2ASPD	13ASPD|23DMG|3BPWR|4DUST|5AART|6RCR|7ERES|8aCDMG|9VULN
11	22252 66122	 * 	181.49	ACR|3VULN|3DMG|2ZMB	1RMIN|238DMG|38BPWR|4NUKE|5RCR|68aVULN|78ZMB|9DMSP
12	22252 66132	   	181.49	ACR|3VULN|3DMG|2ZMB	1RMIN|238DMG|38BPWR|4NUKE|5RCR|68aVULN|78ZMB|9LHND
13	22252 66112	   	181.39	ACR|3VULN|3DMG|2ZMB	1RMIN|238DMG|38BPWR|4NUKE|5RCR|68aVULN|78ZMB|9LEGI
14	15213 43152	 * 	180.36	DCR|3VULN|2DMG|3ASPD|2DUR	138ASPD|23DMG|38BPWR|4DMSP|5MBVNT|68aVULN|78DUR|9RCR
15	15311 36252	 * 	179.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2DMG|3CGEN|4DUR|5AART|67VULN|8CDMG|9RCR|aZMB
16	22252 66131	 * 	179.49	ACR|3DMG|2VULN|2ZMB|1CDMG	1RMIN|238DMG|38BPWR|4NUKE|5RCR|68VULN|78ZMB|9LHND|aCDMG
17	22252 66111	   	179.39	ACR|3DMG|2VULN|2ZMB|1CDMG	1RMIN|238DMG|38BPWR|4NUKE|5RCR|68VULN|78ZMB|9LEGI|aCDMG
18	22311 36254	 * 	179.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|2aDMG|3CGEN|4DUR|5AART|67VULN|8CDMG|9RCR
19	15222 66111	 * 	179.15	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	13ASPD|23DMG|3BPWR|4CGEN|5RCR|6VULN|7ZMB|8LWND|9CDMG|aAART
20	15213 43151	 * 	178.36	DCR|2VULN|2DMG|3ASPD|1CDMG|2DUR	138ASPD|23DMG|38BPWR|4DMSP|5MBVNT|68VULN|78DUR|9RCR|aCDMG
21	15222 13113	 * 	178.19	ACR|3DMG|1AART|1VULN|2ASPD|1DUR	13ASPD|239DMG|3BPWR|4CGEN|5RCR|6AIRHEA|7VULN|8AART|aDUR
22	15111 66122	   	177.74	DCR|3VULN|2DMG|1ZMB|1DUR|1ASPD	1ASPD|28DMG|3ZMB|4DUR|5DMSP|69aVULN|7RCR
23	15222 66312	 * 	177.27	ACR|2VULN|2DMG|3ZMB|2ASPD	13ASPD|23DMG|3BPWR|4CGEN|5RCR|6aVULN|789ZMB
24	15211 36363	 * 	176.82	ACR|3DMG|1AART|1VULN|3ASPD|1SELL	137ASPD|23aDMG|3BPWR|4DMSP|5RCR|6SELL|8VULN|9AART
25	15222 22226	 * 	176.46	ACR|3DMG|1AART|3ASPD|1VULN	136ASPD|237DMG|3BPWR|4CGEN|5RCR|8VULN|9LIT|aAART
26	15222 13141	   	176.18	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	13ASPD|23DMG|3BPWR|4CGEN|5RCR|6AIRHEA|7VULN|8AART|9DUR|aCDMG
27	22222 66213	   	175.54	ACR|3DMG|2VULN|1CDMG|1ZMB	1RMIN|23aDMG|3BPWR|4CGEN|5RCR|69VULN|7ZMB|8CDMG
28	22222 66234	   	175.54	ACR|3DMG|2VULN|1CDMG|1ZMB	1RMIN|23aDMG|3aBPWR|4CGEN|5RCR|6aVULN|7ZMB|8CDMG|9aDUST
29	53516 11212	 * 	175.48	DCR|2AART|2DMG|1VULN|1CDMG|1SELL	1aAART|2LHND|3CDMG|49DMG|5LIT|6RCR|7SELL|8VULN
30	15225 11622	   	175.43	DCR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4CGEN|5DMSP|6RCR|7aVULN|9aBEXP
31	15225 11632	   	175.43	DCR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4CGEN|5DMSP|6RCR|7aVULN|9aLHND
32	15262 43221	   	175.43	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4DUST|5AART|6RCR|7aCGEN|8CDMG|9VULN
33	15262 43223	   	175.43	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4DUST|5AART|6RCR|7CGEN|8CDMG|9VULN|aRMIN
34	15212 11622	   	175.33	DCR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4DMSP|5ERES|6RCR|7aVULN|9aBEXP
35	15212 11632	   	175.33	DCR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4DMSP|5ERES|6RCR|7aVULN|9aLHND
36	15212 11652	   	175.33	DCR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4DMSP|5ERES|6RCR|7aVULN|9aLWND
37	15225 11362	   	175.33	DCR|3DMG|2VULN|3ASPD	13aASPD|239DMG|3aBPWR|4aCGEN|5DMSP|6RCR|7aVULN|8LEGI
38	15262 41221	   	175.33	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4DUST|5AART|6RCR|7ERES|8CDMG|9VULN|aCGEN
39	15262 41222	   	175.33	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4DUST|5AART|6RCR|7ERES|8CDMG|9VULN|aRCVC
40	15225 11262	   	175.23	DCR|3DMG|2VULN|3ASPD	13aASPD|239DMG|3aBPWR|4CGEN|5DMSP|6RCR|7aVULN|8aDUST
41	15225 11612	   	175.23	DCR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4CGEN|5DMSP|6RCR|7aVULN|9aDUST
42	15212 11612	   	175.13	DCR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4DMSP|5ERES|6RCR|7aVULN|9aDUST
43	15212 13262	   	175.13	DCR|3DMG|2VULN|3ASPD	13aASPD|239DMG|3aBPWR|4DMSP|5ERES|6RCR|7aDUST|8aVULN
44	45221 11412	 * 	175.13	DCR|3VULN|2DMG|2CDMG	14aTLV|2aDMG|3LWND|589VULN|6RCR|7aCDMG|aBPWR
45	15262 21253	   	174.44	DCR|2DMG|1AART|1VULN|2CDMG|2ASPD	13ASPD|23DMG|3BPWR|4DUST|5AART|6VULN|7ERES|8aCDMG|9RCR
46	12533 26321	 * 	173.67	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2BEXP|3DMG|469VULN|5FEWX|7AART|8FLTHEA|aRCR
47	12532 26321	   	173.57	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2BEXP|3DMG|469VULN|5DUST|7AART|8FLTHEA|aRCR
48	15222 66211	   	173.53	ACR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	13ASPD|23DMG|3BPWR|4CGEN|5RCR|69VULN|7ZMB|8CDMG|aLIT
49	15262 43232	   	173.30	DCR|2DMG|1AART|2ASPD|1CDMG|1ZMB|1DUR	13ASPD|23DMG|3BPWR|4DUST|5AART|6RCR|7CGEN|8CDMG|9DUR|aZMB
