0	Index      	 *	Score 	Summary	Detail	
1	63612 31621	 * 	192.73	DCR|4VULN|1AART|1DMG|1CDMG	1589VULN|2MBVNT|3AART|4MLV|6RCR|7DMG|aCDMG
2	62111 44345	 * 	192.08	DCR|3VULN|3DMG|1AART|1SELL	158VULN|2SELL|3RMIN|48aDMG|6MBVNT|7RCR|8BPWR|9AART
3	63612 31623	 * 	191.91	DCR|5VULN|1AART|1DMG	1589aVULN|2MBVNT|3AART|4MLV|6RCR|7DMG
4	62111 44348	 * 	190.52	DCR|4VULN|2DMG|1AART|1SELL	158aVULN|2SELL|3RMIN|48DMG|6MBVNT|7RCR|8BPWR|9AART
5	62311 17345	 * 	190.16	ACR|3VULN|1AART|1DMG|2ZMB|2ASPD|1SELL	158VULN|2SELL|3RCR|4MBVNT|58BPWR|68ASPD|78ZMB|9AART|aDMG
6	62111 44346	 * 	187.43	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	158VULN|2SELL|3RMIN|48DMG|6MBVNT|7RCR|8BPWR|9AART|aZMB
7	62311 11545	 * 	186.08	ACR|3VULN|2DMG|1AART|1ASPD|1SELL	158VULN|2SELL|3RCR|4MBVNT|5BPWR|6ASPD|7aDMG|9AART
8	63662 33314	 * 	183.86	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	17VULN|2MBVNT|3AART|4LIT|57DUR|67CDMG|7BPWR|8RCR|9ASPD|aDMG
9	62211 36522	 * 	183.32	DCR|4VULN|2DMG|1AART|1SELL	1568VULN|2SELL|3CGEN|48DMG|78ERES|8BPWR|9AART|aRCR
10	62311 11548	 * 	182.60	ACR|4VULN|1AART|1DMG|1ASPD|1SELL	158aVULN|2SELL|3RCR|4MBVNT|5BPWR|6ASPD|7DMG|9AART
11	63612 31143	 * 	182.57	DCR|3VULN|2DMG|1AART	15aVULN|2MBVNT|3AART|4MLV|6RCR|79DMG|8CGEN
12	62311 11541	 * 	182.14	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	158VULN|2SELL|3RCR|4MBVNT|5BPWR|6ASPD|7DMG|9AART|aCDMG
13	62317 11541	 * 	182.14	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	158VULN|2SELL|3RCR|4MBVNT|6ASPD|7DMG|9AART|aCDMG
14	43721 16322	 * 	180.22	DCR|4VULN|3DMG	1BEXP|2MBVNT|3RPLT|4679VULN|56aDMG|6BPWR|8RCR
15	63432 42647	 * 	179.57	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|2MBVNT|3LIT|4aZMB|5LWND|6RCR|7AART|8LHND|9aDMG|aBPWR
16	63432 42747	   	179.57	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|2MBVNT|3LIT|4aZMB|5LWND|6RCR|7AART|8FEWX|9aDMG|aBPWR
17	62111 44324	 * 	179.55	DCR|5VULN|2DMG|1SELL	1589aVULN|2SELL|3RMIN|48DMG|6MBVNT|7RCR|8BPWR
18	62311 11546	 * 	179.50	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	158VULN|2SELL|3RCR|4MBVNT|5BPWR|6ASPD|7DMG|9AART|aZMB
19	63612 31183	   	179.08	DCR|4VULN|1AART|1DMG	159aVULN|2MBVNT|3AART|4MLV|6RCR|7DMG|8CGEN
20	63612 31624	   	179.08	DCR|4VULN|1AART|1DMG	1589VULN|2MBVNT|3AART|4aMLV|6RCR|7DMG
21	63612 31613	   	178.98	DCR|4VULN|1AART|1DMG	158aVULN|2MBVNT|3AART|4MLV|6RCR|7DMG|9ERES
22	63612 31622	   	178.98	DCR|4VULN|1AART|1DMG	1589VULN|2MBVNT|3AART|4MLV|6RCR|7DMG|aNUKE
23	62341 31326	 * 	178.75	ACR|3VULN|1DMG|3DUR|2ASPD|1ZMB|1SELL	158VULN|2SELL|3RCR|458DUR|58BPWR|6RMIN|78ASPD|9DMG|aZMB
24	63616 31143	 * 	178.36	DCR|2AART|2VULN|2DMG	1aVULN|2MBVNT|35AART|4MLV|6RCR|79DMG|8CGEN
25	62211 41513	   	177.68	DCR|4VULN|3DMG|1SELL	157aVULN|2SELL|37CGEN|47aDMG|6MBVNT|7aBPWR|8aERES|9RCR
26	62311 17348	 * 	177.04	ACR|3VULN|1AART|2ZMB|2ASPD|1DUR|1SELL	158VULN|2SELL|3RCR|4MBVNT|58BPWR|68ASPD|78ZMB|9AART|aDUR
27	63612 31123	 * 	176.43	DCR|3VULN|2AART|1DMG	15aVULN|2MBVNT|39AART|4MLV|6RCR|7DMG|8CGEN
28	62111 44342	   	176.42	DCR|3VULN|2DMG|1AART|1SELL	158VULN|2SELL|3RMIN|48DMG|6MBVNT|7RCR|8BPWR|9AART|aLHND
29	62111 44344	   	176.42	DCR|3VULN|2DMG|1AART|1SELL	158VULN|2SELL|3RMIN|48DMG|6MBVNT|7RCR|8BPWR|9AART|aBELT
30	62111 44347	   	176.42	DCR|3VULN|2DMG|1AART|1SELL	158VULN|2SELL|3RMIN|48DMG|6MBVNT|7RCR|8BPWR|9AART|aCGEN
31	62111 44343	   	176.32	DCR|3VULN|2DMG|1AART|1SELL	158VULN|2SELL|3RMIN|48DMG|6MBVNT|7RCR|8BPWR|9AART|aTLV
32	62111 44341	   	176.18	DCR|3VULN|2DMG|1AART|2SELL	158VULN|2aSELL|3RMIN|48DMG|6MBVNT|7RCR|8BPWR|9AART
33	43721 16324	   	175.57	DCR|4VULN|2DMG|1ZMB	1BEXP|2MBVNT|3RPLT|4679VULN|56DMG|6BPWR|8RCR|aZMB
34	63612 31427	   	175.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	15VULN|2MBVNT|3AART|4MLV|6RCR|7DMG|89DUR|aCDMG
35	62214 51333	 * 	174.92	DCR|3VULN|3DMG|1CDMG|1SELL	178VULN|2SELL|3CGEN|457DMG|67LWND|7BPWR|9CDMG|aRCR
36	62214 41334	 * 	174.82	DCR|3VULN|3DMG|1CDMG|1SELL	178VULN|2SELL|37CGEN|457DMG|6MBVNT|7BPWR|9CDMG|aRCR
37	16323 63342	 * 	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2CGEN|3DUR|4aVULN|5RCR|6AART|7ZMB|8DMG|9CDMG
38	51333 63342	   	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2aVULN|3DUR|4DUST|5RCR|6AART|7ZMB|8DMG|9CDMG
39	62341 11212	 * 	174.61	ACR|3VULN|2DMG|2DUR|1ASPD|1SELL	15aVULN|2SELL|3RCR|45DUR|5BPWR|6ASPD|79DMG|8ERES
40	11223 62414	 * 	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1DUST|2LIT|3AART|4RCR|5CANHEL|6DMG|79VULN|8FLTHEA|aCDMG
