0	Index      	 *	Score 	Summary	Detail	
1	13161 41136	 * 	320.47	DCR|4VULN|2MLV|2DMG|1TLV	1aDMG|2TLV|3RCVC|4aMLV|589aVULN|6RCR|7RMIN|aBPWR
2	31161 41136	 * 	317.06	DCR|4VULN|2MLV|2TLV|1DMG	1aTLV|2DMG|3RCVC|4aMLV|589aVULN|6RCR|7RMIN|aBPWR
3	63551 22311	 * 	303.15	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1LIT|2CGEN|3DUR|4TLV|5MLV|6VULN|7LHND|8DMG|9aRCR
4	63611 22311	   	303.15	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1LIT|2CGEN|3TLV|4DUR|5MLV|6VULN|7LHND|8DMG|9aRCR
5	13161 41236	   	300.32	DCR|3VULN|2MLV|2DMG|1TLV	1aDMG|2TLV|38RCVC|4aMLV|59aVULN|6RCR|7RMIN|aBPWR
6	13161 42323	 * 	299.19	DCR|3MLV|2VULN|2DMG|1TLV	1aDMG|2TLV|3RCVC|49aMLV|5aVULN|6RCR|7LEGI|8RPLT|aBPWR
7	31161 41236	   	296.91	DCR|3VULN|2MLV|2TLV|1DMG	1aTLV|2DMG|38RCVC|4aMLV|59aVULN|6RCR|7RMIN|aBPWR
8	31161 42323	 * 	295.78	DCR|3MLV|2VULN|2TLV|1DMG	1aTLV|2DMG|3RCVC|49aMLV|5aVULN|6RCR|7LEGI|8RPLT|aBPWR
9	63661 22311	   	294.84	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1LIT|2CGEN|3TLV|4LWND|5MLV|6VULN|7LHND|8DMG|9aRCR
10	13121 44214	   	294.74	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1DMG|2TLV|3RCVC|4DUST|5MLV|6aRCR|7BBNT|8VULN|9LIT
11	31121 44214	   	294.74	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2DMG|3RCVC|4DUST|5MLV|6aRCR|7BBNT|8VULN|9LIT
12	63413 61311	   	294.74	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1LIT|2CGEN|3VULN|4MLV|5TLV|6LHND|7BEXP|8DMG|9aRCR
13	63642 31311	   	294.74	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1LIT|2CGEN|3TLV|4VULN|5LHND|6MLV|7BEXP|8DMG|9aRCR
14	63651 22311	   	294.74	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1LIT|2CGEN|3TLV|4DUST|5MLV|6VULN|7LHND|8DMG|9aRCR
15	63661 21311	   	294.74	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1LIT|2CGEN|3TLV|4LWND|5MLV|6VULN|7BEXP|8DMG|9aRCR
16	35412 12111	 * 	294.56	DCR|3VULN|2MLV|2AAC|1TLV	1TLV|2DMSP|346VULN|56MLV|6BPWR|78AAC|9RCR|aRMIN
17	35412 12112	   	294.56	DCR|3VULN|2MLV|2AAC|1TLV	1TLV|2DMSP|346VULN|56MLV|6BPWR|78AAC|9RCR|aLHND
18	35412 12113	   	294.56	DCR|3VULN|2MLV|2AAC|1TLV	1TLV|2DMSP|346VULN|56MLV|6BPWR|78AAC|9RCR|aCGEN
19	35412 12115	   	294.56	DCR|3VULN|2MLV|2AAC|1TLV	1TLV|2DMSP|346VULN|56MLV|6BPWR|78AAC|9RCR|aLIT
20	35412 12116	   	294.56	DCR|3VULN|2MLV|2AAC|1TLV	1TLV|2aDMSP|346VULN|56MLV|6BPWR|78AAC|9RCR
21	35412 12114	   	294.46	DCR|3VULN|2MLV|2AAC|1TLV|1MSE	1TLV|2DMSP|346VULN|56MLV|6BPWR|78AAC|9RCR|aMSE
22	13161 43343	 * 	292.51	DCR|2VULN|3DMG|2MLV|1TLV	18aDMG|2TLV|39RCVC|4aMLV|5aVULN|6RCR|7RPLT|aBPWR
23	13161 42363	   	292.41	DCR|2VULN|3DMG|2MLV|1TLV	19aDMG|2TLV|3RCVC|4aMLV|5aVULN|6RCR|7LEGI|8RPLT|aBPWR
24	61553 23311	   	291.47	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1LIT|2BEXP|3AAC|4TLV|5ERES|6VULN|7MLV|8LHND|9aRCR
25	31161 43343	 * 	291.03	DCR|2VULN|2MLV|2TLV|2DMG	1aTLV|28DMG|39RCVC|4aMLV|5aVULN|6RCR|7RPLT|aBPWR
26	31161 42363	   	290.93	DCR|2VULN|2MLV|2TLV|2DMG	1aTLV|29DMG|3RCVC|4aMLV|5aVULN|6RCR|7LEGI|8RPLT|aBPWR
