0	Index      	 *	Score 	Summary	Detail	
1	46443 22423	 * 	296.29	DCR|DCR|2MLV|1VULN|1DMG	1RMIN|2DMG|3MBVNT|4AME|5AART|69RCR|78MLV|aVULN
2	46443 22422	   	280.45	DCR|DCR|2MLV|1DMG|1ASPD	1RMIN|2DMG|3MBVNT|4AME|5AART|69RCR|78MLV|aASPD
3	46443 22312	   	270.49	DCR|DCR|1VULN|1MLV|1DMG	1RMIN|2DMG|3MBVNT|4AME|5AART|68RCR|7MLV|9LHND|aVULN
4	46443 22322	   	270.49	DCR|DCR|1VULN|1MLV|1DMG	1RMIN|2DMG|3MBVNT|4AME|5AART|68RCR|7MLV|9LWND|aVULN
5	46443 22332	   	270.49	DCR|DCR|1VULN|1MLV|1DMG	1RMIN|2DMG|3MBVNT|4AME|5AART|68RCR|7MLV|9FEWX|aVULN
6	46443 22343	   	270.49	DCR|DCR|1VULN|1MLV|1DMG	1RMIN|2DMG|3MBVNT|4AME|5AART|68RCR|7MLV|9RCVC|aVULN
7	46443 21323	   	270.39	DCR|DCR|1VULN|1MLV|1DMG	1RMIN|2DMG|3MBVNT|4AME|5AART|69RCR|7AEPOI|8MLV|aVULN
8	62411 13513	 * 	268.63	DCR|3VULN|2MLV|2AAC	1DUR|258VULN|3FEWX|4aAAC|69MLV|7RCR
9	62311 13513	   	268.53	DCR|3VULN|2MLV|2AAC	1DUR|258VULN|3DUST|4aAAC|69MLV|7RCR
10	62311 13516	   	267.08	DCR|3VULN|2MLV|1AAC|1CDMG	1DUR|258VULN|3DUST|4AAC|69MLV|7RCR|aCDMG
