0	Index      	 *	Score 	Summary	Detail	
1	56311 32531	 * 	186.49	ACR|4VULN|1AART|1CDMG|1ZMB	1DMSP|2RCR|3AART|4ERES|569aVULN|7ZMB|8CDMG
2	36323 81473	 * 	186.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	157VULN|2ZMB|3MBVNT|4FEWX|6RCR|8CDMG|9AART|aDMG
3	36343 81446	   	185.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	157VULN|2ZMB|3MBVNT|4LHND|6RCR|8CDMG|9DMG|aAART
4	36323 81237	 * 	184.32	DCR|4VULN|2DMG|2ZMB	157aVULN|2aZMB|3MBVNT|4FEWX|6RCR|8LIT|9aDMG|aBPWR
5	36343 81237	   	184.32	DCR|4VULN|2DMG|2ZMB	157aVULN|2aZMB|3MBVNT|4LHND|6RCR|8LIT|9aDMG|aBPWR
6	36323 22473	   	183.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	156VULN|2ZMB|3MBVNT|4FEWX|7RCR|8CDMG|9AART|aDMG
7	22415 31411	 * 	183.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CGEN|28VULN|36AART|4LIT|5DMG|7RCR|9ZMB|aCDMG
8	31415 31411	   	183.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	18VULN|2CGEN|36AART|4LIT|5DMG|7RCR|9ZMB|aCDMG
9	36343 22446	   	183.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	156VULN|2ZMB|3MBVNT|4LHND|7RCR|8CDMG|9DMG|aAART
10	32415 31411	   	183.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	18VULN|2ERES|36AART|4LIT|5DMG|7RCR|9ZMB|aCDMG
11	36323 22237	   	181.92	DCR|4VULN|2DMG|2ZMB	156aVULN|2aZMB|3MBVNT|4FEWX|7RCR|8LIT|9aDMG|aBPWR
12	36343 22237	   	181.92	DCR|4VULN|2DMG|2ZMB	156aVULN|2aZMB|3MBVNT|4LHND|7RCR|8LIT|9aDMG|aBPWR
