0	Index      	 *	Score 	Summary	Detail	
1	52223 36133	 * 	196.94	ACR|3VULN|2DMG|1AART|1CDMG	1aCGEN|2RCR|38aVULN|4BELT|5LWND|6CDMG|7AART|9aDMG|aBPWR
2	52432 43313	   	190.15	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	18CGEN|2RCR|3DMG|4ZMB|5CDMG|69aVULN|7AART
3	42122 43511	 * 	188.95	ACR|2AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1MLV|2RCR|3DUR|4ZMB|5CDMG|6DMG|78AART|9VULN|aFLTHEA
4	42221 11443	   	188.33	ACR|3VULN|2DMG|1AART|1DUR	19MLV|2RCR|369VULN|4BELT|5DUR|7DUST|89DMG|9BPWR|aAART
5	52221 11443	   	188.33	ACR|3VULN|2DMG|1AART|1DUR	19CGEN|2RCR|369VULN|4BELT|5DUR|7DUST|89DMG|9BPWR|aAART
6	52326 13213	   	183.64	ACR|3VULN|2DMG|1AART|1SELL	1aCGEN|2RCR|35BEXP|47aVULN|6AART|8aDMG|9SELL|aBPWR
7	42263 21431	   	182.74	ACR|3VULN|2DMG|1CDMG|1ZMB	1MLV|2RCR|36aVULN|4CDMG|5LIT|78DMG|9ZMB
8	42432 43231	   	182.24	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1MLV|2RCR|3DMG|4ZMB|5CDMG|6VULN|7aAART|8ASPD|9DUR
9	42322 43511	   	182.01	ACR|2AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1MLV|2RCR|3BEXP|4ZMB|5CDMG|6DMG|78AART|9VULN|aFLTHEA
10	42621 42232	   	181.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1MLV|2RCR|3BASHEA|4CDMG|5DMG|6AART|7ASPD|8ZMB|9aVULN
11	42222 21433	   	181.88	ACR|2VULN|2DMG|1AART|1CDMG	15aMLV|2RCR|3aVULN|4BELT|6AART|7LWND|8CDMG|9aDMG|aBPWR
12	52432 43312	   	181.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18CGEN|2RCR|3DMG|4ZMB|5CDMG|69VULN|7AART|aDUR
13	52223 36135	   	181.08	ACR|2VULN|2DMG|1AART|1CDMG	1CGEN|2RCR|38VULN|4BELT|5LWND|6CDMG|7AART|9aDMG
14	42263 22433	 * 	181.08	ACR|5VULN|1DMG|1CDMG	1MLV|2RCR|36789VULN|4CDMG|5LIT|aDMG
15	21324 13246	 * 	180.83	DCR|3VULN|1AART|1DMG|3DUR|1ZMB	1LHND|249DUR|347VULN|4BPWR|5ZMB|6AART|8DMG|aRCR
