0	Index      	 *	Score 	Summary	Detail	
1	56363 11212	 * 	194.07	ACR|3VULN|1AART|2CDMG|1DMG|1ZMB	19ERES|2ZMB|3RCR|49CDMG|5DMG|6CGEN|7AART|89aVULN|9BPWR
2	56363 31212	   	194.07	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	19ERES|2ZMB|3RCR|49CDMG|5DMG|6MLV|7AART|89aVULN|9BPWR
3	13656 33323	 * 	192.56	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1aVULN|2RMIN|3RCR|4ASPD|58DMG|6CDMG|7AART|9DUR
4	13656 33123	   	190.63	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	18aVULN|2RMIN|3RCR|4ASPD|5DMG|6CDMG|7AART|9DUR
5	13656 33332	   	185.62	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1aVULN|2RMIN|3RCR|4ASPD|58DMG|6CDMG|7AART|9CGEN
6	53311 41233	 * 	185.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	12ERES|3RCR|4DMG|5CDMG|68VULN|7AART|9FLTHEA|aZMB
7	53341 41233	   	185.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	12ERES|3RCR|4CDMG|5DMG|68VULN|7AART|9FLTHEA|aZMB
8	53343 41233	   	185.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	12ERES|3RCR|4CDMG|58VULN|6DMG|7AART|9FLTHEA|aZMB
9	54311 41233	   	185.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	12ERES|2BPWR|3RCR|4DMG|5CDMG|68VULN|7AART|9FLTHEA|aZMB
10	13612 22653	 * 	185.54	ACR|4VULN|3DMG	149aVULN|2RMIN|3RCR|5CANSTR|67aDMG|8aFEWX|aBPWR
11	13656 33312	   	185.52	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1aVULN|2RMIN|3RCR|4ASPD|58DMG|6CDMG|7AART|9NUKE
12	53311 41352	   	185.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12ERES|3RCR|49DMG|5CDMG|6aVULN|7AART|8DUR
13	53311 51252	   	185.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12ERES|3RCR|49DMG|5CDMG|6DUR|7AART|8aVULN
14	13656 33132	   	183.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	18aVULN|2RMIN|3RCR|4ASPD|5DMG|6CDMG|7AART|9CGEN
15	13624 11622	 * 	183.64	ACR|4VULN|2DMG|1CDMG	159aVULN|2RMIN|3RCR|4BELT|6CDMG|79LWND|89DMG|9BPWR
16	56263 11213	 * 	183.62	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1ERES|29ZMB|3BEXP|4CDMG|59DMG|6CGEN|7AART|89VULN|9BPWR|aRCR
17	56263 31213	   	183.62	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1ERES|29ZMB|3BEXP|4CDMG|59DMG|6MLV|7AART|89VULN|9BPWR|aRCR
18	13656 33112	   	183.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	18aVULN|2RMIN|3RCR|4ASPD|5DMG|6CDMG|7AART|9NUKE
19	16625 31233	 * 	183.38	ACR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB|1ASPD	168VULN|2CDMG|3ERES|4ASPD|5RCR|7AART|9FLTHEA|aZMB
20	55363 11212	   	182.96	ACR|3VULN|1AART|2CDMG|1DMG	19ERES|2TLV|3RCR|49CDMG|5DMG|6CGEN|7AART|89aVULN|9BPWR
21	55363 31212	   	182.96	ACR|3VULN|1AART|2CDMG|1DMG	19ERES|2TLV|3RCR|49CDMG|5DMG|6MLV|7AART|89aVULN|9BPWR
22	13612 33123	 * 	182.71	ACR|5VULN|2DMG	1467aVULN|2RMIN|3RCR|5CANSTR|8aFEWX|9aDMG|aBPWR
23	13615 33123	   	182.71	ACR|5VULN|2DMG	1467aVULN|2RMIN|3RCR|5VENICY|8aFEWX|9aDMG|aBPWR
24	13662 33123	   	182.71	ACR|5VULN|2DMG	1467aVULN|2RMIN|3RCR|4aBPWR|5CANSTR|8aFEWX|9aDMG
25	13665 33123	   	182.71	ACR|5VULN|2DMG	1467aVULN|2RMIN|3RCR|4aBPWR|5VENICY|8aFEWX|9aDMG
26	16226 41233	 * 	182.57	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	18VULN|2CDMG|3TLV|4ASPD|5ZMB|6DMG|7AART|9FLTHEA|aRCR
27	13624 12116	 * 	182.24	ACR|4VULN|2AART|1CDMG	1589VULN|2RMIN|3RCR|4BELT|6CDMG|7aAART
28	46523 11213	 * 	182.12	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	1BEXP|29CDMG|3MLV|4ASPD|59DMG|6CGEN|7AART|89VULN|9BPWR|aRCR
29	46623 11213	   	182.02	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	1BEXP|29CDMG|3ERES|4ASPD|59DMG|6CGEN|7AART|89VULN|9BPWR|aRCR
