0	Index      	 *	Score 	Summary	Detail	
1	32213 36143	 * 	193.42	DCR|3DMG|2VULN|3ASPD|1CDMG|1DUR	129DMG|29BPWR|3DUR|49aASPD|5ERES|6CDMG|7RCR|89VULN
2	33444 12332	 * 	192.79	DCR|4VULN|2DMG|1CDMG|2DUR|1ASPD	18DMG|2368VULN|4LWND|5ASPD|78DUR|8BPWR|9CDMG|aRCR
3	36113 36141	 * 	192.40	DCR|3VULN|2DMG|2ASPD|1CDMG|2DUR	19DMG|23DUR|49ASPD|5ERES|6CDMG|7RCR|89aVULN|9BPWR
4	36532 32335	 * 	191.69	DCR|3DMG|1AART|1VULN|2CDMG|3DUR	134DMG|246DUR|46BPWR|56CDMG|7AART|8FEWX|9RCR|aVULN
5	33413 33121	 * 	189.17	DCR|4VULN|2DMG|2CDMG|1ASPD	17DMG|237aVULN|4ASPD|5ERES|67CDMG|7BPWR|8BEXP|9RCR
6	33413 33521	   	189.07	DCR|4VULN|2DMG|2CDMG|1ASPD	17DMG|237aVULN|4ASPD|5ERES|67CDMG|7BPWR|8DUST|9RCR
7	33152 16512	 * 	188.32	DCR|3VULN|3DMG|2CDMG|1DUR	158DMG|268VULN|3DUR|45TLV|58BPWR|78CDMG|9CGEN|aRCR
8	33261 23136	 * 	188.00	DCR|2VULN|2AART|2DMG|1ZMB|1DUR	14DMG|27VULN|3BELT|5aAART|6DUR|8ZMB|9RCR
9	32213 36112	   	187.10	DCR|3DMG|2VULN|2ASPD|1CDMG|1DUR	12aDMG|2aBPWR|3DUR|4aASPD|5ERES|6CDMG|7RCR|8aVULN|9RMIN
10	32213 36142	   	187.10	DCR|3DMG|2VULN|2ASPD|1CDMG|1DUR	129DMG|29BPWR|3DUR|49ASPD|5ERES|6CDMG|7RCR|89VULN|aRMIN
11	32213 36145	   	187.10	DCR|3DMG|2VULN|2ASPD|1CDMG|1DUR	129DMG|29BPWR|3DUR|49ASPD|5ERES|6CDMG|7RCR|89VULN|aFEWX
12	36513 36112	   	187.10	DCR|3DMG|2VULN|2ASPD|1CDMG|1DUR	13aDMG|2DUR|4aASPD|5ERES|6CDMG|7RCR|8aVULN|9RMIN|aBPWR
13	31213 36141	   	187.10	DCR|3VULN|2DMG|2ASPD|1CDMG|1DUR	19DMG|2DMSP|3DUR|49ASPD|5ERES|6CDMG|7RCR|89aVULN|9BPWR
14	32213 36132	   	187.00	DCR|3DMG|2VULN|2ASPD|1CDMG|1DUR	12aDMG|2aBPWR|3DUR|4aASPD|5ERES|6CDMG|7RCR|8aVULN|9NUKE
15	32213 36141	   	187.00	DCR|3DMG|2VULN|2ASPD|1CDMG|1DUR	129DMG|29BPWR|3DUR|49ASPD|5ERES|6CDMG|7RCR|89VULN|aDUST
16	32213 36144	   	187.00	DCR|3DMG|2VULN|2ASPD|1CDMG|1DUR	129DMG|29BPWR|3DUR|49ASPD|5aERES|6CDMG|7RCR|89VULN
17	36513 36132	   	187.00	DCR|3DMG|2VULN|2ASPD|1CDMG|1DUR	13aDMG|2DUR|4aASPD|5ERES|6CDMG|7RCR|8aVULN|9NUKE|aBPWR
18	32413 36143	   	186.48	DCR|3DMG|2VULN|3ASPD|1CDMG	129DMG|29BPWR|3LWND|49aASPD|5ERES|6CDMG|7RCR|89VULN
19	33422 65221	 * 	185.54	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1aDMG|23VULN|4DUR|5LIT|6AART|7ASPD|8CDMG|9RCR
20	33423 32341	   	185.35	DCR|4VULN|2DMG|1CDMG|1DUR	19DMG|239aVULN|4DUR|5RMIN|6CDMG|79CGEN|8RCR|9BPWR
21	33423 31341	   	185.15	DCR|4VULN|2DMG|1CDMG|1DUR	19DMG|239aVULN|4DUR|5RMIN|6CDMG|79ERES|8RCR|9BPWR
22	33424 33221	   	184.94	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1aDMG|23VULN|4DUR|5ASPD|6CDMG|7AART|8LIT|9RCR
23	33261 23636	   	183.94	DCR|2VULN|2AART|2DMG|1ASPD|1DUR	14DMG|27VULN|3BELT|5aAART|6DUR|8ASPD|9RCR
24	33261 14133	   	183.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|27VULN|3BELT|5AART|6BEXP|8ZMB|9RCR|aCDMG
