0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32331 13242	7	 * 	290.74	DCR|4VULN|3DMG|1TLV|2ASPD	138aVULN|2aASPD|4ERES|5TLV|67aDMG|9RCR|aBPWR
2	32333 63442	8	 * 	290.51	DCR|5VULN|3DMG|3ASPD	1358aVULN|28aASPD|4ERES|6MLV|78aDMG|8aBPWR|9RCR
3	31242 33255	6	 * 	289.40	DCR|3VULN|2DUR|1TLV|1DMG|2LIT|1CDMG|1AART	18aVULN|2AART|3DMG|4aLIT|5TLV|6RCR|7CDMG|9aDUR|aBPWR
4	52324 17741	7	 * 	286.80	DCR|5VULN|3DMG|3LIT	1RMIN|23589VULN|4MBVNT|689DMG|789LIT|89BPWR|aRCR
5	34214 53212	7	 * 	283.37	DCR|4VULN|2DMG|2TLV|1DUR	159aVULN|2LHND|39TLV|4DUR|6CGEN|79DMG|8RCR|9BPWR
6	52331 13451	9	 * 	282.67	DCR|4VULN|3DMG|2TLV	1RMIN|238aVULN|4ERES|58TLV|678DMG|8BPWR|9RCR
7	32331 31242	6	 * 	282.52	DCR|4VULN|2DMG|1TLV|3ASPD	138aVULN|26aASPD|4ERES|5TLV|7aDMG|9RCR|aBPWR
8	32331 32242	8	   	282.52	DCR|4VULN|2DMG|1TLV|3ASPD	137aVULN|26aASPD|4ERES|5TLV|8aDMG|9RCR|aBPWR
9	32331 33242	7	   	282.52	DCR|4VULN|2DMG|1TLV|3ASPD	138aVULN|26aASPD|4ERES|5TLV|7aDMG|9RCR|aBPWR
10	34214 13432	6	 * 	281.84	DCR|4VULN|3DUR|2TLV	1578VULN|2LHND|38TLV|468DUR|8BPWR|9LIT|aRCR
11	34134 33432	1	 * 	278.87	DCR|5VULN|2DUR|1TLV	12358VULN|4TLV|68DUR|78LHND|8BPWR|9LIT|aRCR
12	36134 33432	1	   	278.87	DCR|5VULN|2DUR|1TLV	12358VULN|28BPWR|4TLV|68DUR|78LHND|9LIT|aRCR
13	31213 11261	6	 * 	278.29	DCR|3VULN|2DMG|2DUR|1TLV|1AART	17aVULN|2AART|39DMG|48DUR|5TLV|6RCR
14	31213 24261	5	   	278.29	DCR|3VULN|2DMG|2DUR|1TLV|1AART	16aVULN|2AART|39DMG|48DUR|5TLV|7RCR
15	31252 36432	6	   	278.16	DCR|3VULN|3DMG|1TLV|2LIT|1AART	17aVULN|2AART|347DMG|57LIT|6RCR|7BPWR|8RCVC|9TLV
16	34214 53211	7	 * 	276.90	DCR|3VULN|2DMG|2TLV|2DUR	159VULN|2LHND|39TLV|4aDUR|6CGEN|79DMG|8RCR|9BPWR
17	42161 23533	2	 * 	276.70	DCR|4VULN|3DUR|2DMG	128DUR|3578VULN|4MBVNT|68DMG|8BPWR|9TBNT|aRCR
18	42321 23533	2	   	276.70	DCR|4VULN|3DUR|2DMG	128DUR|3MBVNT|4578VULN|68DMG|8BPWR|9TBNT|aRCR
19	45421 23533	1	   	276.70	DCR|4VULN|3DUR|2DMG	138DUR|2MBVNT|4578VULN|68DMG|8BPWR|9TBNT|aRCR
20	31242 22542	5	   	275.75	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19VULN|2AART|39DMG|4LIT|5TLV|6RMIN|7RCR|89DUR|9BPWR|aCDMG
21	31242 33142	8	   	275.75	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19VULN|2AART|39DMG|4LIT|5TLV|6RCR|7RMIN|89DUR|9BPWR|aCDMG
22	31242 33542	7	   	275.75	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19VULN|2AART|39DMG|4LIT|5TLV|6RCR|7RMIN|89DUR|9BPWR|aCDMG
23	31242 43142	7	   	275.75	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19VULN|2AART|39DMG|4LIT|5TLV|69DUR|7RCR|8RMIN|9BPWR|aCDMG
24	32342 63253	7	 * 	275.46	DCR|4VULN|3DUR|3LIT|2ASPD	1378VULN|28ASPD|478LIT|567DUR|78BPWR|9RCVC|aRCR
25	32233 23441	8	   	275.19	DCR|4VULN|2DMG|1TLV|2ASPD	1458VULN|28ASPD|3aCGEN|6TLV|78DMG|8BPWR|9RCR
26	32233 23444	8	   	275.19	DCR|4VULN|2DMG|1TLV|2ASPD	1458VULN|28ASPD|3CGEN|6TLV|78DMG|8BPWR|9RCR|aMLV
27	32233 23445	8	   	275.19	DCR|4VULN|2DMG|1TLV|2ASPD	1458VULN|28ASPD|3CGEN|6TLV|78DMG|8BPWR|9RCR|aBEXP
28	32233 23446	8	   	275.19	DCR|4VULN|2DMG|1TLV|2ASPD	1458VULN|28ASPD|3CGEN|6TLV|78DMG|8BPWR|9RCR|aZMB
29	32233 23442	8	   	275.09	DCR|4VULN|2DMG|1TLV|2ASPD	1458VULN|28ASPD|3CGEN|6TLV|78DMG|8BPWR|9RCR|aDUST
30	32233 23443	8	   	275.09	DCR|4VULN|2DMG|1TLV|2ASPD	1458VULN|28ASPD|3CGEN|6TLV|78DMG|8BPWR|9RCR|aBBNT
31	32331 15242	6	   	274.99	DCR|4VULN|2DMG|1TLV|2ASPD	138aVULN|2aASPD|47ERES|5TLV|6aDMG|9RCR|aBPWR
32	31213 11241	6	   	274.35	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG|1AART	17aVULN|2AART|3DMG|48DUR|5TLV|6RCR|9CDMG
33	31213 24241	5	   	274.35	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG|1AART	16aVULN|2AART|3DMG|48DUR|5TLV|7RCR|9CDMG
34	45311 24212	3	 * 	272.19	DCR|4VULN|2DUR|1TLV|1DMG	19DUR|2ERES|359aVULN|4TLV|6DMG|79LHND|8RCR|9BPWR
35	13111 61632	3	   	272.17	DCR|4VULN|3DMG|3ASPD	1RPLT|258DMG|3DMSP|458ASPD|58BPWR|6RCR|789aVULN
36	13311 61632	3	   	272.17	DCR|4VULN|3DMG|3ASPD	1RPLT|258DMG|3RCVC|458ASPD|58BPWR|6RCR|789aVULN
37	13611 61632	3	   	272.17	DCR|4VULN|3DMG|3ASPD	13RPLT|258DMG|458ASPD|58BPWR|6RCR|789aVULN
38	31252 33513	8	 * 	272.15	DCR|3VULN|2DMG|2DUR|3LIT|1AART	19aVULN|2AART|34DMG|589LIT|6RCR|79DUR|9BPWR
39	31235 42311	5	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	178VULN|2AART|38DMG|4RPLT|58TLV|6BELT|8BPWR|9RCR|aDUR
40	31155 42311	4	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	178VULN|2AART|38TLV|48DMG|5RPLT|6BELT|8BPWR|9RCR|aDUR
41	31235 35214	10	   	271.88	DCR|3VULN|2DMG|2TLV|1DUR|1AART	179VULN|2AART|39DMG|4RPLT|59TLV|6DLOT|8RCR|9BPWR|aDUR
42	31246 33234	10	   	271.81	DCR|3VULN|2DMG|2TLV|2AART	18aVULN|29AART|38DMG|4LIT|5BEXP|68TLV|7RCR|8BPWR
43	31235 42315	5	   	271.38	DCR|3VULN|3DMG|2TLV|1AART	178VULN|2AART|38aDMG|4RPLT|58TLV|6BELT|8BPWR|9RCR
44	31242 31228	8	   	270.49	DCR|3VULN|2DMG|2TLV|2LIT|1AART	18aVULN|2AART|39DMG|48LIT|58TLV|6RCR|7MBVNT|8BPWR
