0	Index      	Bounty	 *	Score 	Summary	Detail	
21	18436 74142	3	 * 	272.71	橙2易伤2等级2伤害2时间	1加一27伤害37时间48等级5金币生成67易伤7序列升级9全技能a核
22	18444 74142	5	   	272.71	橙2易伤2等级2伤害2时间	1加一27伤害37时间4金币生成58等级67易伤7序列升级9全技能a核
23	18321 27713	7	   	272.42	橙2易伤3伤害2等级1时间	1加一23a伤害4雷电5a等级6时间7低血量敌人8核9a易伤a序列升级
24	41211 65321	8	   	272.00	橙3易伤3时间2伤害2攻速	1随机矿279易伤39a时间47攻速57伤害6核79序列升级89掉矿
25	34126 34231	7	 * 	271.84	橙4易伤2时间1等级1伤害1卖塔	1卖塔2伤害3等级46时间5789易伤a核
26	41221 65321	8	   	271.83	橙3易伤3伤害2时间1暴击1核弹	1随机矿279易伤37时间4核弹579伤害6核79序列升级89掉矿a暴击
27	34122 42226	7	   	271.63	橙2易伤2等级2伤害1时间1暴击1卖塔	1卖塔29伤害39等级4时间5暴击6平台79易伤8全技能9序列升级a核
28	18332 44128	4	   	271.60	橙3易伤3伤害3时间	1加一239伤害46a金币生成59a时间7核89a易伤9a序列升级
29	18334 44128	5	   	271.60	橙3易伤3伤害3时间	1加一239伤害46a金币生成59a时间7核89a易伤9a序列升级
30	18334 74128	6	   	271.60	橙3易伤3伤害3时间	1加一239伤害46a金币生成59a时间7核89a易伤9a序列升级
31	18443 84128	3	   	271.60	橙3易伤3伤害3时间	1加一269伤害34a时间59a金币生成7核89a易伤9a序列升级
32	18712 44126	4	   	271.60	橙3易伤3伤害3时间	1加一29a伤害346金币生成59a时间7核89a易伤9a序列升级
33	18714 44126	5	   	271.60	橙3易伤3伤害3时间	1加一29a伤害346金币生成59a时间7核89a易伤9a序列升级
34	18742 44126	3	   	271.60	橙3易伤3伤害3时间	1加一29a伤害346金币生成59a时间7核89a易伤9a序列升级
35	18832 44126	4	   	271.60	橙3易伤3伤害3时间	1加一29a伤害3立即金币46金币生成59a时间7核89a易伤9a序列升级
36	18834 44126	5	   	271.60	橙3易伤3伤害3时间	1加一29a伤害3立即金币46金币生成59a时间7核89a易伤9a序列升级
37	18472 12144	4	   	271.50	橙3易伤3伤害3时间	1加一278伤害367时间4平台578易伤78序列升级9核a金币生成
38	18472 12146	4	   	271.50	橙3易伤3伤害3时间	1加一278伤害367时间4平台578易伤78序列升级9核a敌人爆炸
39	18472 12147	4	   	271.50	橙3易伤3伤害3时间	1加一278伤害367时间4平台578易伤78序列升级9核a立即金币
40	18472 12143	4	   	271.40	橙3易伤3伤害3时间	1加一278伤害367时间4平台578易伤78序列升级9核a挖尘
41	18152 44128	3	   	271.40	橙3易伤3伤害3时间	1加一269伤害3a掉矿4立即金币59a时间7核89a易伤9a序列升级
42	18372 38231	7	   	271.40	橙3易伤3伤害3时间	1加一237伤害467时间579易伤7序列升级8核a敌人爆炸
43	18812 44128	3	   	271.40	橙3易伤3伤害3时间	1加一269伤害3立即金币4a掉矿59a时间7核89a易伤9a序列升级
44	18152 24126	3	   	271.40	橙3易伤3伤害3时间	1加一29a伤害36掉矿4立即金币59a时间7核89a易伤9a序列升级
45	18812 24126	3	   	271.40	橙3易伤3伤害3时间	1加一29a伤害3立即金币46掉矿59a时间7核89a易伤9a序列升级
46	18182 44128	3	   	271.30	橙3易伤3伤害3时间	1加一269伤害34a掉矿59a时间7核89a易伤9a序列升级
47	18312 24128	3	   	271.30	橙3易伤3伤害3时间	1加一239伤害46a掉矿59a时间7核89a易伤9a序列升级
48	18372 38223	7	   	271.30	橙3易伤3伤害3时间	1加一237伤害467时间57a易伤7序列升级8核9掉矿
49	18441 44128	3	   	271.30	橙3易伤3伤害3时间	1加一269伤害34a时间59a掉矿7核89a易伤9a序列升级
50	62251 32133	1	   	270.80	橙3易伤3时间2伤害2雷电	18基地爆炸248易伤34雷电48序列升级56伤害789时间a核
51	62251 32133	2	   	270.80	橙3易伤3时间2伤害2雷电	18基地爆炸248易伤34雷电48序列升级56伤害789时间a核
52	18484 38243	10	   	269.40	橙3易伤3时间2伤害1暴击	1加一27伤害367时间457易伤7序列升级8最后敌人9核a暴击
53	33522 52433	10	 * 	268.86	橙3易伤2时间1等级2暴击1卖塔	1卖塔2全技能38时间4等级58a易伤68暴击7核8序列升级9雷电
54	17816 23222	8	 * 	268.84	橙3易伤2等级1伤害2暴击	1加一29a易伤3全技能49暴击5伤害6核7掉矿89等级9序列升级
55	17221 26373	7	   	268.62	橙3易伤2伤害2时间1等级1核弹	1加一279易伤3金币生成4核弹57伤害67时间7序列升级8核a等级
56	33522 52421	9	 * 	268.32	橙3易伤2时间1等级2暴击2全技能1卖塔	1卖塔2a全技能38时间4等级589易伤68暴击7核8序列升级
57	33522 52421	8	 * 	268.32	橙3易伤2时间1等级2暴击2全技能1卖塔	1卖塔2a全技能38时间4等级589易伤68暴击7核8序列升级
58	15334 78411	7	   	268.31	橙2易伤3伤害1等级2攻速1暴击	1加一2a攻速36a伤害4暴击5等级7核8全技能9a易伤a序列升级
59	14863 74143	1	   	268.30	橙3易伤3伤害1等级2雷电	1加一28雷电378伤害458易伤6核8序列升级9赏金邻近a等级
60	17253 74143	2	   	268.30	橙3易伤3伤害1等级2雷电	1加一258易伤38雷电478伤害6核8序列升级9赏金邻近a等级
61	18324 72413	4	   	267.99	橙2易伤3伤害2时间1等级	1加一23a伤害4雷电5a时间6核7低血量敌人8等级9a易伤a序列升级
62	18344 72413	3	   	267.99	橙2易伤3伤害2时间1等级	1加一23a伤害4雷电5a时间6核7低血量敌人8等级9a易伤a序列升级
63	15612 38243	7	 * 	267.88	橙3易伤3时间1等级3攻速	1加一247攻速367时间57a易伤7序列升级8核9等级
64	17248 31541	9	   	267.84	橙3易伤3伤害2时间	1加一268易伤3金币生成4全技能589伤害78时间8序列升级a核
65	33543 24321	10	   	267.69	橙3易伤3伤害2时间1卖塔	1卖塔2全技能38时间458易伤678伤害8序列升级9核a低血量敌人
66	33543 24321	9	   	267.69	橙3易伤3伤害2时间1卖塔	1卖塔2全技能38时间458易伤678伤害8序列升级9核a金币生成
67	33543 24322	10	   	267.69	橙3易伤3伤害2时间1卖塔	1卖塔2全技能38时间458易伤678伤害8序列升级9核a随机矿
68	33543 24323	9	   	267.69	橙3易伤3伤害2时间1卖塔	1卖塔2全技能38时间458易伤678伤害8序列升级9核a敌人爆炸
