0	Index      	 *	Score 	Summary	Detail	
1	32524 33621	 * 	218.28	ACR|3VULN|3DMG|3ZMB|2ASPD	1RCR|236ZMB|45aDMG|7aASPD|89aVULN|aBPWR
2	32633 16134	 * 	216.44	ACR|3AART|2VULN|2DMG|3ZMB	1RCR|25aZMB|379AART|4aDMG|6aVULN|8DLOT|aBPWR
3	31144 51112	 * 	215.44	ACR|4VULN|3DMG|1AART	1RCR|28aCGEN|3DUST|48aDMG|589aVULN|6MBVNT|7AART|8aBPWR
4	31638 51112	   	215.44	ACR|4VULN|3DMG|1AART	1RCR|28aCGEN|3MBVNT|4DUST|589aVULN|68aDMG|7AART|8aBPWR
5	32632 53113	   	213.17	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG|2DUR	1RCR|28ZMB|3AART|48DMG|5LWND|69VULN|78DUR|8BPWR|aCDMG
6	32631 53113	   	213.07	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG|2DUR	1RCR|28ZMB|3AART|48DMG|5DUST|69VULN|78DUR|8BPWR|aCDMG
7	32632 53116	   	210.97	ACR|2AART|2DMG|2VULN|2ZMB|2DUR	1RCR|28ZMB|3aAART|48DMG|5LWND|69VULN|78DUR|8BPWR
8	32631 53116	   	210.87	ACR|2AART|2VULN|2DMG|2ZMB|2DUR	1RCR|28ZMB|3aAART|48DMG|5DUST|69VULN|78DUR|8BPWR
9	32633 16322	 * 	210.33	ACR|3VULN|2AART|3ZMB|1DMG	1RCR|25aZMB|37AART|4DMG|68aVULN|9aCGEN|aBPWR
10	32625 11432	   	209.04	ACR|3VULN|2AART|1DMG|2ZMB|2DUR	1RCR|28ZMB|39AART|4FEWX|578VULN|68DUR|8BPWR|aDMG
11	32633 16343	   	208.13	ACR|2AART|2VULN|3ZMB|1DMG|1CDMG	1RCR|259ZMB|37AART|4DMG|68VULN|aCDMG
12	32434 51112	 * 	206.58	ACR|4VULN|3ZMB|1AART|3DUR	1RCR|28aZMB|3ERES|48aDUR|589aVULN|6MBVNT|7AART|8aBPWR
13	34615 33132	 * 	206.53	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	1RCR|2RMIN|3AART|4aDUR|57VULN|6aCDMG|8RCVC|9aDMG|aBPWR
14	32524 12363	   	206.23	ACR|3VULN|3DMG|3ZMB	1RCR|23aZMB|45aDMG|67aVULN|8LEGI|9RCVC|aBPWR
15	32524 12162	   	204.73	ACR|3VULN|3DMG|3ZMB	1RCR|239ZMB|459DMG|679VULN|8DMSP|9BPWR|aLWND
16	32524 12161	   	204.63	ACR|3VULN|3DMG|3ZMB	1RCR|239ZMB|459DMG|679VULN|8DMSP|9BPWR|aMBVNT
17	32524 33521	   	204.53	ACR|3DMG|2VULN|3ZMB|2ASPD	1RCR|236ZMB|45aDMG|7aASPD|8RCVC|9aVULN|aBPWR
18	32625 53132	   	202.84	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|2aZMB|3AART|4aFEWX|57VULN|6CDMG|8RCVC|9aDMG|aBPWR
19	32524 33321	   	202.62	ACR|3DMG|2VULN|3ZMB|2ASPD	1RCR|236ZMB|45aDMG|7aASPD|8DMSP|9aVULN|aBPWR
20	35245 22312	   	201.14	ACR|3DMG|3VULN|1AART	1RCR|2aLHND|3ERES|45aDMG|69aVULN|7AART|8LEGI|aBPWR
21	32631 55113	   	200.84	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|28ZMB|3AART|48DMG|5DUST|69VULN|78LWND|8BPWR|aCDMG
22	32631 56113	   	200.84	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|28ZMB|3AART|48DMG|5DUST|69VULN|78LHND|8BPWR|aCDMG
