0	Index      	 *	Score 	Summary	Detail	
1	44221 24313	 * 	183.87	DCR|3DMG|2VULN|1AART|1ZMB	17VULN|2LEGI|3AART|456DMG|7BPWR|8DUST|9ZMB|aRCR
2	43221 32535	 * 	178.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|9ZMB|aDUR
3	43221 32145	 * 	178.26	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2CGEN|3AART|4BEXP|59DMG|6CDMG|7RCR|8BELT
4	43221 32551	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2aCGEN|3AART|4BEXP|58DMG|6CDMG|7RCR
5	43221 32552	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|aRMIN
6	43221 32553	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2CGEN|3AART|4BEXP|58DMG|6CDMG|7RCR|aLWND
7	43231 32145	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2CGEN|3AART|4FEWX|59DMG|6CDMG|7RCR|8BELT
8	43231 32551	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2aCGEN|3AART|4FEWX|58DMG|6CDMG|7RCR
9	43231 32552	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2CGEN|3AART|4FEWX|58DMG|6CDMG|7RCR|aRMIN
10	43231 32553	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2CGEN|3AART|4FEWX|58DMG|6CDMG|7RCR|aLWND
11	43221 32155	 * 	176.33	DCR|3VULN|1AART|1DMG|1CDMG	19aVULN|2CGEN|3AART|4BEXP|5DMG|6CDMG|7RCR|8BELT
12	43231 32155	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	19aVULN|2CGEN|3AART|4FEWX|5DMG|6CDMG|7RCR|8BELT
13	44221 23346	 * 	175.87	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1VULN|2LEGI|3AART|456DMG|7ASPD|8MBVNT|9CDMG|aRCR
14	43253 21335	   	175.37	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	16VULN|2CGEN|3AART|4SELL|5BELT|7RCR|8ZMB|9aDMG
15	51243 12223	 * 	174.66	DCR|3VULN|2DMG|2ZMB|1DUR	19ZMB|2TLV|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aDUR
16	51243 12227	   	174.66	DCR|3VULN|2DMG|2ZMB|1ASPD	19ZMB|2TLV|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aASPD
17	53243 22223	   	174.66	DCR|3VULN|2DMG|2ZMB|1DUR	19ZMB|2ERES|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aDUR
18	53243 22227	   	174.66	DCR|3VULN|2DMG|2ZMB|1ASPD	19ZMB|2ERES|3BELT|49DMG|569VULN|7RCR|8MBVNT|9BPWR|aASPD
19	43221 32662	 * 	174.43	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	19VULN|2CGEN|3AART|49aBEXP|5DMG|6CDMG|7RCR|89ASPD|9BPWR
20	43221 32663	   	174.43	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	19VULN|2CGEN|3AART|49BEXP|5DMG|6CDMG|7RCR|89ASPD|9BPWR|aMLV
21	43231 32662	   	174.43	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	19VULN|2CGEN|3AART|49FEWX|5DMG|6CDMG|7RCR|89ASPD|9BPWR|aBEXP
22	43231 32663	   	174.43	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	19VULN|2aCGEN|3AART|49FEWX|5DMG|6CDMG|7RCR|89ASPD|9BPWR
23	43221 32661	   	174.33	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	19VULN|2CGEN|3AART|49BEXP|5DMG|6CDMG|7RCR|89ASPD|9BPWR|aDLOT
24	43231 32661	   	174.33	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	19VULN|2CGEN|3AART|49FEWX|5DMG|6CDMG|7RCR|89ASPD|9BPWR|aDLOT
25	43241 32363	 * 	174.23	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1VULN|2CGEN|3AART|4DUST|5aDMG|6CDMG|7RCR|8FEWX|9FLTHEA
26	44223 32363	   	174.23	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1VULN|2LEGI|3AART|4aDMG|5CGEN|6CDMG|7RCR|8FEWX|9FLTHEA
27	52166 32133	 * 	173.83	DCR|1AART|1VULN|1DMG|3DUR|2ZMB|1CDMG|1ASPD	13ZMB|235DUR|3BPWR|4CDMG|6DMG|7AART|8ASPD|9RCR|aVULN
28	44221 23153	 * 	173.77	DCR|3DMG|2AART|1VULN|1ASPD	1VULN|2LEGI|39AART|456DMG|7ASPD|8FEWX|aRCR
29	44221 23253	   	173.77	DCR|3DMG|2AART|1VULN|1ASPD	1VULN|2LEGI|39AART|456DMG|7ASPD|8BEXP|aRCR
30	43253 21241	   	173.44	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	168VULN|2CGEN|3AART|4SELL|5BELT|7RCR|9DMG|aZMB
31	43253 21631	   	173.44	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	169VULN|2CGEN|3AART|4SELL|5BELT|7RCR|8DMG|aZMB
32	43231 23416	   	173.42	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1VULN|2CGEN|3AART|4FEWX|568DMG|7ASPD|9ZMB|aRCR
33	43221 22243	   	173.07	DCR|3DMG|2VULN|1AART	18VULN|2CGEN|3AART|4BEXP|569DMG|7FEWX|aRCR
34	43221 21243	   	172.97	DCR|3DMG|2VULN|1AART	18VULN|2CGEN|3AART|4BEXP|569DMG|7DUST|aRCR
35	43231 21243	   	172.97	DCR|3DMG|2VULN|1AART	18VULN|2CGEN|3AART|4FEWX|569DMG|7DUST|aRCR
36	46231 22243	   	172.97	DCR|3DMG|2VULN|1AART	18VULN|2ERES|3AART|4BEXP|569DMG|7FEWX|aRCR
37	46231 21243	   	172.87	DCR|3DMG|2VULN|1AART	18VULN|2ERES|3AART|4BEXP|569DMG|7DUST|aRCR
38	43315 21343	 * 	172.85	3VULN|3DMG|2AART|3ZMB	18aVULN|2CGEN|38aZMB|48aDMG|5RPLT|6RCVC|79AART|8aBPWR
39	43221 32256	 * 	172.12	DCR|2AART|2VULN|1DMG|1CDMG	19VULN|2CGEN|3aAART|4BEXP|5DMG|6CDMG|7RCR|8RCVC
40	44223 32142	 * 	172.02	DCR|2AART|2DMG|1VULN|1CDMG	1VULN|2LEGI|3aAART|49DMG|5CGEN|6CDMG|7RCR|8BELT
41	44223 32152	   	172.02	DCR|2AART|2VULN|1DMG|1CDMG	19VULN|2LEGI|3aAART|4DMG|5CGEN|6CDMG|7RCR|8BELT
