0	Index      	 *	Score 	Summary	Detail	
1	24126 51132	 * 	196.04	DCR|5VULN|2DMG|1CDMG	1279aVULN|39CGEN|4FEWX|5CDMG|6RCR|89DMG|9BPWR
2	24533 42122	 * 	193.10	ACR|4VULN|1DMG|2CDMG|2DUR|1ZMB	1256VULN|36DUR|4RCR|6BPWR|7ZMB|89CDMG|aDMG
3	24533 42112	 * 	189.92	ACR|4VULN|1AART|1CDMG|2DUR|1ZMB	1256VULN|36DUR|4RCR|6BPWR|7ZMB|8CDMG|9BELT|aAART
4	53613 53231	 * 	189.69	ACR|5VULN|3ASPD|1DMG	1RCR|29ERES|35679VULN|489ASPD|9BPWR|aDMG
5	24126 52132	 * 	189.53	DCR|4VULN|2DMG|2CDMG	129aVULN|39CGEN|4FEWX|57CDMG|6RCR|89DMG|9BPWR
6	52324 11522	 * 	188.20	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2RCVC|38LIT|47VULN|58DMG|68CDMG|8BPWR|9LWND|aAART
7	51613 63133	 * 	187.34	ACR|3VULN|2DMG|2CDMG|1ASPD|1SELL	1RCR|2aCDMG|37RPLT|4ASPD|56aVULN|8aDMG|9SELL|aBPWR
8	23433 53222	   	187.18	ACR|5VULN|1DMG|2ASPD|1ZMB	15679VULN|2ZMB|39ERES|4RCR|89ASPD|9BPWR|aDMG
9	53633 61231	   	186.99	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2aERES|3589VULN|4ZMB|6AART|7CDMG
10	53633 61232	   	186.99	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2ERES|3589VULN|4ZMB|6AART|7CDMG|aDUST
11	53633 61233	   	186.99	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2ERES|3589VULN|4ZMB|6AART|7CDMG|aLEGI
12	52324 11533	 * 	186.89	ACR|3DMG|2VULN|3CDMG	1RCR|29RCVC|38aLIT|47VULN|58aDMG|68aCDMG|8aBPWR
13	24533 42111	   	186.78	ACR|4VULN|1DMG|1CDMG|2DUR|1ZMB	1256VULN|36DUR|4RCR|6BPWR|7ZMB|8CDMG|9BELT|aDMG
14	51632 53231	 * 	186.69	ACR|3VULN|2DMG|3CDMG	1RCR|259CDMG|3RPLT|4RMIN|59BPWR|6BEXP|79aVULN|89DMG
15	51351 16123	   	186.29	ACR|3VULN|1DMG|2CDMG|2DUR|1ZMB	1RCR|27CDMG|37DUR|4ZMB|5FEWX|679VULN|7BPWR|8DMG|aBEXP
16	51351 16121	   	186.19	ACR|3VULN|1DMG|2CDMG|2DUR|1ZMB	1RCR|27CDMG|37DUR|4ZMB|5FEWX|679VULN|7BPWR|8DMG|aERES
17	51351 16122	   	186.19	ACR|3VULN|1DMG|2CDMG|2DUR|1ZMB	1RCR|27CDMG|37DUR|4ZMB|5FEWX|679VULN|7BPWR|8DMG|aAIRHEL
18	24533 43112	   	185.86	ACR|4VULN|1AART|1CDMG|2DUR|1ASPD	1256VULN|36DUR|4RCR|6BPWR|7CDMG|8ASPD|9BELT|aAART
19	51342 16211	 * 	184.45	ACR|3VULN|1AART|2CDMG|3DUR	1RCR|29CDMG|348DUR|59TLV|6AART|79aVULN|9BPWR
20	24126 51131	   	183.22	DCR|4VULN|2DMG|1CDMG	1279VULN|39CGEN|4FEWX|5CDMG|6RCR|89DMG|9BPWR|aLWND
21	24126 51133	   	183.12	DCR|4VULN|2DMG|1CDMG	1279VULN|39CGEN|4FEWX|5CDMG|6RCR|89DMG|9BPWR|aTLV
22	21226 51132	   	183.02	DCR|4VULN|2DMG|1CDMG	179aVULN|29TLV|3RCVC|4FEWX|5CDMG|6RCR|89DMG|9BPWR
23	53613 61231	   	182.93	ACR|4VULN|1AART|1CDMG|1ASPD	1RCR|2aERES|3589VULN|4ASPD|6AART|7CDMG
24	53613 61232	   	182.93	ACR|4VULN|1AART|1CDMG|1ASPD	1RCR|2ERES|3589VULN|4ASPD|6AART|7CDMG|aDUST
25	53613 61233	   	182.93	ACR|4VULN|1AART|1CDMG|1ASPD	1RCR|2ERES|3589VULN|4ASPD|6AART|7CDMG|aLEGI
26	24533 43111	   	182.72	ACR|4VULN|1DMG|1CDMG|2DUR|1ASPD	1256VULN|36DUR|4RCR|6BPWR|7CDMG|8ASPD|9BELT|aDMG
27	24533 43322	   	182.09	ACR|4VULN|1DMG|2CDMG|2DUR	1256VULN|36DUR|4RCR|6BPWR|79CDMG|8RMIN|aDMG
28	51462 31133	   	181.94	ACR|2VULN|2DMG|3CDMG|1ZMB	1RCR|249CDMG|39FEWX|5TLV|67VULN|89DMG|9BPWR|aZMB
29	52314 12141	   	181.61	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RCR|2RCVC|37LIT|4LHND|57DMG|67CDMG|7BPWR|8ZMB|9VULN|aAART
30	23226 26132	 * 	181.57	DCR|3VULN|2DMG|2ZMB|1CDMG	19aVULN|29ZMB|3RCVC|4FEWX|5CDMG|6DMSP|7RCR|89DMG|9BPWR
31	24533 32531	   	181.39	ACR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1259VULN|3DUR|4RCR|6RCVC|7ZMB|8DMG|aCDMG
32	23433 43226	 * 	181.34	ACR|4VULN|1AART|2ZMB|2ASPD	1579VULN|26ZMB|369ERES|4RCR|69BPWR|89ASPD|aAART
33	23433 16432	 * 	180.97	ACR|3VULN|3ZMB|1AART|1CDMG	159VULN|289ZMB|3ERES|4RCR|6CDMG|79FEWX|9BPWR|aAART
34	53432 22332	 * 	180.84	ACR|2VULN|2DMG|2CDMG|3DUR	1RCR|235ERES|459DUR|5aBPWR|6aDMG|7aVULN|8aCDMG
35	24126 26132	   	180.82	DCR|4VULN|2DMG|1CDMG	129aVULN|39CGEN|4FEWX|5CDMG|6DMSP|7RCR|89DMG|9BPWR
36	51262 31152	   	180.25	ACR|3VULN|2DMG|2CDMG	1RCR|24CDMG|3DUST|5TLV|67aVULN|89DMG
37	11532 22634	 * 	179.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ERES|24DMG|3AART|5TLV|6DUR|7aVULN|8RCR|9ZMB
38	31523 41234	 * 	179.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2DMG|3AART|4ERES|589VULN|6ZMB|7CDMG|aRCR
39	23433 61234	   	179.89	ACR|4VULN|1AART|1CDMG|1ZMB	1589VULN|2ZMB|3ERES|4RCR|6AART|7CDMG|aRMIN
40	23433 61235	   	179.89	ACR|4VULN|1AART|1CDMG|1ZMB	1589VULN|2ZMB|3ERES|4RCR|6AART|7CDMG|aFEWX
41	23433 61236	   	179.89	ACR|4VULN|1AART|1CDMG|1ZMB	1589VULN|2ZMB|3ERES|4RCR|6AART|7CDMG|aCGEN
42	11532 22462	 * 	179.81	DCR|3DMG|2VULN|1AART|1DUR	1ERES|248DMG|3AART|5TLV|6DUR|79VULN|aRCR
43	23433 61231	   	179.79	ACR|4VULN|1AART|1CDMG|1ZMB	1589VULN|2ZMB|3aERES|4RCR|6AART|7CDMG
44	23433 61232	   	179.79	ACR|4VULN|1AART|1CDMG|1ZMB	1589VULN|2ZMB|3ERES|4RCR|6AART|7CDMG|aDUST
45	23433 61233	   	179.79	ACR|4VULN|1AART|1CDMG|1ZMB	1589VULN|2ZMB|3ERES|4RCR|6AART|7CDMG|aLEGI
46	24533 42132	 * 	179.55	ACR|5VULN|1CDMG|2DUR|1ZMB	1256aVULN|36DUR|4RCR|6BPWR|7ZMB|8CDMG|9CGEN
47	24533 12161	 * 	179.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	125VULN|3DUR|4RCR|6CDMG|7CGEN|8DMG|9LIT|aAART
48	25633 26231	   	179.39	ACR|3VULN|2DMG|3CDMG	19aVULN|269CDMG|3RPLT|4RCR|5DUST|7CGEN|89DMG|9BPWR
49	25633 23231	   	179.29	ACR|3VULN|2DMG|3CDMG	19aVULN|269CDMG|3RPLT|4RCR|5DUST|7ERES|89DMG|9BPWR
50	25633 23234	   	179.29	ACR|3DMG|2VULN|3CDMG	19VULN|269CDMG|3RPLT|4RCR|5DUST|7ERES|89aDMG|9BPWR
51	25633 53231	   	179.29	ACR|3VULN|2DMG|3CDMG	19aVULN|279CDMG|3RPLT|4RCR|5DUST|6TLV|89DMG|9BPWR
52	53633 43223	 * 	178.97	ACR|4VULN|3ZMB|2ASPD	1RCR|29ERES|3567VULN|469ZMB|69BPWR|89ASPD|aCGEN
53	24533 43312	   	178.92	ACR|4VULN|1AART|1CDMG|2DUR	1256VULN|36DUR|4RCR|6BPWR|7CDMG|8RMIN|9BELT|aAART
54	53633 43222	   	178.87	ACR|4VULN|3ZMB|2ASPD	1RCR|29aERES|3567VULN|469ZMB|69BPWR|89ASPD
55	23634 32123	 * 	177.89	DCR|2VULN|2DMG|2ZMB|1FLTHEA|2DUR|1ASPD	18VULN|24ZMB|38DUR|5FLTHEA|6LIT|78DMG|8BPWR|9ASPD|aRCR
56	51462 31131	   	177.87	ACR|2VULN|2DMG|3CDMG|1ASPD	1RCR|249CDMG|39FEWX|5TLV|67VULN|89DMG|9BPWR|aASPD
57	23512 46232	 * 	177.63	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	156VULN|2ZMB|3LHND|46ASPD|6BPWR|7AART|8DUST|9DMG|aRCR
58	52314 12341	   	177.55	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	1RCR|2RCVC|37LIT|4LHND|57DMG|67CDMG|7BPWR|8ASPD|9VULN|aAART
59	23433 52226	   	177.39	ACR|4VULN|1AART|2ASPD|1ZMB	1569VULN|2ZMB|379ERES|4RCR|89ASPD|9BPWR|aAART
60	23433 11112	   	176.74	ACR|3VULN|1AART|2CDMG|1ZMB|1ASPD	157VULN|2ZMB|37ERES|4RCR|67CDMG|7BPWR|8ASPD|9BELT|aAART
61	23433 11142	   	176.74	ACR|3VULN|1AART|2CDMG|1ZMB|1ASPD	157VULN|2ZMB|37ERES|4RCR|67CDMG|7BPWR|8ASPD|9LIT|aAART
62	24533 12112	   	176.70	ACR|4VULN|1DMG|2CDMG|1DUR	125aVULN|3DUR|4RCR|69CDMG|7CGEN|8DMG
63	23433 53126	 * 	176.67	ACR|5VULN|1AART|1ZMB	15679VULN|2ZMB|3ERES|4RCR|8BEXP|aAART
64	24164 11122	 * 	176.46	ACR|3VULN|1AART|3ASPD|2CDMG	127VULN|3CGEN|478ASPD|5RCR|67CDMG|7BPWR|9FEWX|aAART
65	24164 11132	   	176.46	ACR|3VULN|1AART|3ASPD|2CDMG	127VULN|3CGEN|478ASPD|5RCR|67CDMG|7BPWR|9BEXP|aAART
66	24364 11122	   	176.46	ACR|3VULN|1AART|3ASPD|2CDMG	127VULN|3MLV|478ASPD|5RCR|67CDMG|7BPWR|9FEWX|aAART
