0	Index      	 *	Score 	Summary	Detail	
1	11366 12632	 * 	213.96	DCR|4VULN|2DMG|1AART|1CDMG	1258VULN|28BPWR|3DUR|48DMG|6RCR|78LWND|9AART|aCDMG
2	13236 12265	 * 	206.44	DCR|3VULN|3DMG|3ZMB	159VULN|249ZMB|3DUR|6RCR|7LWND|89aDMG|9BPWR
3	11113 51154	 * 	205.57	ACR|5VULN|1AART|2CDMG|1ZMB	1267aVULN|26BPWR|3AART|46CDMG|5RCR|8ASPD|9ZMB
4	11113 51662	 * 	204.87	ACR|5VULN|1AART|3CDMG|1ZMB	12679VULN|269BPWR|3AART|469CDMG|5RCR|89LIT|aZMB
5	11113 53154	 * 	204.19	ACR|4VULN|2AART|2CDMG|1ZMB	126aVULN|26BPWR|37AART|46CDMG|5RCR|8ASPD|9ZMB
6	11122 13112	 * 	201.82	DCR|4VULN|2AART|2DMG	1258VULN|28BPWR|37AART|4RCVC|68DMG|9FEWX|aRCR
7	11122 13142	   	201.82	DCR|4VULN|2AART|2DMG	1258VULN|28BPWR|37AART|4RCVC|68DMG|9BEXP|aRCR
8	11122 13155	   	201.82	DCR|4VULN|2AART|2DMG	1258VULN|28BPWR|37AART|4RCVC|68DMG|9LIT|aRCR
9	11113 56263	 * 	200.80	ACR|4VULN|1AART|3CDMG|1DMG	126aVULN|26BPWR|3AART|469CDMG|5RCR|7TLV|8DMG
10	11113 53523	 * 	200.68	ACR|5VULN|2AART|2CDMG	1268aVULN|26BPWR|37AART|46CDMG|5RCR|9RCVC
11	11366 12631	   	200.31	DCR|4VULN|2DMG|1AART	1258VULN|28BPWR|3DUR|48DMG|6RCR|78LWND|9AART|aRPLT
12	11366 12633	   	200.21	DCR|4VULN|2DMG|1AART	1258VULN|28BPWR|3DUR|48DMG|6RCR|78LWND|9AART|aDUST
13	13342 34533	   	200.00	DCR|3VULN|2DMG|1AART|2DUR|1ZMB	18aVULN|2ZMB|3MBVNT|48DMG|5RMIN|68DUR|7RCR|8BPWR|9AART
