0	Index      	 *	Score 	Summary	Detail	
1	21111 52422	 * 	263.46	DCR|2VULN|3DMG|2DUR|1TLV|1AART	18DUR|2AART|389DMG|4BEXP|5TLV|68VULN|7RMIN|8BPWR|aRCR
2	23432 61142	 * 	259.29	DCR|DCR|1VULN|1MLV|1DUR|1AART|1CDMG	1DUR|2AEBURN|3CDMG|4VULN|5MDPS|6AART|79RCR|8BELT|aMLV
3	52263 21326	 * 	252.15	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1LWND|2MDPS|3LIT|4DMG|5VULN|6aRCR|7BELT|8CDMG|9MLV
4	25342 61741	 * 	248.90	DCR|DCR|1VULN|2DUR|1DMG	19DUR|2MBVNT|3TBNT|4DMG|5VULN|6RAT|7aRCR|8LIT
5	25431 25461	 * 	246.17	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1DUR|2MBVNT|3TLV|4MLV|5LIT|6RAT|7DMG|8BBNT|9aRCR
6	11212 21142	   	245.50	DCR|DCR|1VULN|1MLV|1DUR|1AART|1SELL	1DUST|2AART|3SELL|4VULN|5DUR|6FEWX|79RCR|8BELT|aMLV
7	25413 53511	 * 	243.74	DCR|3VULN|3DUR|1TLV|1AART	168DUR|2MBVNT|3TLV|48LWND|568VULN|68BPWR|7AART|9RPLT|aRCR
8	23432 61141	   	243.69	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1DUR|2AEBURN|3CDMG|4VULN|5MDPS|6AART|79RCR|8BELT|aBEXP
9	23432 61143	   	243.59	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1DUR|2AEBURN|3CDMG|4VULN|5MDPS|6AART|79RCR|8BELT|aBBNT
10	11212 21145	   	243.54	DCR|DCR|1VULN|1DUR|1AART|1AAC|1SELL	1DUST|2AART|3SELL|4VULN|5DUR|6FEWX|79RCR|8BELT|aAAC
11	26253 32611	 * 	242.69	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2LIT|3VULN|4LWND|5BEXP|69RCR|7BBNT|8RAT|aTLV
12	22461 13336	 * 	242.59	DCR|DCR|2VULN|1DUR	1DUR|2BBNT|37VULN|49CGEN|5VENFST|6aRCR|8RMIN
13	25422 13355	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2MBVNT|3TLV|4BOSS|5VULN|6RMIN|7RPLT|8aRCR|9CANTOX
14	26252 32611	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2LIT|3VULN|4LWND|5LEGI|69RCR|7BBNT|8RAT|aTLV
15	51361 13413	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2DUR|3TBNT|4CGEN|5CANTOX|69RCR|7VULN|8LHND|aTLV
16	51311 15124	   	242.49	DCR|DCR|2VULN|1DUR	1LWND|2DUR|3TBNT|4AME|5CANTOX|6aRCR|79VULN|8RPLT
17	51311 15412	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2DUR|3TBNT|4AME|5CANTOX|69RCR|7VULN|8LHND|aTLV
18	51311 15512	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2DUR|3TBNT|4AME|5CANTOX|69RCR|7VULN|8FEWX|aTLV
19	51621 15212	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2DUR|3LSRREG|4TLV|5BBNT|69RCR|7VULN|8DUST|aLHND
20	63116 13413	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1ERES|2BBNT|3FLTHEA|4LWND|5DUR|69RCR|7VULN|8LHND|aTLV
21	34116 15212	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1AME|2TBNT|3FLTHEA|4LWND|5DUR|69RCR|7VULN|8DUST|aTLV
22	34136 15212	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1AME|2TBNT|3FLTHEA|4BEXP|5DUR|69RCR|7VULN|8DUST|aTLV
23	51311 15212	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2DUR|3TBNT|4AME|5CANTOX|69RCR|7VULN|8DUST|aTLV
24	51621 15211	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2DUR|3LSRREG|4TLV|5BBNT|69RCR|7VULN|8DUST|aAME
25	51621 15213	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2DUR|3LSRREG|4TLV|5BBNT|69RCR|7VULN|8DUST|aMDPS
26	22411 13346	   	242.29	DCR|DCR|2VULN|1DUR	1DUR|2BBNT|39VULN|4AME|5VENFST|6aRCR|7ERES|8AEBURN
27	21212 43213	 * 	237.26	DCR|3VULN|3DUR|2CDMG|1AART|1SELL	159DUR|2AART|3SELL|489VULN|6RMIN|79CDMG|9BPWR|aRCR
28	11111 52422	   	237.16	DCR|2VULN|3DMG|1TLV|1AART	18DUST|2AART|389DMG|4BEXP|5TLV|68VULN|7RMIN|8BPWR|aRCR
29	52263 21316	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1LWND|2MDPS|3LIT|4DMG|5VULN|6aRCR|7BELT|8CDMG|9ERES
30	11111 52453	   	235.15	DCR|2VULN|2DMG|1TLV|1DUR|1AART	18DUST|2AART|38DMG|4BEXP|5TLV|68VULN|7RMIN|8BPWR|9DUR|aRCR
31	21111 32663	 * 	234.20	DCR|3TLV|2DMG|2MLV|2DUR|1AART	18DUR|2AART|38DMG|4BEXP|569TLV|78MLV|8BPWR|aRCR
