0	Index      	 *	Score 	Summary	Detail	
1	22253 25426	 * 	192.82	DCR|3VULN|2DMG|1AART|3DUR	19aDUR|2MBVNT|36aVULN|4aDMG|5AART|7RMIN|8RCR|aBPWR
2	13256 11125	 * 	189.21	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1LWND|23VULN|4ZMB|578DMG|6AART|9DUR|aRCR
3	22254 34847	   	189.21	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2MBVNT|356VULN|46DMG|6BPWR|7ZMB|8BEXP|9RCR|aAART
4	33256 11125	   	189.21	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1LHND|23VULN|4ZMB|578DMG|6AART|9DUR|aRCR
5	22254 34347	   	189.11	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2MBVNT|356VULN|46DMG|6BPWR|7ZMB|8DUST|9RCR|aAART
6	22253 62334	 * 	188.87	DCR|4VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|3789VULN|4DMG|5AART|6FLTHEA|aRCR
7	23122 66263	 * 	188.07	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1DUR|26VULN|3ZMB|4CDMG|5LIT|7RCR|8DMG|9FLTHEA|aAART
8	12254 34884	 * 	186.47	DCR|4VULN|2DMG|1AART	1LWND|2MBVNT|356aVULN|46DMG|6BPWR|7LSRHEA|8AART|9RCR
9	22253 68334	 * 	186.22	DCR|3VULN|2AART|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|389VULN|4DMG|57AART|6FLTHEA|aRCR
10	32253 62334	 * 	185.42	DCR|3VULN|2DMG|1AART|1FLTHEA	1LHND|2MBVNT|378VULN|49DMG|5AART|6FLTHEA|aRCR
11	12817 41411	 * 	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3CDMG|4DUR|5AART|6RCR|7DMG|89aVULN
12	22867 41411	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4LWND|5AART|6RCR|7DMG|89aVULN
13	32817 41411	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2MBVNT|3CDMG|4DUR|5AART|6RCR|7DMG|89aVULN
14	23262 63523	   	184.36	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	15DUR|239VULN|4CDMG|6AART|7BELT|8RCR|aDMG
15	12253 62384	   	184.33	DCR|4VULN|1AART|1DMG|1FLTHEA	1LWND|2MBVNT|378aVULN|4DMG|5AART|6FLTHEA|9RCR
