0	Index      	 *	Score 	Summary	Detail	
1	32426 12335	 * 	195.92	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	137aVULN|2RMIN|3BPWR|4ZMB|5AART|6RCR|8DUR|9DMG
2	36426 71341	 * 	193.57	ACR|2VULN|2DMG|2AART|2ZMB|1DUR	1aVULN|2MBVNT|3aDMG|4DUR|5RCR|6LIT|79AART|8aZMB|aBPWR
3	32426 12336	 * 	193.27	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	137VULN|2RMIN|3BPWR|4ZMB|5aAART|6RCR|8DUR|9DMG
4	33426 12236	   	193.27	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	127VULN|3DMSP|4DUR|58AART|6RCR|9DMG|aZMB
5	36478 24111	 * 	190.72	DCR|3VULN|2DMG|1AART|1CDMG	167VULN|2MBVNT|3aDMG|4AART|5VENICY|8RCR|9CDMG
6	32142 53242	 * 	190.36	ACR|4VULN|1AART|2CDMG|2ZMB	189aVULN|2RMIN|3LHND|4RCR|5aZMB|6AART|7aCDMG|aBPWR
7	33216 12355	   	190.31	DCR|4VULN|1AART|1DMG|2DUR	129aVULN|39MLV|4ERES|5AART|6RCR|7DMG|89DUR|9BPWR
8	32354 52331	   	190.21	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	18VULN|2RMIN|38AIRHEA|4ZMB|5AART|6DUR|78DMG|8BPWR|9RCR|aCDMG
9	36426 13346	 * 	190.02	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB|1DUR	18VULN|2MBVNT|38DMG|4DUR|5RCR|6ZMB|78ASPD|8BPWR|9FEWX|aAART
10	36426 13336	   	189.92	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB|1DUR	18VULN|2MBVNT|38DMG|4DUR|5RCR|6ZMB|78ASPD|8BPWR|9LEGI|aAART
11	23162 43251	   	189.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1aLIT|29DUR|3aVULN|4AART|5ZMB|6RCR|7BEXP|8aDMG|aBPWR
12	34416 12112	 * 	189.74	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	138VULN|23ASPD|3BPWR|4ERES|5AART|6RCR|7DMG|9ZMB|aRCVC
13	36411 23364	 * 	189.45	DCR|2VULN|2DMG|2AART|1CDMG|1ASPD	14VULN|2MBVNT|34DMG|4BPWR|5BEXP|6ASPD|78AART|9RCR|aCDMG
14	33166 12236	   	189.43	DCR|3VULN|2AART|1DMG|1ZMB	127VULN|3FEWX|4RCVC|58AART|6RCR|9DMG|aZMB
15	63132 33635	 * 	189.39	ACR|4VULN|2DMG|1AART	1aDUST|2FEWX|367aVULN|4aDMG|5RCR|8AART|9BELT|aBPWR
16	36418 23364	   	189.35	DCR|2VULN|2DMG|2AART|1CDMG|1ASPD	14VULN|2MBVNT|34DMG|4BPWR|5DUST|6ASPD|78AART|9RCR|aCDMG
17	33226 12316	   	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1278VULN|3MLV|4ZMB|5AART|6RCR|9LWND|aDMG
18	33226 12326	   	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1278VULN|3MLV|4ZMB|5AART|6RCR|9BEXP|aDMG
19	33226 12331	   	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1278VULN|3MLV|4ZMB|5AART|6RCR|9DMG|aCGEN
20	33226 12332	   	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1278VULN|3MLV|4ZMB|5AART|6RCR|9DMG|aFEWX
21	33226 12333	   	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1278VULN|3MLV|4ZMB|5AART|6RCR|9DMG|aRPLT
22	33226 12334	   	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1278VULN|3MLV|4ZMB|5AART|6RCR|9DMG|aLWND
23	33226 12336	   	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1278VULN|3MLV|4ZMB|5AART|6RCR|9DMG|aRMIN
24	33226 12366	   	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1278VULN|3MLV|4ZMB|5AART|6RCR|9LHND|aDMG
25	33226 12335	   	188.88	DCR|4VULN|1AART|1DMG|1ZMB	1278VULN|3MLV|4ZMB|5AART|6RCR|9DMG|aERES
26	34416 12111	   	188.43	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	138VULN|23ASPD|3BPWR|4ERES|5AART|6RCR|7DMG|9ZMB|aBELT
27	34416 12113	   	188.43	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	138VULN|23ASPD|3BPWR|4ERES|5AART|6RCR|7DMG|9ZMB|aLWND
28	33166 12335	   	188.02	DCR|4VULN|1AART|1DMG|1DUR	127aVULN|3FEWX|4RCVC|5AART|6RCR|8DUR|9DMG
29	32142 53262	 * 	187.70	ACR|3VULN|2AART|2CDMG|2ZMB	18aVULN|2RMIN|3LHND|4RCR|5aZMB|69AART|7aCDMG|aBPWR
30	33216 12356	   	187.66	DCR|3VULN|2AART|1DMG|2DUR	129VULN|39MLV|4ERES|5aAART|6RCR|7DMG|89DUR|9BPWR
31	36478 24114	 * 	187.23	DCR|4VULN|1AART|1DMG|1CDMG	167aVULN|2MBVNT|3DMG|4AART|5VENICY|8RCR|9CDMG
32	32426 12316	   	187.12	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	137VULN|2RMIN|3BPWR|4ZMB|5AART|6RCR|89DUR|aDMG
33	33426 12336	   	187.12	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	127VULN|3DMSP|48DUR|5AART|6RCR|9DMG|aZMB
34	36411 23361	   	186.80	DCR|2VULN|2DMG|2AART|1ZMB|1ASPD	14VULN|2MBVNT|34DMG|4BPWR|5BEXP|6ASPD|78AART|9RCR|aZMB
35	36418 23361	   	186.70	DCR|2VULN|2DMG|2AART|1ZMB|1ASPD	14VULN|2MBVNT|34DMG|4BPWR|5DUST|6ASPD|78AART|9RCR|aZMB
36	36487 11341	   	186.54	ACR|2VULN|2DMG|2AART|2ZMB	1aVULN|2MBVNT|3aDMG|4LIT|5RCR|6DUST|79AART|8aZMB|aBPWR
37	23161 26234	   	186.51	DCR|3VULN|2DMG|1AART|1DUR	1LIT|2DUR|356VULN|4AART|7RCR|8aDMG|9LEGI
38	32426 12216	   	186.33	DCR|3VULN|2AART|1DMG|1ZMB	137VULN|2RMIN|3BPWR|4ZMB|58AART|6RCR|9LWND|aDMG
39	32426 12226	   	186.33	DCR|3VULN|2AART|1DMG|1ZMB	137VULN|2RMIN|3BPWR|4ZMB|58AART|6RCR|9BEXP|aDMG
40	32426 12231	   	186.33	DCR|3VULN|2AART|1DMG|1ZMB	137VULN|2RMIN|3BPWR|4ZMB|58AART|6RCR|9DMG|aCGEN
41	32426 12232	   	186.33	DCR|3VULN|2AART|1DMG|1ZMB	137VULN|2RMIN|3BPWR|4ZMB|58AART|6RCR|9DMG|aBELT
42	32426 12233	   	186.33	DCR|3VULN|2AART|1DMG|1ZMB	137VULN|2RMIN|3BPWR|4ZMB|58AART|6RCR|9DMG|aRPLT
43	32426 12234	   	186.33	DCR|3VULN|2AART|1DMG|1ZMB	137VULN|2RMIN|3BPWR|4ZMB|58AART|6RCR|9DMG|aLWND
44	32426 12236	   	186.33	DCR|3VULN|2AART|1DMG|1ZMB	137VULN|2aRMIN|3BPWR|4ZMB|58AART|6RCR|9DMG
45	33516 12236	   	186.33	DCR|3VULN|2AART|1DMG|1ZMB	127VULN|34LHND|58AART|6RCR|9DMG|aZMB
46	32426 12235	   	186.23	DCR|3VULN|2AART|1DMG|1ZMB	137VULN|2RMIN|3BPWR|4ZMB|58AART|6RCR|9DMG|aERES
47	33166 12336	   	185.37	DCR|3VULN|2AART|1DMG|1DUR	127VULN|3FEWX|4RCVC|5aAART|6RCR|8DUR|9DMG
48	32421 21334	   	184.97	DCR|3VULN|2DMG|1AART|1ZMB	138VULN|2RMIN|38BPWR|4ZMB|58LIT|6RCVC|78DMG|9RCR|aAART
49	33516 12335	   	184.92	DCR|4VULN|1AART|1DMG|1DUR	127aVULN|34LHND|5AART|6RCR|8DUR|9DMG
50	33216 12145	   	184.82	DCR|4VULN|1AART|1DMG|1DUR	128aVULN|3MLV|4ERES|5AART|6RCR|7DMG|9DUR
51	23162 41241	   	184.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aLIT|2DUR|3aVULN|4AART|5ZMB|6RCR|79DUST|8aDMG|aBPWR
52	31354 22121	   	183.73	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	16aVULN|2VENICY|3aASPD|4ZMB|5AART|7DMG|8RCR|9aLSRICY|aBPWR
53	31454 12331	   	183.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|28VENICY|3RMIN|4ZMB|5AART|6FEWX|78DMG|8BPWR|9RCR|aCDMG
54	32354 12331	   	183.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|2RMIN|38AIRHEA|4ZMB|5AART|6FEWX|78DMG|8BPWR|9RCR|aCDMG
55	23161 26225	   	183.12	DCR|4VULN|1AART|1DMG|1DUR	19LIT|2DUR|356aVULN|4AART|7RCR|8DMG
56	36411 24684	   	183.01	DCR|3VULN|2DMG|1AART|1ASPD	149VULN|2MBVNT|34DMG|4BPWR|5BEXP|6ASPD|7RCR|8RPLT|aAART
57	36367 11241	 * 	182.83	ACR|3DMG|2VULN|1AART|1ASPD	1aVULN|2MBVNT|3aLIT|4ASPD|5RCR|6DUST|7AART|89aDMG|aBPWR
58	16126 71241	   	182.78	ACR|2VULN|2DMG|2AART|1ZMB	1aLWND|2MBVNT|3aVULN|4ZMB|5RCR|6LIT|79AART|8aDMG|aBPWR
59	36226 71241	   	182.78	ACR|2VULN|2DMG|2AART|1ZMB	1aVULN|2MBVNT|3aLWND|4ZMB|5RCR|6LIT|79AART|8aDMG|aBPWR
60	36411 23366	   	182.74	DCR|2VULN|2DMG|2AART|1DUR|1ASPD	14VULN|2MBVNT|34DMG|4BPWR|5BEXP|6ASPD|78AART|9RCR|aDUR
61	36426 71241	   	182.73	ACR|3DMG|2VULN|1AART|1DUR	1aVULN|2MBVNT|38aDMG|4DUR|5RCR|6LIT|7AART|9aERES|aBPWR
62	36426 71441	   	182.73	ACR|3VULN|2DMG|1AART|1DUR	18aVULN|2MBVNT|3aDMG|4DUR|5RCR|6LIT|7AART|9aERES|aBPWR
63	36412 32277	 * 	182.67	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	14VULN|2MBVNT|34DMG|4BPWR|5LWND|6ZMB|7LHND|8RCR|9FLTHEA|aAART
64	31521 52331	   	182.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|28VENICY|3CGEN|4LEGI|5ZMB|6AART|78DMG|8BPWR|9RCR|aCDMG
65	36411 23438	   	182.54	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR|1ASPD	14VULN|2MBVNT|34DMG|4BPWR|5BEXP|6ASPD|7AART|8DUR|9FLTHEA|aRCR
66	36426 13313	 * 	182.48	ACR|3VULN|2DMG|2ASPD|1ZMB|1DUR	18aVULN|2MBVNT|38DMG|4DUR|5RCR|6ZMB|78ASPD|8BPWR|9LWND
67	36426 13343	   	182.48	ACR|3VULN|2DMG|2ASPD|1ZMB|1DUR	18aVULN|2MBVNT|38DMG|4DUR|5RCR|6ZMB|78ASPD|8BPWR|9FEWX
68	36426 13373	   	182.48	ACR|3VULN|2DMG|2ASPD|1ZMB|1DUR	18aVULN|2MBVNT|38DMG|4DUR|5RCR|6ZMB|78ASPD|8BPWR|9BEXP
69	36426 13383	   	182.48	ACR|3VULN|2DMG|2ASPD|1ZMB|1DUR	18aVULN|2MBVNT|38DMG|4DUR|5RCR|6ZMB|78ASPD|8BPWR|9MLV
70	36426 13323	   	182.38	ACR|3VULN|2DMG|2ASPD|1ZMB|1DUR	18aVULN|2MBVNT|38DMG|4DUR|5RCR|6ZMB|78ASPD|8BPWR|9ERES
71	36426 13333	   	182.38	ACR|3VULN|2DMG|2ASPD|1ZMB|1DUR	18aVULN|2MBVNT|38DMG|4DUR|5RCR|6ZMB|78ASPD|8BPWR|9LEGI
72	33426 12216	   	182.27	DCR|3VULN|2AART|1DMG|1DUR	127VULN|3DMSP|4DUR|58AART|6RCR|9LWND|aDMG
73	33426 12226	   	182.27	DCR|3VULN|2AART|1DMG|1DUR	127VULN|3DMSP|4DUR|58AART|6RCR|9BEXP|aDMG
74	33426 12231	   	182.27	DCR|3VULN|2AART|1DMG|1DUR	127VULN|3DMSP|4DUR|58AART|6RCR|9DMG|aCGEN
75	33426 12232	   	182.27	DCR|3VULN|2AART|1DMG|1DUR	127VULN|3DMSP|4DUR|58AART|6RCR|9DMG|aFEWX
76	33426 12233	   	182.27	DCR|3VULN|2AART|1DMG|1DUR	127VULN|3DMSP|4DUR|58AART|6RCR|9DMG|aRPLT
77	33426 12234	   	182.27	DCR|3VULN|2AART|1DMG|1DUR	127VULN|3DMSP|4DUR|58AART|6RCR|9DMG|aLWND
78	33516 12336	   	182.27	DCR|3VULN|2AART|1DMG|1DUR	127VULN|34LHND|5aAART|6RCR|8DUR|9DMG
79	33216 12146	   	182.17	DCR|3VULN|2AART|1DMG|1DUR	128VULN|3MLV|4ERES|5aAART|6RCR|7DMG|9DUR
80	33426 12235	   	182.17	DCR|3VULN|2AART|1DMG|1DUR	127VULN|3DMSP|4DUR|58AART|6RCR|9DMG|aERES
81	36476 12214	   	182.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	16VULN|2MBVNT|37DMG|4AART|5ERES|8RCR|9DUR|aCDMG
82	32426 12331	   	181.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	137VULN|2RMIN|3BPWR|4ZMB|5AART|6RCR|8DUR|9DMG|aBEXP
83	32426 12332	   	181.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	137VULN|2RMIN|3BPWR|4ZMB|5AART|6RCR|8DUR|9DMG|aLWND
84	31234 34331	 * 	181.76	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	18VULN|2VENICY|38ZMB|4DMG|5AART|6ERES|78DUR|8BPWR|9RCR|aCDMG
85	32426 12333	   	181.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	137VULN|2RMIN|3BPWR|4ZMB|5AART|6RCR|8DUR|9DMG|aLEGI
86	33216 13355	   	181.25	DCR|4VULN|1AART|2DUR|1ZMB	129aVULN|39MLV|4ERES|5AART|6RCR|7ZMB|89DUR|9BPWR
87	33226 11355	   	181.25	DCR|4VULN|1AART|2DUR|1ZMB	129aVULN|39MLV|4ZMB|5AART|6RCR|7ERES|89DUR|9BPWR
88	36411 24473	   	181.00	DCR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	14VULN|2MBVNT|34DMG|4BPWR|5BEXP|6ASPD|7RCR|8LWND|9FLTHEA|aAART
89	36411 24636	   	181.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|2MBVNT|34DMG|4BPWR|5BEXP|6ASPD|7RCR|8RPLT|9CDMG|aAART
90	36411 24814	   	181.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|2MBVNT|34DMG|4BPWR|5BEXP|6ASPD|7RCR|8CDMG|9LWND|aAART
91	31264 22121	 * 	180.97	DCR|3VULN|1AART|1DMG|2ZMB|1ASPD	16aVULN|2VENICY|3aZMB|4ASPD|5AART|7DMG|8RCR|9aLSRICY|aBPWR
92	36236 41318	 * 	180.94	ACR|4VULN|3DMG	178aVULN|2MBVNT|39LWND|48aDMG|5RCR|68aBEXP|8aBPWR
93	36418 24473	   	180.90	DCR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	14VULN|2MBVNT|34DMG|4BPWR|5DUST|6ASPD|7RCR|8LWND|9FLTHEA|aAART
94	36418 24844	   	180.90	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|2MBVNT|34DMG|4BPWR|5DUST|6ASPD|7RCR|8CDMG|9BEXP|aAART
