0	Index      	 *	Score 	Summary	Detail	
1	42223 32452	 * 	184.86	DCR|4VULN|3DMG|1DUR	1578VULN|28LHND|3DUST|4DUR|68aDMG|8BPWR|9RCR
2	23622 41124	 * 	178.47	DCR|3DMG|2VULN|1AART	19LWND|29ERES|38aDMG|4LHND|59VULN|6AART|7RCR|9BPWR
3	23622 41134	   	178.37	DCR|3DMG|2VULN|1AART	1LWND|2ERES|38aDMG|4LHND|59VULN|6AART|7RCR
4	46232 26131	 * 	178.17	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	15VULN|2DUR|3DMG|48ZMB|6TLV|7RCR|9CDMG|aAART
5	32622 41136	 * 	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2LWND|38DMG|4LHND|5aVULN|6AART|7RCR|9CDMG
6	26241 33631	 * 	176.05	DCR|3VULN|2DMG|1CDMG|1DUR	19LWND|2DUR|39DMG|48aVULN|5CDMG|6RCR|79FEWX|9BPWR
7	42222 12452	 * 	176.05	DCR|3VULN|3DMG|2DUR	178VULN|28LHND|3DUST|46DUR|58aDMG|8BPWR|9RCR
8	46221 12622	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2DUR|3DMG|4DUST|5CDMG|6LHND|7RCR|9ZMB|aAART
9	46232 26231	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	15VULN|2DUR|3DMG|4ZMB|6TLV|7RCR|8RCVC|9CDMG|aAART
10	26232 36512	 * 	174.05	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB|1SELL	18LWND|28DUR|36DMG|4ZMB|58VULN|7RCR|8BPWR|9SELL|aCDMG
11	23622 41123	   	173.82	DCR|2VULN|2DMG|1AART|1ZMB	19LWND|29ERES|38DMG|4LHND|59VULN|6AART|7RCR|9BPWR|aZMB
12	61632 41123	   	173.82	DCR|2VULN|2DMG|1AART|1ZMB	19ERES|29LHND|38DMG|4LWND|59VULN|6AART|7RCR|9BPWR|aZMB
13	63622 41123	   	173.82	DCR|2VULN|2DMG|1AART|1ZMB	19ERES|29LWND|38DMG|4LHND|59VULN|6AART|7RCR|9BPWR|aZMB
14	23622 41133	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|2ERES|38DMG|4LHND|59VULN|6AART|7RCR|aZMB
15	61632 41133	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|2LHND|38DMG|4LWND|59VULN|6AART|7RCR|aZMB
16	63622 41133	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|2LWND|38DMG|4LHND|59VULN|6AART|7RCR|aZMB
17	42363 42223	 * 	173.21	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1ZMB	1aVULN|26LHND|3LWND|4FLTHEA|56DMG|6BPWR|7CDMG|8RCR|9ZMB
18	43132 56333	 * 	171.06	DCR|4VULN|1AART|1ZMB|1ASPD	1568VULN|2ERES|3ZMB|46LWND|6BPWR|7RCR|9AART|aASPD
19	31551 22335	 * 	170.36	DCR|2VULN|2DMG|1AART|1FLTHEA	1RMIN|26DMG|3BELT|4AART|5TLV|78VULN|9FLTHEA|aRCR
20	26232 11416	   	169.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LWND|2DUR|38DMG|4ZMB|5VULN|6CDMG|7BEXP|9RCR|aAART
21	46232 15112	   	169.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	15VULN|2DUR|3DMG|4ZMB|6FEWX|7CDMG|8LEGI|9RCR|aAART
22	46232 35112	   	169.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	15VULN|2DUR|3DMG|4ZMB|6BEXP|7CDMG|8LEGI|9RCR|aAART
23	43312 34225	 * 	169.21	DCR|2VULN|2DMG|3DUR|1CDMG	1aVULN|2ERES|345DUR|6RCR|79DMG|8CDMG
24	42223 32451	   	169.10	DCR|4VULN|2DMG|1DUR	1578VULN|28LHND|3aDUST|4DUR|68DMG|8BPWR|9RCR
25	46351 21311	 * 	169.00	DCR|2VULN|2DMG|1AART|2DUR|1SELL	18VULN|28DUR|3LIT|4AART|5MLV|68DMG|7SELL|8BPWR|9LWND|aRCR
26	26241 42331	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1LWND|2DUR|36DMG|47aVULN|5CDMG|8LSRICY|9RCR
27	46221 34331	   	168.55	DCR|3VULN|2DMG|1CDMG|1DUR	16aVULN|2DUR|37DMG|4DUST|5CDMG|8LSRICY|9RCR
28	46221 42331	   	168.55	DCR|3VULN|2DMG|1CDMG|1DUR	17aVULN|2DUR|36DMG|4DUST|5CDMG|8LSRICY|9RCR
29	42363 12253	 * 	168.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1aVULN|2LHND|3LWND|4FLTHEA|5DMG|6CDMG|7RCVC|8RCR|9AART
30	43261 33361	   	167.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	16VULN|2ERES|3DUST|4BEXP|5CDMG|7RCR|8ZMB|9AART|aDMG
31	26232 36533	   	167.58	DCR|2VULN|2DMG|2DUR|1ZMB|1ASPD	18LWND|28DUR|36DMG|4ZMB|58VULN|7RCR|8BPWR|9RCVC|aASPD
32	26221 35235	 * 	166.57	DCR|3CDMG|1AART|1DMG|1VULN|2DUR	17LWND|27DUR|3DMG|4DUST|578CDMG|6RCR|7BPWR|9AART|aVULN
33	26241 32422	 * 	166.51	DCR|2VULN|2DMG|2CDMG|1DUR	1LWND|2DUR|38DMG|49VULN|5aCDMG|6RCR|7RMIN
34	32622 41135	   	165.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|2LWND|38DMG|4LHND|5VULN|6AART|7RCR|9CDMG|aDUR
35	26221 32426	   	165.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2DUR|38DMG|4DUST|5CDMG|6RCR|7RMIN|9VULN|aAART
36	26221 33614	   	165.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2DUR|39DMG|4DUST|5CDMG|6RCR|7FEWX|8VULN|aAART
37	46221 32331	 * 	165.07	DCR|4VULN|1DMG|1CDMG|1DUR	167aVULN|2DUR|3DMG|4DUST|5CDMG|8LSRICY|9RCR
38	43132 56331	   	164.12	DCR|4VULN|1AART|1ZMB	1568VULN|2ERES|3ZMB|46LWND|6BPWR|7RCR|9AART|aLHND
39	46221 12142	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2DUR|3aDMG|4DUST|5CDMG|6LHND|7RCR|8LIT|9AART
40	46221 22142	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2DUR|3aDMG|4DUST|5CDMG|6LWND|7RCR|8LIT|9AART
41	23162 13661	   	163.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2ERES|3ZMB|4BEXP|57VULN|6CDMG|8AART|9RCR|aDMG
42	32122 41331	 * 	163.74	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1RMIN|2LWND|3ZMB|4LHND|5VULN|68AART|7RCR|9CDMG|aDMG
43	26221 12614	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2DUR|39DMG|4DUST|5CDMG|6LHND|7RCR|8VULN|aAART
44	43211 33614	   	163.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3DUST|4DUR|5CDMG|7RCR|8DMG|9RMIN|aAART
45	43211 33634	   	163.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3DUST|4DUR|5CDMG|7RCR|8DMG|9MLV|aAART
46	43321 33614	   	163.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3DUR|4DUST|5CDMG|7RCR|8DMG|9RMIN|aAART
47	43321 33634	   	163.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3DUR|4DUST|5CDMG|7RCR|8DMG|9MLV|aAART
48	46352 32121	 * 	163.15	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1aVULN|28DUR|3LIT|4AART|5SNIHEL|6ZMB|7RCR|9CDMG
49	43211 33662	   	163.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3DUST|4DUR|5CDMG|7RCR|8DMG|9LEGI|aAART
50	43321 33662	   	163.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2ERES|3DUR|4DUST|5CDMG|7RCR|8DMG|9LEGI|aAART
51	43122 56131	 * 	162.97	DCR|3VULN|1AART|1CDMG|1ZMB	156VULN|2ERES|3ZMB|46LHND|6BPWR|7RCR|8NUKE|9CDMG|aAART
52	43132 56131	   	162.97	DCR|3VULN|1AART|1CDMG|1ZMB	156VULN|2ERES|3ZMB|46LWND|6BPWR|7RCR|8NUKE|9CDMG|aAART
53	23622 41121	   	162.81	DCR|2VULN|2DMG|1AART	19LWND|29ERES|38DMG|4LHND|59VULN|6AART|7RCR|9BPWR|aMLV
54	23622 41122	   	162.81	DCR|2VULN|2DMG|1AART	19LWND|29ERES|38DMG|4LHND|59VULN|6AART|7RCR|9BPWR|aRCVC
55	23622 41125	   	162.81	DCR|2VULN|2DMG|1AART	19LWND|29ERES|38DMG|4LHND|59VULN|6AART|7RCR|9BPWR|aRPLT
56	23622 41126	   	162.81	DCR|2VULN|2DMG|1AART	19LWND|29ERES|38DMG|4LHND|59VULN|6AART|7RCR|9BPWR|aBEXP
57	32622 41126	   	162.81	DCR|2VULN|2DMG|1AART	1RMIN|2LWND|38DMG|4LHND|5aVULN|6AART|7RCR|9LSRICY
58	32622 41141	   	162.81	DCR|2VULN|2DMG|1AART	1RMIN|2LWND|38DMG|4LHND|5aVULN|6AART|7RCR|9BEXP
59	61632 41121	   	162.81	DCR|2VULN|2DMG|1AART	19ERES|29LHND|38DMG|4LWND|59VULN|6AART|7RCR|9BPWR|aMLV
60	61632 41122	   	162.81	DCR|2VULN|2DMG|1AART	19ERES|29LHND|38DMG|4LWND|59VULN|6AART|7RCR|9BPWR|aRCVC
61	63622 41121	   	162.81	DCR|2VULN|2DMG|1AART	19ERES|29LWND|38DMG|4LHND|59VULN|6AART|7RCR|9BPWR|aMLV
62	63622 41122	   	162.81	DCR|2VULN|2DMG|1AART	19ERES|29LWND|38DMG|4LHND|59VULN|6AART|7RCR|9BPWR|aRCVC
63	23622 41131	   	162.71	DCR|2VULN|2DMG|1AART	1LWND|2ERES|38DMG|4LHND|59VULN|6AART|7RCR|aMLV
64	23622 41132	   	162.71	DCR|2VULN|2DMG|1AART	1LWND|2ERES|38DMG|4LHND|59VULN|6AART|7RCR|aRCVC
65	23622 41135	   	162.71	DCR|2VULN|2DMG|1AART	1LWND|2ERES|38DMG|4LHND|59VULN|6AART|7RCR|aRPLT
66	23622 41136	   	162.71	DCR|2VULN|2DMG|1AART	1LWND|2ERES|38DMG|4LHND|59VULN|6AART|7RCR|aBEXP
67	23622 41141	   	162.71	DCR|2VULN|2DMG|1AART	1LWND|2ERES|38DMG|4LHND|5aVULN|6AART|7RCR|9BEXP
68	32622 41116	   	162.71	DCR|2VULN|2DMG|1AART	1RMIN|2LWND|38DMG|4LHND|5aVULN|6AART|7RCR|9CANHEL
