0	Index      	 *	Score 	Summary	Detail	
1	35332 24621	 * 	286.27	DCR|3VULN|3DMG|3ASPD|2AART	19aVULN|2AAC|3AME|46AART|59aASPD|79aDMG|8RCR|9aBPWR
2	31431 54363	 * 	277.41	DCR|DCR|2VULN|1DMG|1CDMG	13VULN|2LIT|4DMG|5CDMG|6MBVNT|7ERES|8aRCR|9FLTARM
3	31231 13264	   	275.71	DCR|DCR|2VULN|1ASPD|1RPLT	18VULN|28LIT|3RPLT|4BEXP|5DUR|6aRCR|78LHND|8BPWR|9ASPD
4	32131 13264	   	275.71	DCR|DCR|2VULN|1ASPD|1RPLT	18VULN|28FEWX|3RPLT|4LIT|5DUR|6aRCR|78LHND|8BPWR|9ASPD
5	34131 13264	   	275.71	DCR|DCR|2VULN|1ASPD|1RPLT	18VULN|28BEXP|3RPLT|4LIT|5DUR|6aRCR|78LHND|8BPWR|9ASPD
6	31231 15264	   	275.51	DCR|DCR|2VULN|1ASPD|1RPLT	18VULN|28LIT|3RPLT|4BEXP|5DUR|6aRCR|78DUST|8BPWR|9ASPD
7	32131 15264	   	275.51	DCR|DCR|2VULN|1ASPD|1RPLT	18VULN|28FEWX|3RPLT|4LIT|5DUR|6aRCR|78DUST|8BPWR|9ASPD
8	31233 13264	   	267.31	DCR|DCR|2VULN|1ASPD|1RPLT	18VULN|2LIT|3RPLT|48BEXP|5LEGI|6aRCR|78LHND|8BPWR|9ASPD
9	32133 13264	   	267.31	DCR|DCR|2VULN|1ASPD|1RPLT	18VULN|2FEWX|3RPLT|48LIT|5LEGI|6aRCR|78LHND|8BPWR|9ASPD
10	34133 13264	   	267.31	DCR|DCR|2VULN|1ASPD|1RPLT	18VULN|2BEXP|3RPLT|48LIT|5LEGI|6aRCR|78LHND|8BPWR|9ASPD
11	31233 15264	   	267.11	DCR|DCR|2VULN|1ASPD|1RPLT	18VULN|2LIT|3RPLT|48BEXP|5LEGI|6aRCR|78DUST|8BPWR|9ASPD
12	32133 15264	   	267.11	DCR|DCR|2VULN|1ASPD|1RPLT	18VULN|2FEWX|3RPLT|48LIT|5LEGI|6aRCR|78DUST|8BPWR|9ASPD
13	36232 33621	 * 	263.80	DCR|4VULN|3DMG|3ZMB	139aVULN|2AME|49aDMG|59aZMB|6DLOT|7AAC|8RCR|9aBPWR
14	35261 22224	   	262.75	DCR|3VULN|3ASPD|2DMG|1RPLT	138VULN|2AAC|489ASPD|5BBNT|6RPLT|78DMG|8BPWR|aRCR
15	31334 44613	   	260.87	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1VULN|2LIT|3DMSP|4DMG|5MSLTOX|6MBVNT|7ASPD|8aRCR|9RPLT
16	35332 24623	   	258.97	DCR|3VULN|2DMG|2ASPD|2AART	19aVULN|2AAC|3AME|46AART|59ASPD|79DMG|8RCR|9BPWR
