0	Index      	 *	Score 	Summary	Detail	
1	52151 16132	 * 	264.39	橙3易伤3导弹对毒2矿等1等级	1头目278掉矿389易伤4等级59矿等689导弹对毒89序列升级a核
2	35433 63232	 * 	243.39	橙橙1易伤1伤害1时间1核弹	1掉矿2伤害3易伤4攻速5敌人爆炸6a核7核弹8时间9最后敌人
3	35234 63232	   	243.29	橙橙1易伤1伤害1时间1核弹	1掉矿2伤害3挖尘4攻速5易伤6a核7核弹8时间9最后敌人
4	56133 13362	 * 	242.94	橙3易伤3等级1伤害1暴击	1头目249等级348易伤4序列升级5伤害6暴击7雷电a核
5	43222 56232	 * 	242.69	橙橙2易伤1暴击	1基地爆炸2敌人爆炸3平台48易伤5暴击6掉矿7a核9最后敌人
6	65153 23443	   	242.59	橙橙2易伤1全技能	1基础对愈2金币生成3加一4基地爆炸56易伤7全技能8敌人爆炸9a核
7	65153 43443	   	242.59	橙橙2易伤1全技能	16基础对愈2金币生成3加一4基地爆炸56易伤6序列升级7全技能8敌人爆炸9a核
8	43161 31135	 * 	242.59	橙橙1易伤1等级1暴击	1基地爆炸2敌人爆炸3赏金塔4等级5赏金邻近6a核7低血量敌人8易伤9暴击
9	43161 34331	   	242.59	橙橙1易伤1等级1暴击	1基地爆炸2敌人爆炸3赏金塔4等级5赏金邻近6a核7易伤8金币生成9暴击
10	31511 52431	   	242.49	橙橙1易伤1等级1暴击	1掉矿2基地爆炸3易伤4赏金塔5等级6a核7最后敌人8赏金邻近9暴击
11	31611 51431	   	242.39	橙橙1易伤1等级1暴击	1掉矿2基地爆炸3雷电减费4赏金塔5等级6a核7易伤8赏金邻近9暴击
12	56133 15212	   	241.55	橙2易伤2等级1伤害1时间1全技能1暴击	1头目24等级34易伤4序列升级5伤害6暴击7激光对冰8核9全技能a时间
13	26112 15316	 * 	237.70	橙橙1等级1伤害1时间	1最后敌人26随机技能3攻速4等级5时间79核8雷电a伤害
14	26112 35316	   	237.60	橙橙1等级1伤害1时间	1最后敌人2随机技能3攻速4等级5时间6烈焰减费79核8雷电a伤害
15	62441 31321	 * 	234.73	紫橙2易伤1等级1时间1技能1卖塔	1基础对愈2卖塔3a易伤4技能57核6等级8头目9时间
