0	Index      	 *	Score 	Summary	Detail	
1	15262 12335	 * 	206.88	ACR|3DMG|2VULN|1AART|1CDMG|1ZMB|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9CDMG|aZMB
2	14213 44813	 * 	200.76	DCR|3DMG|2VULN|1AART|1CDMG|1ASPD	134DMG|2MBVNT|5aVULN|6RCR|7AART|8CDMG|9ASPD
3	14213 33466	 * 	199.62	DCR|3VULN|3DMG|1AART|1ZMB	134DMG|2MBVNT|56aVULN|7AART|8ZMB|9RCR
4	15235 82242	   	199.16	DCR|3DMG|2VULN|1AART|1CDMG|1ASPD	138DMG|28VULN|4MBVNT|58LWND|6AART|7RCR|8BPWR|9CDMG|aASPD
5	15213 26136	   	198.77	DCR|3VULN|3DMG|1AART|1CDMG	134DMG|267VULN|5CDMG|8FEWX|9AART|aRCR
6	14247 11336	 * 	198.67	DCR|3DMG|2VULN|1AART|2ZMB|1CDMG	137DMG|2MBVNT|47ZMB|57VULN|6RMIN|7BPWR|8AART|9CDMG|aRCR
7	15213 21536	   	198.67	DCR|3VULN|3DMG|1AART|1CDMG	134DMG|268VULN|5CDMG|7DUST|9AART|aRCR
8	15213 26236	   	198.67	DCR|3VULN|3DMG|1AART|1CDMG	134DMG|267VULN|5CDMG|8DUST|9AART|aRCR
9	15262 12324	 * 	197.88	ACR|3VULN|3DMG|1AART|1DUR	136DMG|27aVULN|4DUR|5RCR|8AART|9BEXP
10	15262 12315	   	197.78	ACR|3VULN|3DMG|1AART|1DUR	136DMG|27aVULN|4DUR|5RCR|8AART|9NUKE
11	15111 11612	 * 	196.37	DCR|4VULN|3DMG|3DUR	167DMG|259aVULN|379DUR|479DUST|79BPWR|8RCR
12	15262 12331	   	195.88	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9CDMG|aRPLT
13	15262 12333	   	195.88	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9CDMG|aBEXP
14	14213 44626	   	195.82	DCR|3VULN|3DMG|1AART	134DMG|2MBVNT|59aVULN|6RCR|7AART|8MLV
15	15262 12332	   	195.78	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9CDMG|aTLV
16	15262 12334	   	195.78	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9CDMG|aDUST
17	15235 82231	   	194.42	DCR|3VULN|3DMG|1AART	138DMG|28aVULN|4MBVNT|58aLWND|6AART|7RCR|8aBPWR|9aMGNSTR
18	14213 44167	   	193.92	DCR|3DMG|2VULN|1AART|2ASPD	134DMG|2MBVNT|5aVULN|6RCR|7AART|8aFEWX|9aASPD|aBPWR
19	14213 44823	   	193.82	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|2MBVNT|5aVULN|6RCR|7AART|8CDMG|9RMIN
20	14213 44853	   	193.82	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|2MBVNT|5aVULN|6RCR|7AART|8CDMG|9MLV
21	14213 44871	   	193.82	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|2MBVNT|59VULN|6RCR|7AART|8CDMG|aRPLT
22	14213 44873	   	193.82	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|2MBVNT|59VULN|6RCR|7AART|8CDMG|aBEXP
23	14213 44864	   	193.72	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|2MBVNT|5aVULN|6RCR|7AART|8CDMG|9ERES
24	14213 44872	   	193.72	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|2MBVNT|59VULN|6RCR|7AART|8CDMG|aTLV
25	14213 44874	   	193.72	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|2MBVNT|59VULN|6RCR|7AART|8CDMG|aNUKE
26	12611 11613	 * 	193.15	DCR|5VULN|3DMG	167DMG|29LHND|3579aVULN|479DUST|79BPWR|8RCR
27	14213 44484	   	192.60	DCR|3DMG|2VULN|1AART|2DUR	134DMG|2MBVNT|5aVULN|6RCR|7AART|8aLWND|9aDUR|aBPWR
28	14721 82244	   	192.22	DCR|3VULN|2DMG|1AART|1CDMG	18DMG|2MBVNT|358VULN|48LWND|6AART|7RCR|8BPWR|9LHND|aCDMG
29	15235 82244	   	192.22	DCR|3DMG|2VULN|1AART|1CDMG	138DMG|28VULN|4MBVNT|58LWND|6AART|7RCR|8BPWR|9CDMG|aCGEN
30	14721 82214	   	192.12	DCR|3VULN|2DMG|1AART|1CDMG	18DMG|2MBVNT|358VULN|48LWND|6AART|7RCR|8BPWR|9DUST|aCDMG
31	15235 82211	   	192.12	DCR|3DMG|2VULN|1AART|1CDMG	138DMG|28VULN|4MBVNT|58LWND|6AART|7RCR|8BPWR|9ERES|aCDMG
32	15235 82241	   	192.12	DCR|3DMG|2VULN|1AART|1CDMG	138DMG|28VULN|4MBVNT|58LWND|6AART|7RCR|8BPWR|9CDMG|aDUST
33	15235 82243	   	192.12	DCR|3DMG|2VULN|1AART|1CDMG	138DMG|28VULN|4MBVNT|58LWND|6AART|7RCR|8BPWR|9CDMG|aLEGI
34	14772 43314	   	192.00	DCR|3DMG|2VULN|1AART|2DUR	189DMG|2MBVNT|3aVULN|4AART|5aDUR|6aLWND|7RCR|aBPWR
