0	Index      	 *	Score 	Summary	Detail	
1	11313 36364	 * 	192.39	ACR|3VULN|1AART|1DMG|2CDMG|2DUR	169VULN|29CDMG|3CGEN|4RCR|5ERES|79DUR|8AART|9BPWR|aDMG
2	61623 22263	   	188.89	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	16DUR|2CDMG|3RCR|4LIT|568VULN|6BPWR|7DMG|9RCVC|aAART
3	63331 52242	 * 	184.98	ACR|3VULN|2DMG|1AART|1DUR|1SELL	1DUR|2LWND|389VULN|4RCR|5SELL|6aDMG|7AART
4	11315 62834	 * 	184.30	ACR|2VULN|2DMG|1AART|2CDMG	1aVULN|2aCDMG|3CGEN|4RCR|5MBVNT|6LHND|7AART|8aDMG|9RCVC|aBPWR
5	11313 36366	 * 	183.78	ACR|3VULN|2AART|2CDMG|2DUR	169VULN|29CDMG|3CGEN|4RCR|5ERES|79DUR|8aAART|9BPWR
6	11514 51132	 * 	183.67	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	157VULN|27CDMG|3LHND|4ZMB|67DMG|7BPWR|8TLV|9DUR|aRCR
7	11514 51232	   	183.67	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	157VULN|27CDMG|3LHND|4ZMB|67DMG|7BPWR|8ERES|9DUR|aRCR
8	11462 52113	 * 	183.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1aVULN|2CDMG|3aDUR|4DUST|5LHND|6aDMG|7AART|8DLOT|9RCR|aBPWR
9	11314 26341	   	183.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	15VULN|2CDMG|3CGEN|4RCR|6BELT|7AART|8DUR|9aDMG
10	12325 26342	 * 	182.24	ACR|3VULN|3DMG|1ZMB	179VULN|2CANSTR|3RCR|4LWND|56aDMG|8ZMB
11	11414 32412	 * 	181.93	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	15VULN|26CDMG|3DUR|4ZMB|7RCR|8AART|9LWND|aDMG
12	53335 32242	   	181.29	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2LWND|389VULN|4RCR|5CDMG|6ASPD|7AART|aDMG
13	61213 32242	   	181.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3RMIN|4RCR|5LWND|689VULN|7AART|aDMG
14	61214 12242	   	181.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3RMIN|4RCR|589VULN|6LHND|7AART|aDMG
15	63335 52222	   	181.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LWND|38aVULN|4RCR|5CDMG|6DMG|7AART|9LHND
16	61214 31412	   	180.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3RMIN|4RCR|567VULN|8AART|9LWND|aDMG
17	11216 31422	   	180.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	167VULN|2CDMG|3RMIN|4RCR|5BEXP|8AART|9DUR|aDMG
18	11312 61622	   	180.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	167VULN|2CDMG|3CGEN|4RCR|5LHND|8AART|9DUR|aDMG
19	11314 11622	   	180.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|3CGEN|4RCR|6LHND|8AART|9DUR|aDMG
20	11314 61622	   	180.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|3CGEN|4RCR|6LWND|8AART|9DUR|aDMG
21	11112 61622	   	180.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	167VULN|2CDMG|3ERES|4RCR|5LHND|8AART|9DUR|aDMG
22	11114 11622	   	180.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|3ERES|4RCR|6LHND|8AART|9DUR|aDMG
23	11114 61622	   	180.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|3ERES|4RCR|6LWND|8AART|9DUR|aDMG
24	11215 41522	   	180.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	167VULN|2CDMG|3RMIN|4RCR|5MBVNT|8AART|9DUR|aDMG
25	62615 23331	 * 	180.29	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2MLV|3DMG|4RCR|59AART|6LIT|78aVULN
26	11214 56313	 * 	180.25	ACR|2VULN|3CDMG|1AART|1DMG|1ZMB	15VULN|268CDMG|3RMIN|4RCR|7DMG|9ZMB|aAART
27	11314 56313	   	180.25	ACR|2VULN|3CDMG|1AART|1DMG|1ZMB	15VULN|268CDMG|3CGEN|4RCR|7DMG|9ZMB|aAART
28	11311 13636	   	180.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	16aVULN|2CDMG|3CGEN|4RCR|56MGNSTR|6BPWR|7DUR|8DMG|9AART
29	11552 22622	 * 	180.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	145VULN|2CDMG|3LHND|6ERES|7RCR|8AART|9DUR|aDMG
30	11313 31364	   	180.16	ACR|3VULN|1AART|1DMG|2CDMG	169VULN|29CDMG|3CGEN|4RCR|5ERES|79LWND|8AART|9BPWR|aDMG
31	11311 34636	   	180.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	17aVULN|2CDMG|3CGEN|4RCR|5MGNSTR|6DUR|8DMG|9AART
32	11111 34633	   	179.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	17aVULN|2CDMG|3ERES|4RCR|5MGNSTR|6DUR|8DMG|9AART
33	11111 65433	   	179.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	18aVULN|2CDMG|3ERES|4RCR|5MGNSTR|6DMG|7DUR|9AART
34	11211 34663	   	179.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	17aVULN|2CDMG|3RMIN|4RCR|5SNIHEL|6DUR|8DMG|9AART
35	61623 22262	 * 	179.78	ACR|4VULN|1DMG|1CDMG|2DUR	16DUR|2CDMG|3RCR|4LIT|568aVULN|6BPWR|7DMG|9RCVC
36	61214 31226	   	179.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3RMIN|4RCR|567VULN|8FEWX|9DMG|aAART
37	11214 11426	   	179.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2CDMG|3RMIN|4RCR|6LWND|8DUR|9DMG|aAART
38	11314 23325	 * 	179.42	ACR|5VULN|1AART|1CDMG	15789VULN|2CDMG|3CGEN|4RCR|6BELT|aAART
