0	Index      	 *	Score 	Summary	Detail	
1	52135 11241	 * 	295.94	橙橙2易伤3矿等	19易伤24最后敌人346矿等4序列升级5基地爆炸7赏金邻近8a核
2	51331 52324	 * 	295.40	橙橙2易伤1伤害1攻速1暴击1策反1卖塔	17易伤2策反3暴击4毒液对毒5伤害6攻速8卖塔9a核
3	52232 32442	 * 	294.53	橙橙2易伤1伤害1矿等	15易伤2最后敌人3雷电4时间69核7矿等8基地爆炸a伤害
4	52232 33642	   	294.43	橙橙2易伤1伤害1矿等	15易伤2最后敌人3雷电4时间69核7挖尘8矿等a伤害
5	52511 21241	 * 	289.52	橙橙3易伤1矿等	169易伤2最后敌人3双倍秒伤4矿等5基地爆炸7赏金邻近8a核
6	15163 32312	 * 	287.72	橙橙3矿等1易伤1伤害	1敌人爆炸235矿等45掉矿5序列升级69核7易伤8额外掉落a伤害
7	52511 21261	   	281.67	橙橙2易伤2矿等	16易伤2最后敌人3双倍秒伤49矿等5基地爆炸7赏金邻近8a核
8	52232 33542	   	276.80	橙橙2易伤1伤害	15易伤2最后敌人3雷电4时间69核7挖尘8掉矿a伤害
9	53381 33223	   	275.73	橙橙2易伤1攻速1暴击	1a易伤2暴击3加一4双倍秒伤57最后敌人69核8攻速
10	51332 52324	   	275.34	橙橙2易伤1攻速1暴击1策反1卖塔	17易伤2策反3暴击4毒液对毒5技能6攻速8卖塔9a核
11	52232 32441	   	274.47	橙橙2易伤1矿等	15易伤2最后敌人3雷电4时间69核7矿等8基地爆炸a等级
12	52232 32443	   	274.37	橙橙2易伤1矿等	15易伤2最后敌人3雷电4时间69核7矿等8基地爆炸a技能点
13	52232 33641	   	274.37	橙橙2易伤1矿等	15易伤2最后敌人3雷电4时间69核7挖尘8矿等a等级
14	52232 33643	   	274.27	橙橙2易伤1矿等	15易伤2最后敌人3雷电4时间69核7挖尘8矿等a技能点
15	15563 32312	   	273.86	橙橙1易伤2矿等1伤害	1敌人爆炸25矿等345等级5序列升级69核7易伤8额外掉落a伤害
16	56132 36312	   	273.76	橙橙1易伤2矿等1伤害	1易伤24低血量敌人34矿等4序列升级5双倍秒伤69核7金币生成8额外掉落a伤害
17	56132 35312	   	273.66	橙橙1易伤2矿等1伤害	1易伤24低血量敌人34矿等4序列升级5双倍秒伤69核7技能点8额外掉落a伤害
18	54312 22241	   	271.99	橙橙3易伤	179易伤2双倍秒伤3赏金塔4敌人爆炸5随机矿6低血量敌人8a核
19	54322 22241	   	271.89	橙橙3易伤	179易伤2双倍秒伤3赏金塔4挖尘5随机矿6低血量敌人8a核
20	55151 23212	 * 	270.43	橙3易伤3矿等1伤害	156易伤235矿等4全技能5序列升级7立即金币8平台9核a伤害
21	55122 33411	   	267.66	橙橙3矿等1易伤	1易伤238矿等4基地爆炸5双倍秒伤6a核7最后敌人9低血量敌人
22	15163 32311	   	267.66	橙橙3矿等1易伤	1敌人爆炸235矿等45掉矿5序列升级69核7易伤8额外掉落a最后敌人
23	15163 32313	   	267.66	橙橙3矿等1易伤	1敌人爆炸235矿等45掉矿5序列升级69核7易伤8额外掉落a双倍矿
24	15163 32314	   	267.66	橙橙3矿等1易伤	1敌人爆炸235矿等45掉矿5序列升级69核7易伤8额外掉落a等级
25	15163 32315	   	267.56	橙橙3矿等1易伤	1敌人爆炸235矿等45掉矿5序列升级69核7易伤8额外掉落a挖青
26	26632 32316	 * 	267.53	橙3易伤2伤害1矿等2时间1攻速	19伤害2立即金币3双倍秒伤4矿等59时间6核789易伤9序列升级a攻速
27	12213 31642	   	266.45	橙橙1易伤1伤害1矿等	1敌人爆炸2最后敌人34雷电5易伤69核7时间8矿等a伤害
28	52223 31642	   	266.45	橙橙1易伤1伤害1矿等	1易伤2最后敌人3雷电4随机矿5金币生成69核7时间8矿等a伤害
29	52231 32442	   	266.45	橙橙1易伤1伤害1矿等	1易伤2最后敌人35雷电4时间69核7矿等8基地爆炸a伤害
30	52222 31542	   	266.35	橙橙1易伤1伤害1矿等	1易伤2最后敌人3雷电4随机矿5矿等69核7时间8掉矿a伤害
31	52231 33642	   	266.35	橙橙1易伤1伤害1矿等	1易伤2最后敌人35雷电4时间69核7挖尘8矿等a伤害
32	51214 12313	   	266.15	橙橙2易伤1策反	17易伤2策反3挖尘4时间5双倍物品6雷电89核a平台
33	51214 12314	   	266.15	橙橙2易伤1策反	17易伤2策反3挖尘4时间5双倍物品6雷电89核a全技能
34	52112 33241	   	266.06	橙橙2易伤1矿等	19易伤278最后敌人3矿等4立即金币5双倍秒伤6a核
35	52122 33241	   	266.06	橙橙2易伤1矿等	19易伤278最后敌人3矿等4基地爆炸5挖尘6a核
36	52511 21211	   	266.06	橙橙2易伤1矿等	16易伤29最后敌人3双倍秒伤4矿等5基地爆炸7赏金邻近8a核
37	52513 21241	   	266.06	橙橙2易伤1矿等	19易伤2最后敌人3双倍秒伤4矿等5随机矿6金币生成7赏金邻近8a核
38	52514 21211	   	266.06	橙橙2易伤1矿等	16易伤29最后敌人3双倍秒伤4矿等5敌人爆炸7赏金邻近8a核
39	54411 21211	   	266.06	橙橙2易伤1矿等	16易伤2双倍秒伤39最后敌人4矿等5基地爆炸7赏金邻近8a核
40	52333 63241	   	265.96	橙橙2易伤1矿等	19易伤2最后敌人3赏金塔4挖青5低血量敌人6矿等7挖尘8a核
