0	Index      	 *	Score 	Summary	Detail	
1	16131 51351	 * 	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1DMSP|2BBNT|3DUR|4CGEN|5CDMG|69RCR|7MLV|8VULN|aTLV
2	32463 13632	 * 	268.89	DCR|DCR|2VULN|2DUR|1CDMG	1CDMG|2CGEN|34VULN|58DUR|6aRCR|7LIT|9LHND
3	32623 61351	 * 	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2CGEN|3FEWX|4RMIN|5TBNT|69RCR|78VULN|aTLV
4	32633 61351	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2CGEN|3FEWX|4ERES|5TBNT|69RCR|78VULN|aTLV
5	16131 51352	   	259.39	DCR|DCR|1VULN|1MLV|1DUR|1CDMG|1AAC	1DMSP|2BBNT|3DUR|4CGEN|5CDMG|69RCR|7MLV|8VULN|aAAC
6	25221 31366	   	258.19	DCR|DCR|2VULN|1MLV|1AART	1LIT|2TBNT|36VULN|4MLV|5RAT|7AART|8aRCR|9BBNT
7	35312 51351	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2RMIN|3TBNT|4AME|5ERES|69RCR|7MLV|8VULN|aTLV
8	36353 51322	 * 	257.09	DCR|5VULN|2MLV|2CDMG	1aCDMG|2ASPD|3TBNT|4589aVULN|6RCR|7aMLV|aBPWR
9	32463 11132	   	256.44	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2CGEN|34VULN|5DUR|6aRCR|7RCVC|8LIT|9LHND
10	32463 11152	   	256.44	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2CGEN|34VULN|5DUR|6aRCR|7RCVC|8LIT|9FEWX
11	35463 11132	   	256.44	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2RMIN|34VULN|5DUR|6aRCR|7RCVC|8LIT|9LWND
12	32463 13332	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2CGEN|34VULN|5DUR|6aRCR|7LIT|8AEBURN|9LHND
13	32463 13352	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2CGEN|34VULN|5DUR|6aRCR|7LIT|8AEBURN|9FEWX
14	32623 61352	   	256.34	DCR|DCR|2VULN|1CDMG|1AAC	1CDMG|2CGEN|3FEWX|4RMIN|5TBNT|69RCR|78VULN|aAAC
15	32633 61352	   	256.24	DCR|DCR|2VULN|1CDMG|1AAC	1CDMG|2CGEN|3FEWX|4ERES|5TBNT|69RCR|78VULN|aAAC
16	32423 12132	 * 	253.12	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2CGEN|3VULN|4RMIN|57TLV|6aRCR|8LIT|9LHND
