0	Index      	 *	Score 	Summary	Detail	
1	34561 11322	 * 	236.48	DCR|4VULN|2AART|2ASPD|1DUR	18ASPD|27AART|3468VULN|5RCVC|8BPWR|9RCR|aDUR
2	34561 11323	   	234.95	DCR|4VULN|2AART|2ASPD|1AAC	18ASPD|27AART|3468VULN|5RCVC|8BPWR|9RCR|aAAC
3	34315 11324	 * 	232.91	DCR|3VULN|2AART|2ASPD|1DMG	18ASPD|27AART|38AELBLL|4RCVC|568VULN|8BPWR|9RCR|aDMG
4	35511 22213	 * 	230.76	DCR|2VULN|2DMG|1MDPS|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9CGEN|aMDPS
5	35514 22213	 * 	230.76	DCR|2VULN|1MDPS|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LHND|6RCR|78DMG|8BPWR|9CGEN|aMDPS
6	35513 22213	 * 	230.66	DCR|2VULN|2DMG|1MDPS|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9CGEN|aMDPS
7	35511 22242	 * 	230.66	DCR|2VULN|2DMG|1MDPS|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9BASARM|aMDPS
8	63123 62135	 * 	229.36	DCR|3DMG|2VULN|2ASPD|1AART	1RPLT|258DMG|38ASPD|4LWND|6CGEN|78VULN|8BPWR|9RCR|aAART
9	34561 11321	   	228.07	DCR|4VULN|2AART|2ASPD	18ASPD|27AART|3468VULN|5RCVC|8BPWR|9RCR|aERES
10	35513 22234	 * 	227.49	DCR|3DMG|2VULN|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78aDMG|8BPWR|9LWND
11	63134 14111	 * 	225.36	DCR|2VULN|1MDPS|2DMG|2ASPD|1NUKE	1RPLT|28DMG|38ASPD|4MLV|5SPLJET|6RCR|78VULN|8BPWR|9NUKE|aMDPS
12	34222 61421	 * 	222.23	DCR|3ASPD|2AART|2DMG|1VULN	178ASPD|2aAART|37DMG|4VULN|5TLV|67FEWX|7BPWR|9RCR
13	32323 41421	 * 	221.82	DCR|3ASPD|2VULN|2AART|2DUR	178ASPD|27DUR|3RCVC|4LEGI|57VULN|6aAART|7BPWR|9RCR
14	34315 11322	   	221.16	DCR|3VULN|2AART|2ASPD|1DUR	18ASPD|27AART|38AELBLL|4RCVC|568VULN|8BPWR|9RCR|aDUR
15	12264 14332	 * 	221.03	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	19CDMG|2FEWX|3AART|49VULN|5ASPD|6ERES|79DUR|8RCR|9BPWR|aDMG
16	35511 22216	 * 	220.24	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9CGEN|aDUR
17	32262 41423	   	220.14	DCR|3ASPD|2VULN|2AART|1AAC|1DUR	178ASPD|2DUR|35AART|47VULN|67LHND|7BPWR|9RCR|aAAC
18	32262 51423	   	220.14	DCR|3ASPD|2VULN|2AART|1AAC|1DUR	178ASPD|2DUR|35AART|47VULN|67FEWX|7BPWR|9RCR|aAAC
19	34315 11323	   	219.63	DCR|3VULN|2AART|2ASPD|1AAC	18ASPD|27AART|38AELBLL|4RCVC|568VULN|8BPWR|9RCR|aAAC
20	35514 22233	 * 	219.36	DCR|2VULN|2DMG|2ASPD|2CDMG|1SELL	18ASPD|2SELL|38VULN|4aCDMG|5LHND|6RCR|78DMG|8BPWR|9LWND
21	35513 22233	 * 	219.26	DCR|2VULN|2DMG|2ASPD|2CDMG|1SELL	18ASPD|2SELL|38VULN|4aCDMG|5DUST|6RCR|78DMG|8BPWR|9LWND
22	35511 22253	 * 	219.26	DCR|2VULN|2DMG|2ASPD|2CDMG|1SELL	18ASPD|2SELL|38VULN|4aCDMG|5LWND|6RCR|78DMG|8BPWR|9DUST
23	32262 41421	 * 	218.63	DCR|3ASPD|3AART|2VULN|1DUR	178ASPD|2DUR|35aAART|47VULN|67LHND|7BPWR|9RCR
24	32262 51421	   	218.63	DCR|3ASPD|3AART|2VULN|1DUR	178ASPD|2DUR|35aAART|47VULN|67FEWX|7BPWR|9RCR
25	12264 41233	 * 	217.68	DCR|3VULN|1AART|1ASPD|1NUKE|1CDMG	1CDMG|2FEWX|3AART|467VULN|5ASPD|8RCR|9TSLARM|aNUKE
26	34222 41421	 * 	217.05	DCR|3ASPD|2VULN|1AART|1DMG|1DUR	178ASPD|2AART|3DMG|47VULN|57TLV|6LEGI|7BPWR|9RCR|aDUR
27	12622 73144	 * 	216.50	DCR|3VULN|3CDMG|1AART|1DMG	178CDMG|2FEWX|3MBVNT|478CGEN|578VULN|6RCR|78BPWR|9DMG|aAART
28	16622 73144	   	216.50	DCR|3VULN|3CDMG|1AART|1DMG	178CDMG|2BEXP|3MBVNT|478CGEN|578VULN|6RCR|78BPWR|9DMG|aAART
29	34222 51262	 * 	216.25	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	18ASPD|2AART|3DMG|46VULN|5TLV|7RCVC|9RCR|aMDPS
30	63134 14112	   	215.89	DCR|2VULN|2DMG|2ASPD|1NUKE	1RPLT|28DMG|38ASPD|4MLV|5SPLJET|6RCR|78VULN|8BPWR|9NUKE|aERES
31	63134 14113	   	215.89	DCR|2VULN|2DMG|2ASPD|1NUKE	1RPLT|28DMG|38ASPD|4MLV|5SPLJET|6RCR|78VULN|8BPWR|9NUKE|aLIT
32	63134 14121	   	215.63	DCR|2VULN|1MDPS|2DMG|2ASPD|1ZMB	1RPLT|28DMG|38ASPD|4MLV|5SPLJET|6RCR|78VULN|8BPWR|9ZMB|aMDPS
33	34224 21121	   	215.41	DCR|2VULN|2DMG|2ASPD|1AART	1aASPD|2AART|37DMG|49VULN|5LIT|6DUST|8RCR
34	34524 21121	   	215.41	DCR|2VULN|2DMG|2ASPD|1AART	1aASPD|2AART|39VULN|47DMG|5LIT|6DUST|8RCR
35	12315 43324	 * 	214.70	DCR|3ASPD|2VULN|2CDMG|1DMG|1SELL	19CDMG|2FEWX|39VULN|489ASPD|5BELT|6RCR|7SELL|9BPWR|aDMG
36	34124 31121	   	213.90	DCR|2VULN|2AART|2ASPD|1DMG	1aASPD|26AART|3DUST|4DMG|5LIT|79VULN|8RCR
37	34222 51263	   	213.50	DCR|2VULN|2AART|2ASPD|1DMG	18ASPD|2aAART|3DMG|46VULN|5TLV|7RCVC|9RCR
38	32262 41422	   	213.36	DCR|3ASPD|2VULN|2AART|1DUR	178ASPD|2DUR|35AART|47VULN|67LHND|7BPWR|9RCR|aCGEN
39	32262 51422	   	213.36	DCR|3ASPD|2VULN|2AART|1DUR	178ASPD|2DUR|35AART|47VULN|67FEWX|7BPWR|9RCR|aCGEN
40	16221 13335	 * 	213.09	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1DUR	19CDMG|2BEXP|3AART|49CGEN|5DUR|6VULN|79DMG|8RCR|9BPWR|aASPD
41	32623 42421	   	213.06	DCR|3ASPD|2VULN|2AART|1DUR	138ASPD|2DUR|4LEGI|57VULN|6aAART|9RCR
42	34315 11321	   	212.75	DCR|3VULN|2AART|2ASPD	18ASPD|27AART|38AELBLL|4RCVC|568VULN|8BPWR|9RCR|aERES
43	34315 11326	   	212.75	DCR|3VULN|2AART|2ASPD	18ASPD|27AART|38AELBLL|4RCVC|568VULN|8BPWR|9RCR|aDUST
44	35511 22234	 * 	212.26	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|59LWND|6RCR|78DMG|8BPWR|aRCVC
45	12331 61642	 * 	211.98	DCR|2VULN|2DMG|2ASPD|1CDMG	1CDMG|2FEWX|39VULN|47DMG|5LWND|6RCR|8aASPD
46	35511 22212	   	211.94	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9aCGEN
47	35511 22215	   	211.94	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9CGEN|aFEWX
48	35511 22231	   	211.94	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|59LWND|6RCR|78DMG|8BPWR|aBEXP
49	35511 22233	   	211.94	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|59LWND|6RCR|78DMG|8BPWR|aCGEN
50	35514 22212	   	211.94	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LHND|6RCR|78DMG|8BPWR|9aCGEN
51	35514 22231	   	211.94	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LHND|6RCR|78DMG|8BPWR|9LWND|aFEWX
52	35514 22232	   	211.94	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LHND|6RCR|78DMG|8BPWR|9LWND|aDMSP
53	35513 22212	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9aCGEN
54	35513 22231	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9LWND|aFEWX
55	35513 22232	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9LWND|aDMSP
56	35513 22236	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9LWND|aBEXP
57	35513 22263	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9LIT|aLHND
