0	Index      	 *	Score 	Summary	Detail	
1	33215 13243	 * 	231.16	DCR|4VULN|2DMG|1AART|1CDMG	1459VULN|26DMG|3FEWX|7CDMG|8RCR|aAART
2	33215 13215	 * 	230.42	DCR|3VULN|2DMG|1MDPS|1ASPD|1CDMG	145VULN|26DMG|3FEWX|7CDMG|8RCR|9ASPD|aMDPS
3	33215 63215	 * 	228.68	DCR|4VULN|1MDPS|1ASPD|1DMG|1CDMG	1456VULN|2DMG|3FEWX|7CDMG|8RCR|9ASPD|aMDPS
4	33215 63216	 * 	227.44	DCR|4VULN|2DMG|1ASPD|1CDMG	1456VULN|2aDMG|3FEWX|7CDMG|8RCR|9ASPD
5	33215 13216	 * 	227.25	DCR|3VULN|3DMG|1ASPD|1CDMG	145VULN|26aDMG|3FEWX|7CDMG|8RCR|9ASPD
6	33215 13241	 * 	226.20	DCR|4VULN|2DMG|1MDPS|1CDMG	1459VULN|26DMG|3FEWX|7CDMG|8RCR|aMDPS
7	33315 13241	   	226.20	DCR|4VULN|1MDPS|2DMG|1CDMG	1459VULN|26DMG|3LHND|7CDMG|8RCR|aMDPS
8	33515 13241	   	226.20	DCR|4VULN|2DMG|1MDPS|1CDMG	1459VULN|26DMG|3LWND|7CDMG|8RCR|aMDPS
9	33615 13241	   	226.20	DCR|4VULN|2DMG|1MDPS|1CDMG	1359VULN|26DMG|4LWND|7CDMG|8RCR|aMDPS
10	32362 31235	 * 	222.08	DCR|3VULN|2DMG|1MDPS|1AART	137VULN|23LIT|37BPWR|47LHND|57DMG|6RCR|8DUST|9AART|aMDPS
11	33215 13213	   	221.93	DCR|3VULN|2DMG|1ASPD|1CDMG|1ZMB	145VULN|26DMG|3FEWX|7CDMG|8RCR|9ASPD|aZMB
12	33315 13216	   	221.93	DCR|3VULN|2DMG|1ASPD|1CDMG|1ZMB	145VULN|26DMG|3LHND|7CDMG|8RCR|9ASPD|aZMB
