0	Index      	 *	Score 	Summary	Detail	
1	26122 33443	 * 	299.67	橙橙2易伤2暴击1矿等1攻速	18易伤2双倍秒伤3攻速4低血量敌人59暴击67核a矿等
2	26122 33436	 * 	299.19	橙橙3易伤1攻速1暴击	18a易伤2双倍秒伤3攻速4低血量敌人5暴击67核9掉矿
3	26122 33414	 * 	295.89	橙橙2易伤1伤害1攻速1暴击	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9最后敌人a伤害
4	26122 33442	   	290.45	橙橙2易伤2暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人59暴击67核a时间
5	34143 32622	   	286.12	橙橙2易伤1伤害1矿等	12最后敌人3矿等4赏金塔5伤害6a核78易伤9挖尘
6	26112 53512	   	285.54	橙橙3易伤1攻速	157易伤2双倍秒伤3攻速4技能点6赏金邻近8a核9立即金币
7	16142 33613	   	285.39	橙橙2易伤1攻速1暴击	1低血量敌人2双倍秒伤3攻速4a易伤5暴击67核8挖尘9全技能
8	16314 33413	   	285.39	橙橙2易伤1攻速1暴击	1低血量敌人2双倍秒伤3暴击4挖尘5攻速67核8a易伤9全技能
9	16334 33613	   	285.39	橙橙2易伤1攻速1暴击	1低血量敌人2双倍秒伤3暴击4a易伤5攻速67核8挖尘9全技能
10	26122 33613	   	285.39	橙橙2易伤1攻速1暴击	1a易伤2双倍秒伤3攻速4低血量敌人5暴击67核8挖尘9全技能
11	26314 33432	   	283.93	橙橙2易伤1攻速1暴击	18易伤2双倍秒伤3暴击4挖尘5攻速67核9掉矿a时间
12	26122 33441	   	282.14	橙橙2易伤2暴击1攻速	18易伤2双倍秒伤3攻速4低血量敌人59暴击67核a雷电
13	23365 15131	 * 	281.67	橙橙2易伤2矿等	13易伤2随机矿3序列升级49矿等5电塔对甲6雷电7a核8最后敌人
14	25213 51351	   	277.47	橙橙1易伤1伤害1攻速1暴击	1易伤2暴击3伤害4金币生成5等级6a核7全技能8双倍秒伤9攻速
15	16142 33632	   	277.37	橙橙1易伤1伤害1攻速1暴击	1低血量敌人2双倍秒伤3攻速4易伤5暴击67核8挖尘9平台a伤害
16	16314 33432	   	277.37	橙橙1易伤1伤害1攻速1暴击	1低血量敌人2双倍秒伤3暴击4挖尘5攻速67核8易伤9平台a伤害
17	16334 33632	   	277.37	橙橙1易伤1伤害1攻速1暴击	1低血量敌人2双倍秒伤3暴击4易伤5攻速67核8挖尘9平台a伤害
18	26122 33632	   	277.37	橙橙1易伤1伤害1攻速1暴击	1易伤2双倍秒伤3攻速4低血量敌人5暴击67核8挖尘9平台a伤害
19	16142 33236	   	275.83	橙橙2易伤1攻速1暴击	1低血量敌人2双倍秒伤3攻速4a易伤5暴击67核89等级
20	16142 33411	   	275.83	橙橙2易伤1攻速1暴击	1a低血量敌人2双倍秒伤3攻速48易伤5暴击67核9最后敌人
21	16142 33413	   	275.83	橙橙2易伤1攻速1暴击	1低血量敌人2双倍秒伤3攻速48易伤5暴击67核9最后敌人a双倍矿
22	16334 33236	   	275.83	橙橙2易伤1攻速1暴击	1低血量敌人2双倍秒伤3暴击4a易伤5攻速67核89等级
23	16334 33411	   	275.83	橙橙2易伤1攻速1暴击	1a低血量敌人2双倍秒伤3暴击48易伤5攻速67核9最后敌人
24	16334 33413	   	275.83	橙橙2易伤1攻速1暴击	1低血量敌人2双倍秒伤3暴击48易伤5攻速67核9最后敌人a双倍矿
25	26122 33236	   	275.83	橙橙2易伤1攻速1暴击	1a易伤2双倍秒伤3攻速4低血量敌人5暴击67核89等级
26	26122 33411	   	275.83	橙橙2易伤1攻速1暴击	18易伤2双倍秒伤3攻速4a低血量敌人5暴击67核9最后敌人
27	26122 33413	   	275.83	橙橙2易伤1攻速1暴击	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9最后敌人a双倍矿
28	26122 33451	   	275.83	橙橙2易伤1攻速1暴击	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9等级a赏金塔
29	26122 33452	   	275.83	橙橙2易伤1攻速1暴击	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9等级a立即金币
30	26122 33453	   	275.83	橙橙2易伤1攻速1暴击	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9等级a双倍矿
31	26122 33461	   	275.83	橙橙2易伤1攻速1暴击	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9基地爆炸a最后敌人
32	26122 33463	   	275.83	橙橙2易伤1攻速1暴击	18易伤2双倍秒伤3攻速4低血量敌人5暴击67核9a基地爆炸
33	16142 33261	   	275.73	橙橙2易伤1攻速1暴击	1低血量敌人2双倍秒伤3攻速4a易伤5暴击67核8等级9狙击对黄
34	16142 33412	   	275.73	橙橙2易伤1攻速1暴击1挖怪	1低血量敌人2双倍秒伤3攻速48易伤5暴击67核9最后敌人a挖怪
35	16142 33431	   	275.73	橙橙2易伤1攻速1暴击	1低血量敌人2双倍秒伤3攻速48易伤5暴击67核9掉矿a赏金塔
36	16142 33432	   	275.73	橙橙2易伤1攻速1暴击	1低血量敌人2双倍秒伤3攻速48易伤5暴击67核9掉矿a立即金币
