0	Index      	 *	Score 	Summary	Detail	
1	61325 33363	 * 	258.09	橙橙2易伤1全技能	1技能点2挖青3低血量敌人4额外掉落5全技能69核7a易伤8金币生成
2	52662 13313	 * 	254.06	橙橙1易伤1伤害1攻速	1伤害2双倍矿3掉矿4攻速5易伤6挖青7雷电8a核9敌人爆炸
3	52662 13333	   	254.06	橙橙1易伤1伤害1攻速	1伤害2双倍矿3掉矿4攻速5易伤6挖青7雷电8a核9基地爆炸
4	61325 33362	   	250.07	橙橙1易伤1伤害1全技能	1技能点2挖青3低血量敌人4额外掉落5全技能69核7易伤8金币生成a伤害
5	61627 32244	   	248.33	橙橙2易伤	1技能点2挖青3加一4立即金币5敌人爆炸6a核79易伤8赏金邻近
6	61612 32244	   	248.23	橙橙2易伤	15技能点2挖青3加一4敌人爆炸6a核79易伤8赏金邻近
7	16356 32132	 * 	247.23	橙3易伤2伤害1矿等	17基地爆炸26伤害3时间4技能点569易伤6序列升级8核a矿等
8	61325 33361	   	243.66	橙橙1易伤1攻速1全技能	1技能点2挖青3低血量敌人4额外掉落5全技能69核7易伤8金币生成a攻速
9	23436 32263	   	242.26	橙橙1易伤1攻速1策反	1敌人爆炸2基地爆炸3最后敌人4雷电5时间6a核7攻速8策反9易伤
10	33611 35622	   	241.07	橙橙1伤害1攻速1暴击	1防空对甲2攻速3暴击4等级5挖尘6时间7a核8伤害9基地爆炸
11	53633 31363	   	240.41	橙橙1易伤1伤害	1伤害2技能点39最后敌人4双倍秒伤5基地爆炸6雷电7易伤8a核
12	62412 32341	   	239.05	橙2易伤1伤害1矿等1暴击1全技能1平台	1技能点2时间3全技能47易伤5矿等6伤害8平台9暴击a核
13	25332 34352	 * 	238.44	紫橙1易伤2矿等1暴击	17敌人爆炸2最后敌人3立即金币49核5暴击6a矿等8易伤
14	16356 31113	   	236.14	橙3易伤2伤害2时间	1基地爆炸26伤害38时间4技能点569易伤6序列升级7挖尘a核
15	31451 42322	   	235.32	橙3易伤1伤害1攻速1平台	1防空对甲2时间35a易伤4基地爆炸6平台7攻速8核9伤害
16	32431 42322	   	235.32	橙3易伤1伤害1攻速1平台	1防空对甲2基地爆炸35a易伤4时间6平台7攻速8核9伤害
17	35431 42322	   	235.32	橙3易伤1伤害1攻速1平台	1防空对甲2低血量敌人35a易伤4时间6平台7攻速8核9伤害
18	34611 62322	   	235.32	橙3易伤1伤害1攻速1平台	1防空对甲27a易伤3平台4最后敌人5时间6攻速8核9伤害
19	31441 42322	   	235.22	橙3易伤1伤害1攻速1平台	1防空对甲2时间35a易伤4挖尘6平台7攻速8核9伤害
20	34422 24332	 * 	235.09	橙5易伤1攻速	1防空对甲23578易伤4雷电6额外掉落9攻速a核
21	34232 63632	 * 	233.59	橙2易伤2伤害2攻速1平台	19防空对甲29易伤3立即金币4a伤害5平台6核7挖尘89攻速9序列升级
