0	Index      	 *	Score 	Summary	Detail	
1	62431 43333	 * 	188.52	DCR|3VULN|2DMG|1AART|1CDMG	157VULN|2LWND|3CDMG|4AART|6aDMG|8MLV|9RCR
2	34133 51233	 * 	185.19	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG	1ERES|24ZMB|346VULN|4BPWR|5AART|7CDMG|8LWND|9RCR|aDMG
3	34133 51433	   	185.19	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG	1ERES|24ZMB|346VULN|4BPWR|5AART|7CDMG|8BEXP|9RCR|aDMG
4	34133 51533	   	185.09	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG	1ERES|24ZMB|346VULN|4BPWR|5AART|7CDMG|8LEGI|9RCR|aDMG
5	62431 25233	 * 	184.21	DCR|2AART|2VULN|2DMG|1CDMG	15VULN|2LWND|3CDMG|48AART|6ERES|7aDMG|9RCR
6	62352 35233	   	183.71	DCR|2AART|2DMG|2VULN|1CDMG	13VULN|2LWND|4CGEN|58AART|6CDMG|7aDMG|9RCR
7	62362 35233	   	183.61	DCR|2AART|2VULN|2DMG|1CDMG	13VULN|2LWND|4ERES|58AART|6CDMG|7aDMG|9RCR
8	62431 12233	   	183.16	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	158VULN|2LWND|3CDMG|4AART|67DUR|9RCR|aDMG
9	34133 32416	   	180.87	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	1ERES|24ZMB|349VULN|4BPWR|5AART|6LIT|7DUR|8RCR|aDMG
10	62431 42233	   	179.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15VULN|2LWND|3CDMG|4AART|6aDMG|7DUR|8CGEN|9RCR
11	33412 33633	   	179.10	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	18ERES|2TLV|38DMG|4LWND|5AART|6CDMG|78VULN|8BPWR|9RCR|aASPD
12	62435 12233	   	178.96	DCR|2AART|2VULN|1DMG|1CDMG|2DUR	18VULN|2LWND|3CDMG|45AART|67DUR|9RCR|aDMG
13	64162 12331	 * 	178.79	ACR|3VULN|2DMG|1AART	18aVULN|27LHND|38LSRHEA|4RCR|58DMG|6AART|8BPWR|9DUST
14	62431 21633	   	177.63	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	15VULN|2LWND|3CDMG|47AART|6ERES|8ZMB|9RCR|aDMG
15	62431 43332	 * 	177.24	DCR|3VULN|1AART|1DMG|2CDMG	157VULN|2LWND|3aCDMG|4AART|6DMG|8MLV|9RCR
16	33133 45523	   	177.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|24TLV|34VULN|4BPWR|5AART|6ZMB|7RCR|8CDMG|9ASPD|aDMG
17	62411 12253	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2LWND|3CDMG|4RMIN|5aDMG|6RCR|7BEXP|9AART
18	62362 31633	   	177.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	13VULN|2LWND|4ERES|57AART|6CDMG|8ZMB|9RCR|aDMG
19	62411 13253	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2LWND|3CDMG|4RMIN|5aDMG|6RCR|7DUST|9AART
20	62411 23533	 * 	176.67	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2LWND|3CDMG|4RMIN|57aDMG|6AART|8DUR|9RCR
21	34133 51234	 * 	176.57	DCR|3VULN|2AART|2ZMB|1CDMG	1ERES|24ZMB|346VULN|4BPWR|5aAART|7CDMG|8LWND|9RCR
22	64162 13311	 * 	174.85	ACR|3VULN|1AART|1DMG|2ASPD	18aVULN|28LHND|3LSRHEA|4RCR|5DMG|6AART|78ASPD|8BPWR|9ERES
23	64162 12322	 * 	174.68	ACR|2VULN|2DMG|2AART	18VULN|27LHND|38LSRHEA|4RCR|58DMG|69AART|8BPWR|aFEWX
24	64162 12323	   	174.68	ACR|2VULN|2DMG|2AART	18VULN|27aLHND|38LSRHEA|4RCR|58DMG|69AART|8BPWR
25	64162 12321	   	174.58	ACR|2VULN|2DMG|2AART	18VULN|27LHND|38LSRHEA|4RCR|58DMG|69AART|8BPWR|aDUST
26	62431 12234	   	174.55	DCR|3VULN|2AART|1CDMG|2DUR	158VULN|2LWND|3CDMG|4aAART|67DUR|9RCR
27	62431 12235	   	174.10	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	158VULN|2LWND|3CDMG|4AART|67DUR|9RCR|aZMB
28	62431 53133	   	173.56	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	15VULN|2LWND|3CDMG|4aAART|6DUST|7DMG|8DUR|9RCR
29	62431 25232	 * 	172.94	DCR|2AART|2VULN|2CDMG|1DMG	15VULN|2LWND|3aCDMG|48AART|6ERES|7DMG|9RCR
30	62431 41333	   	172.86	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2LWND|3CDMG|4AART|6aDMG|7DMSP|8MLV|9RCR
31	62436 13233	   	172.86	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|2LWND|3CDMG|4AART|5BEXP|6RMIN|8aDMG|9RCR
32	21336 32426	   	172.86	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1LIT|2TLV|369VULN|4ASPD|5AART|7DUR|8RCR|aDMG
33	62431 22233	   	172.76	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2LWND|3CDMG|4AART|6ERES|7BEXP|8aDMG|9RCR
34	62431 24233	   	172.76	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2LWND|3CDMG|4AART|6ERES|7LHND|8aDMG|9RCR
35	62431 25333	   	172.76	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|28LWND|3CDMG|4AART|6ERES|7aDMG|9RCR
36	63232 15343	   	172.68	DCR|3VULN|1AART|1DMG|1ZMB	169VULN|2ZMB|349LHND|5AART|7RCR|89CGEN|9BPWR|aDMG
37	62431 25133	   	172.66	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2LWND|3CDMG|4AART|6ERES|7aDMG|8DUST|9RCR
38	62431 26233	   	172.66	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2LWND|3CDMG|4AART|6ERES|7DUST|8aDMG|9RCR
39	62352 35232	   	172.44	DCR|2AART|2VULN|1DMG|2CDMG	13VULN|2LWND|4CGEN|58AART|6aCDMG|7DMG|9RCR
