0	Index      	 *	Score 	Summary	Detail	
1	51136 31622	 * 	202.08	ACR|3VULN|2DMG|1AART|1CDMG|1ASPD	18LWND|2RCR|358VULN|4LIT|6ASPD|78DMG|8BPWR|9CDMG|aAART
2	61151 51211	   	201.63	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2RCR|37aVULN|4ZMB|58DMG|6AART|9CGEN
3	41112 63263	 * 	200.87	ACR|5VULN|3DMG	149BEXP|2RCR|3569aVULN|789DMG|9aBPWR
4	61151 51212	   	199.62	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|2RCR|37VULN|4ZMB|58DMG|6AART|9CGEN|aCDMG
5	61151 51233	   	199.52	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|2RCR|37VULN|4ZMB|58DMG|6AART|9DUST|aCDMG
6	51151 43212	 * 	199.33	ACR|3DMG|2VULN|1AART|1ZMB|1ASPD	16LWND|2RCR|38VULN|4ZMB|569DMG|6BPWR|7ASPD|aAART
7	61151 51223	 * 	197.42	ACR|2VULN|2DMG|2AART|1ZMB|1DUR	1DUR|2RCR|37VULN|4ZMB|58DMG|6aAART|9FEWX
8	61343 13512	 * 	197.03	ACR|3VULN|3DMG|3DUR|1ASPD	148DUR|2RCR|3RCVC|489BPWR|589DMG|6BELT|789VULN|aASPD
9	61131 52261	   	195.17	ACR|3VULN|2DMG|1AART|2DUR|1SELL	19DUR|2RCR|39aVULN|4LIT|5ERES|69DMG|7AART|8SELL|9BPWR
10	41151 51211	   	194.69	ACR|3VULN|2DMG|1AART|1ZMB	1BEXP|2RCR|37aVULN|4ZMB|58DMG|6AART|9CGEN
11	51151 51211	   	194.69	ACR|3VULN|2DMG|1AART|1ZMB	1LWND|2RCR|37aVULN|4ZMB|58DMG|6AART|9CGEN
12	41131 51262	   	194.59	ACR|3DMG|2VULN|1AART|1ZMB	1BEXP|2RCR|37VULN|4TLV|589DMG|6AART|aZMB
