0	Index      	 *	Score 	Summary	Detail	
1	34231 52433	 * 	183.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2AART|389VULN|4FEWX|5DUR|6RCR|7DMG|aZMB
2	24242 13232	 * 	181.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MLV|2DLOT|3aDMG|4CDMG|58VULN|6ZMB|7AART|9RCR
3	64242 13232	   	181.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|2DLOT|3aDMG|4CDMG|58VULN|6ZMB|7AART|9RCR
4	25231 61433	 * 	177.71	ACR|5VULN|2DMG	1MLV|2AIRHEL|36DMG|4789aVULN|5RCR
5	24226 33332	 * 	177.59	ACR|3DMG|2VULN|1AART	19MLV|2DLOT|39aDMG|4RPLT|5RCR|69VULN|7RCVC|8AART|9BPWR
6	21314 61333	 * 	174.07	DCR|3VULN|2DMG|1AART	157MLV|27aVULN|37aLHND|4RMIN|6AART|7aBPWR|8aDMG|9RCR
7	34231 52432	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1DUST|2AART|389VULN|4FEWX|5DUR|6RCR|7DMG|aLIT
8	34231 52431	   	172.42	DCR|3VULN|1AART|1DMG|1DUR	1DUST|2AART|389VULN|4FEWX|5DUR|6RCR|7DMG|aMBVNT
9	34623 62323	 * 	171.85	DCR|3AART|2VULN|1DMG|1ZMB	1DUST|245AART|3ZMB|6DMG|7BEXP|8RCR|9aVULN
10	24242 13231	   	171.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1MLV|2DLOT|3DMG|4CDMG|58VULN|6ZMB|7AART|9RCR|aASPD
11	64242 13231	   	171.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2DLOT|3DMG|4CDMG|58VULN|6ZMB|7AART|9RCR|aASPD
12	24242 13332	 * 	170.69	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1MLV|2DLOT|3aDMG|48CDMG|5VULN|6ZMB|7AART|9RCR
13	64242 13332	   	170.59	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1ERES|2DLOT|3aDMG|48CDMG|5VULN|6ZMB|7AART|9RCR
14	25231 25233	 * 	170.07	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1MLV|2AIRHEL|3DMG|49VULN|5RCR|6ASPD|7AART|8CDMG|aDUR
15	34623 12533	   	169.45	DCR|3AART|2VULN|1DMG|1ZMB	1DUST|245AART|3ZMB|6aVULN|7BEXP|8DMG|9RCR
16	34213 35531	   	169.28	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|2AART|34aVULN|5RPLT|6TLV|7DMG|8ZMB|9RCR
17	21255 32422	 * 	168.33	DCR|5VULN|3ZMB	139MLV|2379aVULN|39BPWR|459ZMB|6MBVNT|8RCR
18	34231 52374	 * 	168.21	DCR|2AART|2DMG|1VULN|1DUR	1DUST|2aAART|3VULN|4FEWX|5DUR|6RCR|79DMG|8MBVNT
19	61255 32421	   	168.03	DCR|5VULN|3ZMB	139ERES|2379aVULN|39BPWR|459ZMB|6MBVNT|8RCR
20	34231 52633	   	167.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2AART|39VULN|48FEWX|5DUR|6RCR|7DMG|aZMB
21	34231 52372	   	167.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2AART|3VULN|4FEWX|5DUR|6RCR|79DMG|8MBVNT|aZMB
22	34212 51511	 * 	167.68	DCR|4VULN|1AART|2ZMB	189DUST|2AART|3478VULN|5RCVC|68ZMB|8BPWR|aRCR
