0	Index      	 *	Score 	Summary	Detail	
1	43313 71622	 * 	204.59	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1ASPD|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ASPD|79DMG|89CDMG|9BPWR|aZMB
2	43313 11622	 * 	201.51	ACR|2VULN|2DMG|1AART|2CDMG|2ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6aZMB|79DMG|89CDMG|9BPWR
3	43318 33622	 * 	201.51	ACR|2VULN|2DMG|1AART|2CDMG|2ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59DMG|6aZMB|79VULN|89CDMG|9BPWR
4	43374 11622	 * 	200.91	ACR|2VULN|2DMG|1AART|2CDMG|2ZMB|1SELL	1SELL|2MBVNT|3RCR|49VULN|5AART|6aZMB|79DMG|89CDMG|9BPWR
5	23231 62254	 * 	199.47	ACR|4VULN|2AART|2ZMB|2DUR	1RPLT|2RCR|39DUR|489aVULN|57AART|69ZMB|9BPWR
6	23231 12554	 * 	198.17	ACR|4VULN|2AART|2ASPD|2DUR	1RPLT|2RCR|39DUR|489aVULN|57AART|69ASPD|9BPWR
7	43318 25243	 * 	197.95	ACR|3DMG|1AART|3CDMG|3DUR|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|589DMG|689DUR|789CDMG|89BPWR|aZMB
8	43313 11621	 * 	197.65	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ZMB|79DMG|89CDMG|9BPWR|aFEWX
9	43313 11623	 * 	197.65	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ZMB|79DMG|89CDMG|9BPWR|aRPLT
10	43313 11625	 * 	197.65	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ZMB|79DMG|89CDMG|9BPWR|aCGEN
11	43313 11626	 * 	197.65	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ZMB|79DMG|89CDMG|9BPWR|aLIT
12	43313 11627	 * 	197.65	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ZMB|79DMG|89CDMG|9BPWR|aLHND
13	43313 11628	 * 	197.65	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ZMB|79DMG|89CDMG|9BPWR|aMLV
14	43318 33621	 * 	197.65	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59DMG|6ZMB|79VULN|89CDMG|9BPWR|aFEWX
15	43318 33623	 * 	197.65	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59DMG|6ZMB|79VULN|89CDMG|9BPWR|aRPLT
16	43313 11624	 * 	197.55	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ZMB|79DMG|89CDMG|9BPWR|aDUST
17	43318 33624	 * 	197.55	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|59DMG|6ZMB|79VULN|89CDMG|9BPWR|aDUST
18	23332 16113	 * 	197.34	ACR|3VULN|2DMG|1AART|2ZMB	1RPLT|2RCR|357DUST|45aVULN|5aBPWR|6aDMG|8AART|9aZMB
19	43374 11621	 * 	197.05	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|49VULN|5AART|6ZMB|79DMG|89CDMG|9BPWR|aFEWX
20	43374 11623	 * 	197.05	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|49VULN|5AART|6ZMB|79DMG|89CDMG|9BPWR|aRPLT
21	43374 11624	 * 	196.95	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|49VULN|5AART|6ZMB|79DMG|89CDMG|9BPWR|aDUST
22	43318 21842	 * 	196.95	ACR|3DMG|1AART|1VULN|2CDMG|2DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|579DMG|69DUR|89CDMG|9BPWR|aVULN
23	43313 71621	 * 	193.59	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ASPD|79DMG|89CDMG|9BPWR|aFEWX
24	43313 71623	 * 	193.59	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ASPD|79DMG|89CDMG|9BPWR|aCGEN
25	43313 71624	 * 	193.59	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ASPD|79DMG|89CDMG|9BPWR|aLWND
26	23232 13215	   	193.52	ACR|3VULN|2DMG|1AART|2DUR	1RPLT|2RCR|35DUR|458VULN|5BPWR|69DMG|7DUST|aAART
27	43313 33131	 * 	190.10	ACR|4VULN|2AART|1DMG|1SELL	1SELL|2MBVNT|3RCR|48AART|5679VULN|aDMG
28	23231 31522	 * 	190.03	ACR|3VULN|1AART|2CDMG|2DUR|1ZMB	1RPLT|2RCR|39DUR|469VULN|5AART|7DMSP|89CDMG|9BPWR|aZMB
29	43374 33131	 * 	189.50	ACR|4VULN|2AART|1DMG|1SELL	1SELL|2MBVNT|3RCR|4679VULN|58AART|aDMG
30	23232 15563	 * 	188.43	ACR|4VULN|2DMG|3DUR	1RPLT|2RCR|35aDUR|459aVULN|5aBPWR|6aDMG|7LEGI|8RMIN
31	23232 55213	   	188.43	ACR|4VULN|2DMG|3DUR	1RPLT|2RCR|35aDUR|458aVULN|5aBPWR|6RMIN|7LEGI|9aDMG
32	23232 24213	 * 	187.84	ACR|3VULN|2DMG|3DUR|1CDMG|1SELL	1RPLT|2RCR|35aDUR|45aVULN|5aBPWR|6LHND|7SELL|8CDMG|9aDMG
33	23232 44213	 * 	187.84	ACR|3VULN|2DMG|3DUR|1CDMG|1SELL	1RPLT|2RCR|35aDUR|45aVULN|5aBPWR|6BEXP|7SELL|8CDMG|9aDMG
34	23231 35223	 * 	187.74	ACR|4VULN|1AART|1DMG|1DUR	1RPLT|2RCR|3DUR|468aVULN|5AART|7LWND|9DMG
35	23332 15252	 * 	187.74	ACR|4VULN|3DMG	1RPLT|2RCR|359DUST|4589VULN|59BPWR|69aDMG|7LEGI
36	43318 21544	 * 	187.08	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|57DMG|6DUR|8aVULN|9CDMG
37	43318 25242	 * 	186.94	ACR|3DMG|1AART|3CDMG|3DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|589DMG|689DUR|789CDMG|89BPWR|aRCVC
38	43318 25244	 * 	186.94	ACR|3DMG|1AART|3CDMG|3DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|589DMG|689DUR|789CDMG|89BPWR|aFEWX
39	43318 25241	 * 	186.84	ACR|3DMG|1AART|3CDMG|3DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|589DMG|689DUR|789CDMG|89BPWR|aERES
40	43313 44172	 * 	186.65	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1SELL|2MBVNT|3RCR|4AART|5aVULN|69CDMG|7aDMG|8aFEWX|aBPWR
41	43374 44172	 * 	186.05	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1SELL|2MBVNT|3RCR|4aVULN|5AART|69CDMG|7aDMG|8aFEWX|aBPWR
42	23232 12214	   	185.97	ACR|3VULN|3DMG|2DUR	1RPLT|2RCR|35DUR|459VULN|5BPWR|68aDMG|7ERES
43	23232 15216	   	185.97	ACR|3VULN|3DMG|2DUR	1RPLT|2RCR|35DUR|458VULN|5BPWR|69aDMG|7LEGI
